date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,0,47,Rosario Central,Kevin Ortiz,0.27,-0.44,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,2,45,Rosario Central,Facundo Mallo,0.75,-0.31,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,2,54,Vélez,Christian Ordóñez,-0.4,-0.58,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,5,55,Rosario Central,Kevin Ortiz,0.38,-0.25,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,7,20,Vélez,Valentín Gómez,-0.33,-0.36,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,7,38,Rosario Central,Kevin Ortiz,-0.35,-0.6,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,8,46,Vélez,Joaquín García,-0.41,0.61,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,10,21,Vélez,Christian Ordóñez,-0.13,0.24,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,18,44,Vélez,Joaquín García,-0.04,0.73,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,25,40,Vélez,Francisco Pizzini,0.36,0.72,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,28,33,Rosario Central,Kevin Ortiz,0.19,-0.61,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,30,22,Vélez,Braian Romero,0.21,-0.71,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,30,31,Rosario Central,Jonatan Gómez,0.41,-0.16,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,30,36,Vélez,Christian Ordóñez,0.37,-0.66,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,33,24,Vélez,Joaquín García,0.19,0.42,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,33,26,Rosario Central,Kevin Ortiz,0.24,0.48,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,33,39,Vélez,Christian Ordóñez,0.09,0.52,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,33,43,Vélez,Joaquín García,-0.24,0.31,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,33,45,Rosario Central,Jonatan Gómez,0.01,0.54,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,33,54,Rosario Central,Facundo Mallo,0.47,-0.24,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,39,53,Vélez,Rodrigo Piñeiro,0.17,0.34,-1.0,,,,,
05-03-2024,21:30,Vélez,Rosario Central,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,40,27,Rosario Central,Ignacio Malcorra,0.3,0.39,-1.0,,,,,
