date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
06-03-2024,17:00,Argentinos Juniors,Gimnasia,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,0,15,Argentinos Juniors,Thiago Santamaría,0.28,0.68,-1.0,,,,,
06-03-2024,17:00,Argentinos Juniors,Gimnasia,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,2,43,Argentinos Juniors,Román Vega,-0.66,-0.65,-1.0,,,,,
06-03-2024,17:00,Argentinos Juniors,Gimnasia,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,10,36,Gimnasia,Pablo De Blasis,-0.12,0.4,-1.0,,,,,
06-03-2024,17:00,Argentinos Juniors,Gimnasia,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,14,19,Argentinos Juniors,Franco Moyano,-0.36,-0.42,-1.0,,,,,
06-03-2024,17:00,Argentinos Juniors,Gimnasia,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,17,17,Argentinos Juniors,Nicolás Oroz,0.08,-0.5,-1.0,,,,,
06-03-2024,17:00,Argentinos Juniors,Gimnasia,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,17,25,Argentinos Juniors,Román Vega,0.11,-0.75,-1.0,,,,,
06-03-2024,17:00,Argentinos Juniors,Gimnasia,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,22,11,Argentinos Juniors,Maximiliano Romero,-0.26,-0.39,-1.0,,,,,
06-03-2024,17:00,Argentinos Juniors,Gimnasia,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,22,16,Gimnasia,Rodrigo Saravia,-0.09,-0.04,-1.0,,,,,
06-03-2024,17:00,Argentinos Juniors,Gimnasia,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,23,5,Argentinos Juniors,Gastón Verón,0.34,0.44,-1.0,,,,,
06-03-2024,17:00,Argentinos Juniors,Gimnasia,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,25,39,Argentinos Juniors,Nicolás Oroz,-0.23,-0.48,-1.0,,,,,
06-03-2024,17:00,Argentinos Juniors,Gimnasia,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,26,27,Argentinos Juniors,Franco Moyano,-0.1,-0.03,-1.0,,,,,
06-03-2024,17:00,Argentinos Juniors,Gimnasia,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,26,23,Gimnasia,Nicolás Colazo,-0.07,-0.09,-1.0,,,,,
06-03-2024,17:00,Argentinos Juniors,Gimnasia,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,30,16,Argentinos Juniors,Maximiliano Romero,-0.27,-0.26,-1.0,,,,,
