date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
06-03-2024,21:30,Atlético Tucumán,Banfield,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,2,20,Banfield,Alejandro Maciel,-0.12,-0.36,-1.0,,,,,
06-03-2024,21:30,Atlético Tucumán,Banfield,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,26,57,Atlético Tucumán,Guillermo Acosta,-0.37,-0.42,-1.0,,,,,
06-03-2024,21:30,Atlético Tucumán,Banfield,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,45,50,Banfield,Ezequiel Bonifacio,-0.52,0.54,-1.0,,,,,
06-03-2024,21:30,Atlético Tucumán,Banfield,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,66,55,Atlético Tucumán,Agustín Lagos,0.62,-0.4,-1.0,,,,,
06-03-2024,21:30,Atlético Tucumán,Banfield,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,68,7,Banfield,Gerónimo Rivera,-0.42,0.73,-1.0,,,,,
06-03-2024,21:30,Atlético Tucumán,Banfield,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,68,10,Atlético Tucumán,Gonzalo Paz,0.27,0.78,-1.0,,,,,
06-03-2024,21:30,Atlético Tucumán,Banfield,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,87,52,Atlético Tucumán,Agustín Lagos,0.55,-0.93,-1.0,,,,,
06-03-2024,21:30,Atlético Tucumán,Banfield,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,92,30,Atlético Tucumán,Agustín Lagos,-0.63,-0.9,-1.0,,,,,
06-03-2024,21:30,Atlético Tucumán,Banfield,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,1,8,Atlético Tucumán,Gonzalo Paz,-0.62,-0.72,-1.0,Milton Giménez,,,,
06-03-2024,21:30,Atlético Tucumán,Banfield,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,2,30,Atlético Tucumán,Mateo Coronel,0.13,-0.17,-1.0,Jesús Soraire,,,,
06-03-2024,21:30,Atlético Tucumán,Banfield,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,5,51,Atlético Tucumán,Justo Giani,0.57,0.67,-1.0,Franco Quinteros,,,,
06-03-2024,21:30,Atlético Tucumán,Banfield,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,9,15,Banfield,Milton Giménez,-0.27,0.2,-1.0,Francisco Flores,,,,
06-03-2024,21:30,Atlético Tucumán,Banfield,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,13,34,Banfield,Milton Giménez,-0.44,0.15,-1.0,Guillermo Acosta,,,,
06-03-2024,21:30,Atlético Tucumán,Banfield,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,15,50,Atlético Tucumán,Mateo Coronel,0.6,0.06,-1.0,Jesús Soraire,,,,
06-03-2024,21:30,Atlético Tucumán,Banfield,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,20,51,Atlético Tucumán,Gonzalo Paz,-0.21,-0.45,-1.0,Bruno Sepúlveda,,,,
06-03-2024,21:30,Atlético Tucumán,Banfield,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,21,29,Atlético Tucumán,Marcelo Estigarribia,0.89,0.77,-1.0,Aarón Quirós,,,,
06-03-2024,21:30,Atlético Tucumán,Banfield,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,23,45,Banfield,Franco Quinteros,-0.31,0.71,-1.0,Justo Giani,,,,
06-03-2024,21:30,Atlético Tucumán,Banfield,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,25,44,Banfield,Bruno Sepúlveda,0.12,-0.81,-1.0,Joaquín Pereyra,,,,
06-03-2024,21:30,Atlético Tucumán,Banfield,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,27,13,Banfield,Milton Giménez,-0.62,0.76,-1.0,Agustín Lagos,,,,
