date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,1,59,Estudiantes,Enzo Pérez,0.08,-0.27,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,2,8,Estudiantes,Enzo Pérez,0.1,0.15,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,3,0,Estudiantes,José Sosa,-0.06,-0.36,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,4,2,Platense,Carlos Villalba,0.6,0.61,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,3,53,Estudiantes,Enzo Pérez,-0.04,0.28,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,8,52,Estudiantes,Eric Meza,-0.3,0.47,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,11,56,Estudiantes,Gastón Benedetti,-0.4,-0.26,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,13,24,Platense,Iván Gómez,0.51,0.24,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,13,38,Estudiantes,Javier Altamirano,-0.12,0.53,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,17,10,Platense,Sasha Marcich,0.71,0.06,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,19,14,Estudiantes,Eric Meza,0.0,0.65,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,19,33,Estudiantes,Gastón Benedetti,-0.22,-0.46,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,23,51,Estudiantes,Enzo Pérez,0.32,-0.01,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,23,57,Estudiantes,Santiago Ascacíbar,0.3,0.34,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,28,50,Estudiantes,Enzo Pérez,-0.27,-0.26,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,29,4,Estudiantes,Enzo Pérez,0.17,0.61,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,32,31,Estudiantes,Javier Altamirano,-0.14,0.35,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,32,55,Estudiantes,Mauro Méndez,0.5,0.71,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,36,23,Platense,Iván Gómez,0.47,0.24,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,38,54,Estudiantes,Javier Correa,-0.08,-0.42,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,44,11,Estudiantes,Santiago Ascacíbar,0.24,-0.57,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,44,27,Estudiantes,Zaid Romero,-0.39,-0.21,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,44,2,Platense,Ignacio Vázquez,0.52,-0.65,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,44,18,Platense,Carlos Villalba,0.18,0.06,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,49,28,Estudiantes,Santiago Ascacíbar,-0.36,-0.43,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,50,50,Estudiantes,Enzo Pérez,-0.22,0.29,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,53,59,Estudiantes,Santiago Ascacíbar,-0.09,-0.49,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,58,23,Estudiantes,Enzo Pérez,0.16,-0.24,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,60,49,Platense,Carlos Villalba,-0.5,-0.07,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,63,42,Estudiantes,Santiago Ascacíbar,0.2,-0.27,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,63,43,Platense,Sasha Marcich,-0.48,-0.87,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,66,51,Estudiantes,Santiago Ascacíbar,0.26,-0.04,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,68,6,Estudiantes,Zaid Romero,0.42,0.36,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,69,41,Estudiantes,Eric Meza,0.41,-0.68,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,73,21,Estudiantes,Enzo Pérez,0.21,-0.21,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,78,56,Estudiantes,Federico Fernández,0.65,-0.67,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,79,55,Platense,Leonel Picco,0.02,0.2,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,88,2,Estudiantes,Zaid Romero,0.51,0.51,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,89,59,Estudiantes,Zaid Romero,-0.33,0.64,-1.0,,,,,
06-03-2024,19:15,Estudiantes,Platense,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,90,56,Estudiantes,Enzo Pérez,-0.24,0.47,-1.0,,,,,
