date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,0,8,River Plate,Nicolás Fonseca,-0.31,0.59,-1.0,,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,2,21,River Plate,Paulo Díaz,0.18,-0.59,-1.0,,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,20,4,River Plate,Andrés Herrera,-0.03,0.8,-1.0,,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,25,8,Independiente Riv. (M),Gastón Gil Romero,0.27,-0.44,-1.0,,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,26,51,River Plate,Rodrigo Aliendro,-0.17,0.05,-1.0,,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,27,43,River Plate,Facundo Colidio,0.31,-0.53,-1.0,,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,43,42,River Plate,Facundo Colidio,0.49,-0.06,-1.0,,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,45,18,River Plate,Milton Casco,0.06,0.13,-1.0,,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,46,48,Independiente Riv. (M),Francisco Petrasso,-0.6,0.48,-1.0,,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,49,56,River Plate,Sebastián Boselli,0.44,-0.59,-1.0,,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,52,43,River Plate,Rodrigo Aliendro,-0.25,-0.5,-1.0,,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,54,40,River Plate,Milton Casco,-0.18,0.78,-1.0,,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,60,42,River Plate,Nicolás Fonseca,-0.18,0.78,-1.0,,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,63,2,River Plate,Paulo Díaz,0.37,-0.08,-1.0,,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,67,13,River Plate,Nicolás Fonseca,0.59,0.31,-1.0,,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,70,39,River Plate,Sebastián Boselli,-0.04,-0.55,-1.0,,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,74,47,River Plate,Franco Mastantuono,0.22,0.25,-1.0,,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,82,33,River Plate,Sebastián Boselli,0.08,-0.09,-1.0,,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,90,13,River Plate,Matías Kranevitter,0.19,0.62,-1.0,,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,6,59,River Plate,Pablo Solari,0.13,0.63,-1.0,Mauro Maidana,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,8,49,River Plate,Facundo Colidio,0.28,-0.79,-1.0,Luciano Abecasis,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,9,29,Independiente Riv. (M),Luciano Abecasis,-0.36,-0.48,-1.0,Facundo Colidio,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,16,23,River Plate,Miguel Ángel Borja,0.82,-0.69,-1.0,Luciano Abecasis,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,17,4,River Plate,Nicolás Fonseca,-0.43,-0.1,-1.0,Matías Reali,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,24,11,Independiente Riv. (M),Matías Reali,0.03,-0.62,-1.0,Facundo Colidio,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,25,11,River Plate,Claudio Echeverri,0.27,-0.55,-1.0,Victorio Ramis,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,31,46,River Plate,Nicolás Fonseca,-0.33,-0.3,-1.0,Matías Reali,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,35,22,Independiente Riv. (M),Antonio Napolitano,0.36,-0.78,-1.0,Claudio Echeverri,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,35,44,River Plate,Paulo Díaz,-0.4,-0.7,-1.0,Victorio Ramis,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,37,51,River Plate,Sebastián Boselli,0.1,0.44,-1.0,Juan Ignacio Cavallaro,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,42,27,Independiente Riv. (M),Victorio Ramis,-0.02,0.72,-1.0,Sebastián Boselli,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,1,42,44,Independiente Riv. (M),Gastón Gil Romero,0.36,-0.16,-1.0,Claudio Echeverri,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,46,5,River Plate,Rodrigo Aliendro,-0.44,-0.38,-1.0,Francisco Petrasso,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,54,2,Independiente Riv. (M),Luciano Abecasis,-0.39,0.82,-1.0,Facundo Colidio,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,56,1,Independiente Riv. (M),Matías Reali,-0.33,-0.45,-1.0,Rodrigo Aliendro,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,62,30,River Plate,Andrés Herrera,-0.07,-0.57,-1.0,Matías Reali,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,64,25,Independiente Riv. (M),Luciano Abecasis,0.57,0.7,-1.0,Milton Casco,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,65,31,Independiente Riv. (M),Victorio Ramis,-0.15,0.32,-1.0,Nicolás Fonseca,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,69,42,Independiente Riv. (M),Tobías Ostchega,0.01,-0.61,-1.0,Andrés Herrera,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,72,31,River Plate,Facundo Colidio,-0.31,0.8,-1.0,Francisco Petrasso,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,81,47,Independiente Riv. (M),Gastón Gil Romero,-0.2,-0.39,-1.0,Ignacio Fernández,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,83,37,River Plate,Milton Casco,-0.19,0.47,-1.0,Sebastián Zeballos,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,90,44,River Plate,Andrés Herrera,-0.15,-0.63,-1.0,Matías Reali,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,foul,2,93,21,Independiente Riv. (M),Victorio Ramis,-0.05,0.11,-1.0,Paulo Díaz,,,,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,0,48,Independiente Riv. (M),Victorio Ramis,-0.73,-0.24,-1.0,Franco Armani,-0.98,-0.1,0.49,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,6,10,River Plate,Facundo Colidio,0.8,-0.26,-1.0,,0.98,0.15,0.41,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,11,13,River Plate,Claudio Echeverri,0.63,-0.38,-1.0,Gonzalo Marinelli,0.93,0.07,0.35,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,13,35,River Plate,Facundo Colidio,0.46,-0.3,-1.0,Gonzalo Marinelli,0.98,0.05,0.49,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,13,44,River Plate,Rodrigo Aliendro,0.85,-0.39,-1.0,,0.99,-0.17,0.46,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,15,3,River Plate,Facundo Colidio,0.7,-0.38,-1.0,,0.99,0.29,-1.0,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,18,32,Independiente Riv. (M),Matías Reali,-0.44,-0.14,-1.0,Sebastián Boselli,-0.63,-0.08,0.6,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,21,18,River Plate,Miguel Ángel Borja,0.75,-0.14,-1.0,,0.99,0.14,0.56,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,22,31,Independiente Riv. (M),Matías Reali,-0.52,-0.3,-1.0,Franco Armani,-0.93,0.07,0.13,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,28,10,River Plate,Andrés Herrera,0.73,0.41,-1.0,Gonzalo Marinelli,0.94,0.02,0.31,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,28,15,River Plate,Miguel Ángel Borja,0.79,-0.02,-1.0,,0.99,0.0,0.98,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,33,3,River Plate,Miguel Ángel Borja,0.74,0.21,-1.0,,0.98,0.09,0.16,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,1,46,2,River Plate,Facundo Colidio,0.72,-0.06,-1.0,,0.85,-0.31,-1.0,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,47,56,River Plate,Pablo Solari,-0.54,-0.5,-1.0,Gonzalo Marinelli,-0.92,0.06,0.22,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,52,47,River Plate,Andrés Herrera,-0.55,-0.38,-1.0,Gonzalo Marinelli,-0.96,-0.06,0.67,
06-03-2024,21:30,River Plate,Independiente Riv. (M),Argentina - Copa LPF 2024,Antonio Vespucio Liberti,shot,2,58,52,Independiente Riv. (M),Victorio Ramis,0.73,0.02,-1.0,Franco Armani,0.99,-0.02,0.38,
