date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
06-03-2024,19:15,Unión,Boca Juniors,Argentina - Copa LPF 2024,15 de abril,steal,1,1,57,Unión,Federico Vera,0.34,-0.54,-1.0,,,,,
06-03-2024,19:15,Unión,Boca Juniors,Argentina - Copa LPF 2024,15 de abril,steal,1,3,5,Unión,Joaquín Mosqueira,-0.51,0.45,-1.0,,,,,
06-03-2024,19:15,Unión,Boca Juniors,Argentina - Copa LPF 2024,15 de abril,steal,1,3,38,Unión,Franco Pardo,0.04,-0.41,-1.0,,,,,
06-03-2024,19:15,Unión,Boca Juniors,Argentina - Copa LPF 2024,15 de abril,steal,1,8,50,Unión,Franco Pardo,0.85,0.35,-1.0,,,,,
06-03-2024,19:15,Unión,Boca Juniors,Argentina - Copa LPF 2024,15 de abril,steal,1,14,25,Unión,Joaquín Mosqueira,-0.84,-0.88,-1.0,,,,,
06-03-2024,19:15,Unión,Boca Juniors,Argentina - Copa LPF 2024,15 de abril,steal,1,22,17,Unión,Mauro Pittón,-0.46,0.6,-1.0,,,,,
06-03-2024,19:15,Unión,Boca Juniors,Argentina - Copa LPF 2024,15 de abril,steal,1,27,9,Unión,Mauro Luna Diale,0.44,0.51,-1.0,,,,,
06-03-2024,19:15,Unión,Boca Juniors,Argentina - Copa LPF 2024,15 de abril,steal,1,34,17,Unión,Nicolás Paz,0.52,-0.4,-1.0,,,,,
06-03-2024,19:15,Unión,Boca Juniors,Argentina - Copa LPF 2024,15 de abril,steal,1,35,5,Unión,Franco Pardo,0.1,-0.61,-1.0,,,,,
06-03-2024,19:15,Unión,Boca Juniors,Argentina - Copa LPF 2024,15 de abril,steal,1,36,35,Unión,Joaquín Mosqueira,-0.2,0.42,-1.0,,,,,
06-03-2024,19:15,Unión,Boca Juniors,Argentina - Copa LPF 2024,15 de abril,steal,1,39,18,Unión,Lucas Gamba,-0.87,-0.55,-1.0,,,,,
06-03-2024,19:15,Unión,Boca Juniors,Argentina - Copa LPF 2024,15 de abril,steal,1,41,2,Unión,Joaquín Mosqueira,0.17,-0.38,-1.0,,,,,
06-03-2024,19:15,Unión,Boca Juniors,Argentina - Copa LPF 2024,15 de abril,steal,2,48,1,Unión,Nicolás Paz,-0.4,-0.04,-1.0,,,,,
