date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
07-03-2024,21:15,Belgrano,Defensa y Justicia,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,1,53,Belgrano,Francisco González Metilli,0.22,-0.64,-1.0,,,,,
07-03-2024,21:15,Belgrano,Defensa y Justicia,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,2,21,Defensa y Justicia,Kevin López,0.31,0.05,-1.0,,,,,
07-03-2024,21:15,Belgrano,Defensa y Justicia,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,4,4,Defensa y Justicia,Kevin López,0.4,0.13,-1.0,,,,,
07-03-2024,21:15,Belgrano,Defensa y Justicia,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,10,13,Belgrano,Lucas Passerini,0.25,-0.49,-1.0,,,,,
07-03-2024,21:15,Belgrano,Defensa y Justicia,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,12,30,Defensa y Justicia,Alexis Soto,0.91,0.56,-1.0,,,,,
07-03-2024,21:15,Belgrano,Defensa y Justicia,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,13,41,Belgrano,Nicolás Meriano,-0.22,0.51,-1.0,,,,,
07-03-2024,21:15,Belgrano,Defensa y Justicia,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,18,36,Defensa y Justicia,Rodrigo Bogarín,-0.74,-0.83,-1.0,,,,,
07-03-2024,21:15,Belgrano,Defensa y Justicia,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,22,48,Defensa y Justicia,Emanuel Aguilera,0.5,-0.77,-1.0,,,,,
07-03-2024,21:15,Belgrano,Defensa y Justicia,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,31,39,Defensa y Justicia,Kevin López,0.03,-0.01,-1.0,,,,,
07-03-2024,21:15,Belgrano,Defensa y Justicia,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,34,44,Defensa y Justicia,Nicolás Fernández,0.29,0.06,-1.0,,,,,
07-03-2024,21:15,Belgrano,Defensa y Justicia,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,35,57,Belgrano,Alex Ibacache,0.85,-0.64,-1.0,,,,,
