date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,7,12,Dep. Riestra,Jonatan Goya,0.49,0.91,-1.0,,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,7,35,Talleres,Lucas Suárez,0.76,0.74,-1.0,,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,26,16,Dep. Riestra,Jonatan Goya,-0.88,0.6,-1.0,,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,38,27,Dep. Riestra,Jonatan Goya,-0.23,0.57,-1.0,,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,48,52,Dep. Riestra,Jonatan Goya,-0.56,-0.08,-1.0,,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,64,55,Dep. Riestra,Jonathan Herrera,-0.75,0.58,-1.0,,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,65,37,Dep. Riestra,Maximiliano Rodríguez,0.45,0.79,-1.0,,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,67,9,Dep. Riestra,Alan Barrionuevo,0.82,-0.75,-1.0,,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,69,59,Talleres,Miguel Navarro,-0.12,-0.82,-1.0,,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,76,56,Dep. Riestra,Alan Barrionuevo,0.59,-0.49,-1.0,,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,88,4,Dep. Riestra,Delfor Minervino,0.33,0.74,-1.0,,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,1,48,Dep. Riestra,Jonatan Goya,0.14,0.33,-1.0,Federico Girotti,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,2,14,Dep. Riestra,Jonatan Goya,-0.44,0.06,-1.0,Rubén Botta,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,4,20,Talleres,Federico Girotti,-0.42,-0.01,-1.0,Guillermo Pereira,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,5,12,Talleres,Matías Catalán,0.3,-0.66,-1.0,Jonathan Herrera,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,6,31,Dep. Riestra,Maximiliano Rodríguez,0.12,0.66,-1.0,Alejandro Martínez,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,11,51,Dep. Riestra,Jonatan Goya,-0.69,0.73,-1.0,Ramón Sosa,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,15,32,Dep. Riestra,Tomás Villoldo,-0.88,-0.38,-1.0,Gastón Benavídez,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,18,47,Talleres,Juan Camilo Portilla,0.78,-0.86,-1.0,Milton Céliz,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,19,29,Talleres,Alejandro Martínez,-0.75,-0.44,-1.0,Jonatan Goitía,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,22,47,Talleres,Lucas Suárez,0.54,-0.42,-1.0,Milton Céliz,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,33,43,Dep. Riestra,Milton Céliz,0.72,-0.33,-1.0,Federico Girotti,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,36,7,Dep. Riestra,Jonatan Goya,0.12,0.59,-1.0,Rubén Botta,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,42,54,Talleres,Rubén Botta,0.28,-0.42,-1.0,Guillermo Pereira,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,44,59,Dep. Riestra,Milton Céliz,0.5,-0.35,-1.0,Juan Camilo Portilla,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,45,56,Dep. Riestra,Nicolás Benegas,0.1,0.61,-1.0,Miguel Navarro,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,47,1,Dep. Riestra,Nicolás Benegas,0.3,-0.53,-1.0,,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,48,1,Talleres,Matías Catalán,,,,,,,,
07-03-2024,17:00,Dep. Riestra,Talleres,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,48,59,Talleres,Federico Girotti,-0.46,-0.14,-1.0,Nicolás Caro Torres,,,,
