date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
07-03-2024,19:00,Lanús,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,2,54,Lanús,Luciano Boggio,-0.07,-0.26,-1.0,,,,,
07-03-2024,19:00,Lanús,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,4,27,Lanús,Luciano Boggio,-0.06,-0.11,-1.0,,,,,
07-03-2024,19:00,Lanús,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,5,19,Lanús,Abel Luciatti,0.09,0.36,-1.0,,,,,
07-03-2024,19:00,Lanús,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,11,45,Central Córdoba (SE),Pablo Minissale,0.37,-0.39,-1.0,,,,,
07-03-2024,19:00,Lanús,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,11,49,Lanús,Luciano Boggio,0.07,-0.37,-1.0,,,,,
07-03-2024,19:00,Lanús,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,14,3,Central Córdoba (SE),Florián Monzón,0.01,-0.04,-1.0,,,,,
07-03-2024,19:00,Lanús,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,19,4,Lanús,Raúl Loaiza,0.08,-0.39,-1.0,,,,,
07-03-2024,19:00,Lanús,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,21,35,Lanús,Ramiro Carrera,0.2,-0.71,-1.0,,,,,
07-03-2024,19:00,Lanús,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,22,29,Lanús,Braian Aguirre,0.29,0.87,-1.0,,,,,
07-03-2024,19:00,Lanús,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,22,32,Central Córdoba (SE),Santiago Laquidain,0.37,0.84,-1.0,,,,,
07-03-2024,19:00,Lanús,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,23,45,Central Córdoba (SE),Rodrigo Atencio,0.53,0.67,-1.0,,,,,
07-03-2024,19:00,Lanús,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,27,28,Central Córdoba (SE),Santiago Laquidain,0.11,0.27,-1.0,,,,,
07-03-2024,19:00,Lanús,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,28,18,Lanús,Abel Luciatti,-0.62,-0.53,-1.0,,,,,
07-03-2024,19:00,Lanús,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,28,55,Lanús,Braian Aguirre,0.19,-0.16,-1.0,,,,,
07-03-2024,19:00,Lanús,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,31,33,Lanús,Abel Luciatti,-0.94,-0.46,-1.0,,,,,
07-03-2024,19:00,Lanús,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,32,19,Lanús,Raúl Loaiza,-0.09,-0.79,-1.0,,,,,
