date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,4,1,Newell`s,Ever Banega,-0.23,0.3,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,5,20,Newell`s,Ángelo Martino,-0.56,-0.22,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,6,29,Newell`s,Ángelo Martino,-0.29,-0.67,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,9,13,Newell`s,Ever Banega,-0.29,-0.6,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,11,19,Newell`s,Armando Méndez,-0.6,0.85,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,12,24,Newell`s,Armando Méndez,-0.36,0.71,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,13,47,Newell`s,Julián Fernández,-0.41,0.24,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,14,35,Tigre,Martín Garay,0.35,-0.54,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,15,44,Newell`s,Brian Aguirre,0.37,-0.54,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,18,16,Newell`s,Brian Aguirre,-0.48,-0.42,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,25,32,Newell`s,Ángelo Martino,-0.35,-0.57,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,28,24,Newell`s,Franco Díaz,-0.18,-0.29,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,28,42,Tigre,Martín Garay,0.37,-0.9,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,31,43,Newell`s,Franco Díaz,-0.3,-0.49,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,33,8,Newell`s,Ángelo Martino,-0.18,-0.6,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,42,17,Newell`s,Víctor Velázquez,-0.73,0.48,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,42,28,Newell`s,Brian Aguirre,0.71,-0.31,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,43,57,Newell`s,Juan Ignacio Ramírez,0.24,0.37,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,45,27,Newell`s,Ian Glavinovich,0.07,0.5,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,45,24,Tigre,Martín Ortega,-0.45,0.73,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,47,13,Newell`s,Brian Aguirre,-0.39,-0.38,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,49,35,Newell`s,Víctor Velázquez,0.4,-0.04,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,51,18,Newell`s,Franco Díaz,0.32,0.48,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,52,48,Newell`s,Ever Banega,-0.41,0.45,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,54,22,Newell`s,Ever Banega,0.39,-0.02,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,58,6,Newell`s,Brian Aguirre,0.52,-0.66,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,64,53,Newell`s,Julián Fernández,0.41,0.13,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,66,59,Newell`s,Julián Fernández,0.2,0.28,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,72,50,Tigre,Gonzalo Maroni,0.29,0.13,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,77,37,Tigre,Gian Nardelli,-0.4,0.35,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,79,55,Newell`s,Ian Glavinovich,0.32,0.35,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,80,4,Newell`s,Ignacio Schor,0.08,-0.48,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,94,59,Newell`s,Franco Díaz,0.86,0.32,-1.0,,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,4,19,Tigre,Juan Cruz Esquivel,-0.05,0.67,-1.0,Ever Banega,,,,
07-03-2024,21:15,Newell`s,Tigre,Argentina - Copa LPF 2024,Marcelo Bielsa,foul,1,4,52,Newell`s,Juan Ignacio Ramírez,-0.13,0.68,-1.0,Brahian Alemán,,,,
