date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
21-03-2024,19:00,San Lorenzo,Godoy Cruz,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,2,22,San Lorenzo,Manuel Insaurralde,-0.28,-0.63,-1.0,,,,,
21-03-2024,19:00,San Lorenzo,Godoy Cruz,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,2,39,San Lorenzo,Manuel Insaurralde,-0.24,0.05,-1.0,,,,,
21-03-2024,19:00,San Lorenzo,Godoy Cruz,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,3,29,San Lorenzo,Jhohan Romaña,-0.36,0.53,-1.0,,,,,
21-03-2024,19:00,San Lorenzo,Godoy Cruz,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,3,43,Godoy Cruz,Lucas Arce,0.37,-0.55,-1.0,,,,,
21-03-2024,19:00,San Lorenzo,Godoy Cruz,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,4,13,San Lorenzo,Gonzalo Luján,-0.72,0.83,-1.0,,,,,
21-03-2024,19:00,San Lorenzo,Godoy Cruz,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,5,34,San Lorenzo,Elián Irala,-0.31,-0.33,-1.0,,,,,
21-03-2024,19:00,San Lorenzo,Godoy Cruz,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,5,32,Godoy Cruz,Hernán López Muñoz,-0.35,-0.76,-1.0,,,,,
21-03-2024,19:00,San Lorenzo,Godoy Cruz,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,8,46,Godoy Cruz,Nicolás Fernández,0.13,-0.85,-1.0,,,,,
21-03-2024,19:00,San Lorenzo,Godoy Cruz,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,10,55,Godoy Cruz,Federico Rasmussen,0.86,-0.58,-1.0,,,,,
21-03-2024,19:00,San Lorenzo,Godoy Cruz,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,13,55,San Lorenzo,Elián Irala,-0.54,-0.8,-1.0,,,,,
21-03-2024,19:00,San Lorenzo,Godoy Cruz,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,14,41,Godoy Cruz,Tomás Conechny,0.17,-0.84,-1.0,,,,,
