date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,1,0,31,Rosario Central,Emanuel Coronel,0.39,-0.49,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,1,3,42,Rosario Central,Juan Giménez,0.74,-0.56,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,1,5,44,Rosario Central,Emanuel Coronel,0.42,-0.65,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,1,10,24,Argentinos Juniors,Maximiliano Romero,0.77,-0.81,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,1,12,2,Rosario Central,Carlos Quintana,0.53,0.46,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,1,12,14,Rosario Central,Ignacio Malcorra,-0.48,0.72,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,1,14,37,Argentinos Juniors,Leonardo Heredia,-0.29,-0.67,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,1,15,6,Rosario Central,Mauricio Martínez,0.26,0.03,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,1,15,46,Rosario Central,Mauricio Martínez,-0.06,0.14,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,1,37,13,Argentinos Juniors,Leonardo Heredia,-0.44,-0.3,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,1,39,4,Argentinos Juniors,Thiago Santamaría,0.13,0.74,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,2,47,38,Argentinos Juniors,Francisco Álvarez,-0.03,0.71,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,2,50,27,Rosario Central,Agustín Módica,-0.12,-0.27,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,2,50,32,Argentinos Juniors,Thiago Santamaría,0.41,-0.17,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,2,57,4,Rosario Central,Ignacio Malcorra,-0.3,-0.2,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,2,61,28,Rosario Central,Juan Cruz Komar,-0.35,-0.19,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,2,61,27,Argentinos Juniors,Nicolás Oroz,-0.2,-0.57,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,2,63,34,Argentinos Juniors,Luciano Gondou,-0.38,-0.81,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,2,64,12,Argentinos Juniors,Alan Lescano,-0.26,-0.42,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,2,72,42,Rosario Central,Juan Giménez,-0.42,0.45,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,2,76,34,Rosario Central,Carlos Quintana,-0.37,0.08,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,2,78,11,Rosario Central,Juan Giménez,-0.48,0.36,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,2,81,8,Rosario Central,Tomás O'Connor,-0.29,-0.46,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,2,86,43,Rosario Central,Mauricio Martínez,-0.05,-0.14,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,2,88,6,Rosario Central,Mauricio Martínez,-0.04,-0.29,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,steal,2,88,42,Argentinos Juniors,Matías Perelló,0.32,0.77,-1.0,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,1,10,24,Rosario Central,Emanuel Coronel,0.76,-0.8,-1.0,Maximiliano Romero,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,1,15,12,Argentinos Juniors,Leonardo Heredia,0.21,-0.13,-1.0,Kevin Ortiz,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,1,28,14,Rosario Central,Kevin Ortiz,0.34,-0.26,-1.0,Leonardo Heredia,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,1,29,37,Argentinos Juniors,Román Vega,-0.13,-0.6,-1.0,Ignacio Malcorra,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,1,30,17,Argentinos Juniors,Tobías Palacio,-0.36,-0.5,-1.0,Emanuel Coronel,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,1,31,37,Rosario Central,Emanuel Coronel,0.07,-0.66,-1.0,Román Vega,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,1,31,58,Rosario Central,Agustín Módica,0.35,0.05,-1.0,Ariel Gamarra,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,1,33,21,Argentinos Juniors,Luciano Gondou,0.45,-0.45,-1.0,Juan Giménez,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,1,39,28,Argentinos Juniors,Román Vega,-0.48,-0.76,-1.0,Agustín Módica,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,1,45,45,Argentinos Juniors,Thiago Santamaría,0.34,0.86,-1.0,Ignacio Malcorra,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,1,50,12,Rosario Central,Carlos Quintana,,,,,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,2,47,52,Rosario Central,Kevin Ortiz,-0.33,0.66,-1.0,Ariel Gamarra,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,2,54,5,Rosario Central,Kevin Ortiz,0.1,0.78,-1.0,Román Vega,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,2,61,24,Rosario Central,Carlos Quintana,-0.39,-0.45,-1.0,Gastón Verón,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,2,65,50,Rosario Central,Mauricio Martínez,0.41,-0.71,-1.0,Thiago Santamaría,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,2,69,57,Argentinos Juniors,Tobías Palacio,0.73,-0.78,-1.0,Ignacio Malcorra,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,2,74,41,Rosario Central,Kevin Ortiz,-0.15,0.58,-1.0,Ariel Gamarra,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,2,86,50,Argentinos Juniors,Juan José Cardozo,0.43,0.47,-1.0,Lautaro Giaccone,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,2,89,11,Argentinos Juniors,Thiago Santamaría,0.35,-0.89,-1.0,Jaminton Campaz,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,2,91,20,Argentinos Juniors,Gastón Verón,0.25,-0.86,-1.0,Alan Rodríguez,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,2,93,48,Rosario Central,Juan Cruz Komar,-0.91,0.69,-1.0,Matías Perelló,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,foul,2,95,8,Rosario Central,Ignacio Malcorra,-0.72,0.93,-1.0,Matías Perelló,,,,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,shot,1,5,53,Rosario Central,Agustín Módica,-0.71,-0.31,-1.0,,-1.0,-0.06,0.1,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,shot,1,11,22,Argentinos Juniors,Maximiliano Romero,0.81,-0.1,-1.0,,1.0,0.2,-1.0,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,shot,1,17,34,Argentinos Juniors,Luciano Gondou,0.58,0.33,-1.0,Jorge Broun,0.95,-0.06,0.34,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,shot,1,20,39,Argentinos Juniors,Francisco Álvarez,0.77,-0.03,-1.0,,0.99,0.0,0.68,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,shot,1,21,48,Argentinos Juniors,Leonardo Heredia,0.53,0.1,-1.0,Jorge Broun,0.96,-0.05,0.72,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,shot,1,24,20,Argentinos Juniors,Emiliano Viveros,0.49,0.2,-1.0,,1.0,-0.04,-1.0,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,shot,1,31,15,Rosario Central,Mauricio Martínez,-0.81,0.11,-1.0,Diego Rodríguez,-0.98,0.01,0.47,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,shot,1,40,33,Argentinos Juniors,Leonardo Heredia,-0.82,0.02,-1.0,,-0.98,0.04,0.25,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,shot,1,45,35,Argentinos Juniors,Luciano Gondou,0.79,0.03,-1.0,Jorge Broun,0.83,0.01,0.08,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,shot,1,49,42,Argentinos Juniors,Alan Lescano,0.53,-0.1,-1.0,Jorge Broun,0.97,-0.05,0.84,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,shot,1,51,17,Argentinos Juniors,Alan Lescano,0.74,0.01,-1.0,,0.99,-0.06,0.69,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,shot,2,48,49,Argentinos Juniors,Francisco Álvarez,-0.74,0.13,-1.0,,-1.0,0.3,-1.0,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,shot,2,49,37,Rosario Central,Mauricio Martínez,0.45,-0.07,-1.0,,0.99,0.28,-1.0,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,shot,2,51,27,Argentinos Juniors,Leonardo Heredia,-0.45,-0.13,-1.0,Jorge Broun,-0.96,-0.12,0.6,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,shot,2,55,29,Argentinos Juniors,Alan Lescano,-0.43,-0.14,-1.0,,-1.0,0.0,-1.0,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,shot,2,58,17,Rosario Central,Ignacio Malcorra,0.71,0.18,-1.0,Diego Rodríguez,0.81,0.11,0.09,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,shot,2,58,36,Argentinos Juniors,Luciano Gondou,-0.5,-0.18,-1.0,,-1.0,0.03,0.73,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,shot,2,60,38,Rosario Central,Agustín Módica,0.47,0.14,-1.0,,0.99,-0.16,0.68,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,shot,2,62,14,Argentinos Juniors,Gastón Verón,-0.57,0.15,-1.0,,-0.98,0.15,-1.0,
10-05-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Torneo Sur Finanzas 2024,Diego Armando Maradona,shot,2,72,56,Rosario Central,Mauricio Martínez,0.47,-0.22,-1.0,,0.99,-0.41,-1.0,
