date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
10-05-2024,21:15,Newell`s,Platense,Argentina - Torneo Sur Finanzas 2024,Marcelo Bielsa,steal,1,18,7,Newell`s,Ever Banega,0.45,0.02,-1.0,,,,,
10-05-2024,21:15,Newell`s,Platense,Argentina - Torneo Sur Finanzas 2024,Marcelo Bielsa,steal,1,18,21,Platense,Ignacio Vázquez,0.46,-0.81,-1.0,,,,,
10-05-2024,21:15,Newell`s,Platense,Argentina - Torneo Sur Finanzas 2024,Marcelo Bielsa,steal,1,36,34,Platense,Iván Gómez,-0.05,-0.72,-1.0,,,,,
10-05-2024,21:15,Newell`s,Platense,Argentina - Torneo Sur Finanzas 2024,Marcelo Bielsa,steal,1,44,27,Platense,Sasha Marcich,-0.14,0.75,-1.0,,,,,
10-05-2024,21:15,Newell`s,Platense,Argentina - Torneo Sur Finanzas 2024,Marcelo Bielsa,steal,1,44,24,Newell`s,Jerónimo Cacciabue,-0.71,0.01,-1.0,,,,,
10-05-2024,21:15,Newell`s,Platense,Argentina - Torneo Sur Finanzas 2024,Marcelo Bielsa,steal,2,47,43,Platense,Juan Ignacio Saborido,-0.2,0.6,-1.0,,,,,
10-05-2024,21:15,Newell`s,Platense,Argentina - Torneo Sur Finanzas 2024,Marcelo Bielsa,steal,2,62,39,Newell`s,Rodrigo Fernández,-0.46,0.1,-1.0,,,,,
10-05-2024,21:15,Newell`s,Platense,Argentina - Torneo Sur Finanzas 2024,Marcelo Bielsa,steal,2,69,6,Newell`s,Rodrigo Fernández,-0.06,-0.21,-1.0,,,,,
10-05-2024,21:15,Newell`s,Platense,Argentina - Torneo Sur Finanzas 2024,Marcelo Bielsa,steal,2,70,17,Newell`s,Ian Glavinovich,0.13,0.11,-1.0,,,,,
10-05-2024,21:15,Newell`s,Platense,Argentina - Torneo Sur Finanzas 2024,Marcelo Bielsa,steal,2,72,37,Platense,Iván Gómez,0.73,-0.79,-1.0,,,,,
10-05-2024,21:15,Newell`s,Platense,Argentina - Torneo Sur Finanzas 2024,Marcelo Bielsa,steal,2,79,0,Newell`s,Brian Aguirre,0.1,0.35,-1.0,,,,,
10-05-2024,21:15,Newell`s,Platense,Argentina - Torneo Sur Finanzas 2024,Marcelo Bielsa,steal,2,88,52,Newell`s,Ignacio Schor,0.01,-0.17,-1.0,,,,,
10-05-2024,21:15,Newell`s,Platense,Argentina - Torneo Sur Finanzas 2024,Marcelo Bielsa,steal,2,94,37,Newell`s,Julián Fernández,-0.21,-0.29,-1.0,,,,,
10-05-2024,21:15,Newell`s,Platense,Argentina - Torneo Sur Finanzas 2024,Marcelo Bielsa,foul,1,1,1,Platense,Juan Ignacio Saborido,-0.23,-0.88,-1.0,Guillermo Balzi,,,,
10-05-2024,21:15,Newell`s,Platense,Argentina - Torneo Sur Finanzas 2024,Marcelo Bielsa,foul,1,2,14,Newell`s,Ángelo Martino,0.13,-0.46,-1.0,Fernando Juárez,,,,
