date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
10-05-2024,19:00,Sarmiento,Instituto,Argentina - Torneo Sur Finanzas 2024,Eva Perón,steal,1,7,17,Instituto,Damián Puebla,-0.01,-0.25,-1.0,,,,,
10-05-2024,19:00,Sarmiento,Instituto,Argentina - Torneo Sur Finanzas 2024,Eva Perón,steal,1,35,55,Instituto,Fernando Alarcón,0.48,-0.2,-1.0,,,,,
10-05-2024,19:00,Sarmiento,Instituto,Argentina - Torneo Sur Finanzas 2024,Eva Perón,steal,1,39,16,Instituto,Jonás Acevedo,-0.32,0.03,-1.0,,,,,
10-05-2024,19:00,Sarmiento,Instituto,Argentina - Torneo Sur Finanzas 2024,Eva Perón,steal,2,46,36,Sarmiento,Franco Paredes,0.46,-0.81,-1.0,,,,,
10-05-2024,19:00,Sarmiento,Instituto,Argentina - Torneo Sur Finanzas 2024,Eva Perón,steal,2,49,15,Sarmiento,Gabriel Gudiño,-0.21,-0.21,-1.0,,,,,
10-05-2024,19:00,Sarmiento,Instituto,Argentina - Torneo Sur Finanzas 2024,Eva Perón,steal,2,63,18,Sarmiento,José Mauri,0.5,0.4,-1.0,,,,,
10-05-2024,19:00,Sarmiento,Instituto,Argentina - Torneo Sur Finanzas 2024,Eva Perón,steal,2,76,27,Instituto,Nicolás  Dubersarsky,-0.23,0.07,-1.0,,,,,
10-05-2024,19:00,Sarmiento,Instituto,Argentina - Torneo Sur Finanzas 2024,Eva Perón,steal,2,80,56,Sarmiento,Franco Paredes,0.46,-0.66,-1.0,,,,,
10-05-2024,19:00,Sarmiento,Instituto,Argentina - Torneo Sur Finanzas 2024,Eva Perón,foul,1,1,8,Sarmiento,Gabriel Gudiño,0.85,0.07,-1.0,Manuel Roffo,,,,
10-05-2024,19:00,Sarmiento,Instituto,Argentina - Torneo Sur Finanzas 2024,Eva Perón,foul,1,4,48,Instituto,Jonathan Bay,-0.76,0.24,-1.0,Franco Paredes,,,,
10-05-2024,19:00,Sarmiento,Instituto,Argentina - Torneo Sur Finanzas 2024,Eva Perón,foul,1,5,31,Instituto,Jonathan Bay,0.4,0.52,-1.0,Joaquín Gho,,,,
10-05-2024,19:00,Sarmiento,Instituto,Argentina - Torneo Sur Finanzas 2024,Eva Perón,foul,1,18,16,Instituto,Nicolás  Dubersarsky,0.24,-0.42,-1.0,Diego Calcaterra,,,,
10-05-2024,19:00,Sarmiento,Instituto,Argentina - Torneo Sur Finanzas 2024,Eva Perón,foul,1,23,23,Instituto,Jonás Acevedo,-0.07,0.1,-1.0,José Mauri,,,,
10-05-2024,19:00,Sarmiento,Instituto,Argentina - Torneo Sur Finanzas 2024,Eva Perón,foul,1,26,24,Instituto,Ignacio Russo,0.37,0.38,-1.0,José Mauri,,,,
