date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,steal,1,0,22,Godoy Cruz,Facundo Altamira,0.12,0.91,-1.0,,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,steal,1,18,51,Barracas Central,Rodrigo Herrera,-0.13,-0.21,-1.0,,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,steal,1,19,1,Godoy Cruz,Vicente Poggi,0.2,0.03,-1.0,,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,steal,1,22,19,Godoy Cruz,Bruno Leyes,-0.02,0.73,-1.0,,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,steal,1,27,27,Godoy Cruz,Vicente Poggi,0.11,0.63,-1.0,,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,steal,1,30,21,Barracas Central,Nicolás Capraro,0.3,-0.9,-1.0,,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,steal,1,37,33,Godoy Cruz,Mariano Santiago,-0.17,-0.27,-1.0,,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,steal,1,39,42,Barracas Central,Rodrigo Herrera,0.18,-0.49,-1.0,,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,steal,1,43,25,Godoy Cruz,Federico Rasmussen,0.29,0.53,-1.0,,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,steal,2,48,47,Godoy Cruz,Bruno Leyes,0.07,0.51,-1.0,,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,steal,2,58,21,Godoy Cruz,Lucas Arce,-0.08,-0.46,-1.0,,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,steal,2,64,44,Barracas Central,Nicolás Capraro,0.04,-0.06,-1.0,,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,steal,2,66,8,Godoy Cruz,Pier Barrios,0.35,-0.39,-1.0,,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,steal,2,66,5,Barracas Central,Siro Rosané,-0.15,-0.14,-1.0,,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,steal,2,66,52,Godoy Cruz,Lucas Arce,-0.24,-0.62,-1.0,,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,steal,2,71,2,Barracas Central,Siro Rosané,-0.39,0.02,-1.0,,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,steal,2,80,57,Godoy Cruz,Federico Rasmussen,0.49,0.47,-1.0,,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,steal,2,82,53,Godoy Cruz,Pier Barrios,0.47,-0.31,-1.0,,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,steal,2,88,36,Godoy Cruz,Lucas Arce,-0.25,-0.75,-1.0,,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,steal,2,89,59,Barracas Central,Facundo Mater,-0.48,0.81,-1.0,,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,foul,1,3,15,Godoy Cruz,Pier Barrios,0.44,-0.86,-1.0,Facundo Mater,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,foul,1,6,16,Godoy Cruz,Mariano Santiago,0.1,-0.06,-1.0,Rodrigo Herrera,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,foul,1,18,7,Godoy Cruz,Vicente Poggi,0.6,0.5,-1.0,Siro Rosané,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,foul,1,23,26,Godoy Cruz,Vicente Poggi,-0.41,-0.26,-1.0,Siro Rosané,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,foul,1,24,32,Godoy Cruz,Thomas Galdames,-0.58,0.55,-1.0,Alan Cantero,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,foul,1,27,6,Godoy Cruz,Lucas Arce,0.22,0.69,-1.0,Alan Cantero,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,foul,1,31,22,Barracas Central,Rodrigo Herrera,0.47,-0.45,-1.0,Thomas Galdames,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,foul,1,33,51,Godoy Cruz,Mariano Santiago,0.37,-0.38,-1.0,Rodrigo Herrera,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,foul,1,35,26,Barracas Central,Marco Iacobellis,0.17,0.71,-1.0,Pier Barrios,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,foul,1,35,58,Godoy Cruz,Facundo Altamira,0.93,0.79,-1.0,Marco Iacobellis,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,foul,1,43,39,Godoy Cruz,Vicente Poggi,0.51,0.35,-1.0,Siro Rosané,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,foul,1,45,6,Godoy Cruz,Bruno Leyes,-0.49,-0.55,-1.0,Marco Iacobellis,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,foul,2,47,14,Godoy Cruz,Federico Rasmussen,-0.96,-0.05,-1.0,Sebastián Moyano,,,,
11-05-2024,15:30,Godoy Cruz,Barracas Central,Argentina - Torneo Sur Finanzas 2024,Malvinas Argentinas,foul,2,57,10,Barracas Central,Marco Iacobellis,-0.07,-0.58,-1.0,Bruno Leyes,,,,
