date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,1,4,56,Huracán,Rodrigo Cabral,0.29,-0.27,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,1,5,41,Huracán,Lucas Souto,0.12,0.79,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,1,6,1,Huracán,Williams Alarcón,-0.7,0.21,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,1,15,17,Huracán,Guillermo Benítez,0.27,-0.15,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,1,21,53,Huracán,Lucas Souto,-0.43,0.74,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,1,27,19,Huracán,Rodrigo Cabral,-0.37,0.64,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,1,29,27,Defensa y Justicia,Kevin López,0.33,0.01,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,1,29,38,Huracán,Héctor Fértoli,0.39,-0.48,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,1,34,59,Huracán,Lucas Souto,-0.79,0.86,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,1,35,56,Huracán,Rodrigo Cabral,-0.51,-0.57,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,1,36,42,Huracán,Guillermo Benítez,0.43,-0.72,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,1,38,48,Huracán,Rodrigo Cabral,-0.06,0.08,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,1,42,0,Huracán,Walter Mazzantti,0.58,0.11,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,2,48,18,Defensa y Justicia,Rodrigo Bogarín,-0.08,0.19,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,2,53,5,Defensa y Justicia,Julián López,0.01,0.96,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,2,53,58,Defensa y Justicia,Rodrigo Bogarín,-0.04,-0.91,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,2,58,47,Huracán,Lucas Souto,-0.17,-0.44,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,2,63,57,Huracán,Fernando Tobio,0.57,-0.45,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,2,64,12,Huracán,Walter Mazzantti,0.2,-0.7,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,2,65,14,Huracán,Fernando Tobio,0.39,-0.52,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,2,66,47,Defensa y Justicia,Luciano Herrera,-0.35,0.29,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,2,68,43,Huracán,Rodrigo Cabral,0.42,0.31,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,2,69,30,Huracán,Lucas Souto,-0.35,-0.5,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,2,72,22,Huracán,Lucas Carrizo,0.36,0.45,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,2,72,41,Defensa y Justicia,Rodrigo Bogarín,0.18,0.82,-1.0,,,,,
11-05-2024,14:30,Huracán,Defensa y Justicia,Argentina - Torneo Sur Finanzas 2024,Tomás A. Ducó,steal,2,73,51,Huracán,Federico Fattori,0.4,-0.79,-1.0,,,,,
