date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,1,0,16,Independiente,Iván Marcone,-0.17,0.34,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,1,3,51,Independiente,Santiago López,0.69,0.52,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,1,17,21,Independiente,Juan Manuel Fedorco,-0.61,0.06,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,1,24,20,Independiente,David Martínez,0.1,0.53,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,1,29,43,Independiente,Mauricio Isla,-0.27,0.43,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,1,33,1,Independiente,Iván Marcone,0.13,0.6,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,1,35,5,Talleres,Matías Galarza,-0.29,0.65,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,1,40,55,Independiente,Adrián Spörle,-0.59,-0.52,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,1,43,50,Independiente,Santiago López,-0.28,0.42,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,1,51,18,Independiente,David Martínez,-0.39,0.75,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,2,45,41,Independiente,Joaquín Laso,0.32,0.34,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,2,46,26,Independiente,Juan Manuel Fedorco,0.41,0.02,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,2,48,38,Independiente,David Martínez,0.37,0.68,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,2,48,44,Talleres,Gastón Benavídez,-0.43,0.73,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,2,48,46,Independiente,Santiago López,-0.35,-0.06,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,2,51,22,Independiente,Iván Marcone,0.06,0.13,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,2,61,24,Independiente,Adrián Spörle,0.67,0.69,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,2,61,57,Independiente,Adrián Spörle,0.33,0.36,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,2,68,57,Independiente,Santiago López,0.2,0.56,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,2,71,53,Independiente,Iván Marcone,0.21,0.33,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,2,72,22,Independiente,Adrián Spörle,0.34,0.56,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,2,74,2,Independiente,Santiago López,0.45,0.52,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,2,90,23,Independiente,Juan Manuel Fedorco,0.58,0.33,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,steal,2,95,56,Talleres,Ulises Ortegoza,-0.6,0.03,-1.0,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,foul,1,0,36,Talleres,Gustavo Bou,0.12,-0.68,-1.0,David Martínez,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,foul,1,1,7,Talleres,Ulises Ortegoza,-0.19,-0.42,-1.0,David Martínez,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,foul,1,4,40,Independiente,Alex Luna,-0.24,-0.42,-1.0,Ulises Ortegoza,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,foul,1,15,0,Talleres,Ulises Ortegoza,-0.13,-0.64,-1.0,Alex Luna,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,foul,1,15,58,Independiente,Alexis Canelo,0.44,-0.55,-1.0,Lucas Suárez,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,foul,1,19,28,Independiente,David Martínez,,,,,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,foul,1,22,0,Talleres,Matías Galarza,-0.52,0.05,-1.0,Alexis Canelo,,,,
11-05-2024,17:30,Independiente,Talleres,Argentina - Torneo Sur Finanzas 2024,Libertadores de América,foul,1,26,28,Independiente,Mauricio Isla,-0.75,0.93,-1.0,Blas Riveros,,,,
