date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,1,1,4,River Plate,Milton Casco,0.5,-0.42,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,1,8,5,River Plate,Milton Casco,-0.43,-0.31,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,1,8,47,River Plate,Leandro González Pirez,-0.77,-0.66,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,1,10,16,River Plate,Nicolás Fonseca,-0.43,-0.23,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,1,16,25,River Plate,Nicolás Fonseca,0.07,0.08,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,1,16,36,River Plate,Ignacio Fernández,0.4,0.75,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,1,16,36,Central Córdoba (SE),Santiago Laquidain,0.59,0.84,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,1,22,2,River Plate,Leandro González Pirez,-0.29,0.64,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,1,22,31,River Plate,Pablo Solari,0.32,0.32,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,1,26,29,River Plate,Claudio Echeverri,0.28,-0.06,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,1,27,51,Central Córdoba (SE),Oscar Garrido,0.37,-0.69,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,1,30,54,River Plate,Milton Casco,0.11,-0.2,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,1,33,33,River Plate,Ignacio Fernández,-0.27,0.1,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,1,35,12,Central Córdoba (SE),Rodrigo Atencio,0.38,-0.85,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,1,35,45,River Plate,Agustín Sant'Anna,0.34,0.09,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,1,37,11,Central Córdoba (SE),Thiago Nuss,0.22,-0.86,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,1,38,39,River Plate,Ignacio Fernández,0.24,0.63,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,1,39,2,River Plate,Esequiel Barco,0.08,0.64,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,1,39,58,River Plate,Esequiel Barco,0.72,-0.57,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,2,48,50,Central Córdoba (SE),Thiago Nuss,-0.74,0.3,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,2,51,17,River Plate,Agustín Sant'Anna,0.45,-0.54,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,2,51,41,River Plate,Paulo Díaz,-0.37,0.46,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,2,52,26,Central Córdoba (SE),Thiago Nuss,-0.48,0.54,-1.0,,,,,
11-05-2024,19:45,River Plate,Central Córdoba (SE),Argentina - Torneo Sur Finanzas 2024,Antonio Vespucio Liberti,steal,2,53,35,River Plate,Leandro González Pirez,0.42,-0.57,-1.0,,,,,
