date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,steal,1,10,45,Boca Juniors,Ezequiel Fernández,-0.35,0.64,-1.0,,,,,
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,steal,1,20,23,Boca Juniors,Luca Langoni,0.19,-0.68,-1.0,,,,,
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,steal,1,21,9,Boca Juniors,Milton Delgado,0.12,-0.35,-1.0,,,,,
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,steal,1,21,41,Boca Juniors,Lautaro Blanco,-0.54,0.63,-1.0,,,,,
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,steal,1,24,14,Boca Juniors,Nicolás Figal,0.59,0.34,-1.0,,,,,
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,steal,1,26,23,Boca Juniors,Ezequiel Fernández,0.4,0.56,-1.0,,,,,
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,steal,1,40,30,Boca Juniors,Ezequiel Fernández,0.18,0.67,-1.0,,,,,
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,steal,1,47,12,Boca Juniors,Lautaro Di Lollo,-0.39,0.61,-1.0,,,,,
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,steal,2,45,24,Boca Juniors,Milton Delgado,-0.92,-0.63,-1.0,,,,,
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,steal,2,46,33,Boca Juniors,Cristian Medina,-0.48,0.11,-1.0,,,,,
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,steal,2,53,13,Boca Juniors,Luis Adví­ncula,-0.66,0.49,-1.0,,,,,
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,steal,2,71,29,Atlético Tucumán,Adrián Sánchez,0.87,0.76,-1.0,,,,,
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,steal,2,73,26,Boca Juniors,Ezequiel Fernández,-0.19,-0.31,-1.0,,,,,
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,steal,2,80,9,Boca Juniors,Luis Adví­ncula,0.07,0.77,-1.0,,,,,
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,steal,2,89,19,Boca Juniors,Lautaro Di Lollo,-0.85,0.53,-1.0,,,,,
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,steal,2,93,43,Boca Juniors,Ezequiel Fernández,0.17,-0.47,-1.0,,,,,
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,foul,1,1,13,Boca Juniors,Ezequiel Fernández,-0.46,0.87,-1.0,Agustín Lagos,,,,
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,foul,1,16,51,Boca Juniors,Frank Fabra,-0.6,0.82,-1.0,Renzo Tesuri,,,,
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,foul,1,17,37,Boca Juniors,Ezequiel Fernández,0.31,0.64,-1.0,Renzo Tesuri,,,,
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,foul,1,19,44,Atlético Tucumán,Guillermo Acosta,0.55,0.79,-1.0,Ezequiel Fernández,,,,
12-05-2024,20:15,Atlético Tucumán,Boca Juniors,Argentina - Torneo Sur Finanzas 2024,Monumental Presidente José Fierro,foul,1,23,29,Atlético Tucumán,Joaquín Pereyra,0.1,0.62,-1.0,Ezequiel Fernández,,,,
