date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
12-05-2024,17:45,Belgrano,Racing Club,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,1,53,Racing Club,Gabriel Rojas,0.32,0.77,-1.0,,,,,
12-05-2024,17:45,Belgrano,Racing Club,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,3,18,Belgrano,Gerónimo Heredia,-0.33,0.55,-1.0,,,,,
12-05-2024,17:45,Belgrano,Racing Club,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,9,53,Belgrano,Matías Moreno,-0.38,0.4,-1.0,,,,,
12-05-2024,17:45,Belgrano,Racing Club,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,19,21,Belgrano,Gerónimo Heredia,-0.12,0.08,-1.0,,,,,
12-05-2024,17:45,Belgrano,Racing Club,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,21,25,Racing Club,Santiago Sosa,0.34,0.59,-1.0,,,,,
12-05-2024,17:45,Belgrano,Racing Club,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,21,39,Belgrano,Facundo Lencioni,0.69,-0.87,-1.0,,,,,
12-05-2024,17:45,Belgrano,Racing Club,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,23,14,Racing Club,Gabriel Rojas,-0.28,0.64,-1.0,,,,,
12-05-2024,17:45,Belgrano,Racing Club,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,34,6,Belgrano,Gerónimo Heredia,0.35,-0.25,-1.0,,,,,
12-05-2024,17:45,Belgrano,Racing Club,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,34,48,Racing Club,Leonardo Sigali,0.85,-0.42,-1.0,,,,,
12-05-2024,17:45,Belgrano,Racing Club,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,45,44,Racing Club,Gastón Martirena,-0.84,-0.84,-1.0,,,,,
12-05-2024,17:45,Belgrano,Racing Club,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,2,53,51,Belgrano,Agustín Baldi,0.18,0.48,-1.0,,,,,
12-05-2024,17:45,Belgrano,Racing Club,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,2,53,53,Racing Club,Juan Ignacio Nardoni,-0.21,0.71,-1.0,,,,,
12-05-2024,17:45,Belgrano,Racing Club,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,2,57,43,Belgrano,Esteban Rolón,0.37,0.31,-1.0,,,,,
