date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,steal,1,6,19,Dep. Riestra,Pedro Ramírez,-0.48,-0.42,-1.0,,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,steal,1,9,22,Dep. Riestra,Pedro Ramírez,-0.3,-0.04,-1.0,,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,steal,1,21,5,Dep. Riestra,Nicolás Dematei,0.32,-0.65,-1.0,,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,steal,1,23,19,Dep. Riestra,Pedro Ramírez,0.05,-0.69,-1.0,,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,steal,1,29,27,Dep. Riestra,Gustavo Fernández,0.88,0.63,-1.0,,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,steal,1,39,33,Dep. Riestra,Pablo Monje,-0.44,-0.18,-1.0,,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,steal,2,51,27,Dep. Riestra,Pablo Monje,0.22,-0.52,-1.0,,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,steal,2,54,53,Dep. Riestra,Pablo Monje,0.66,-0.48,-1.0,,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,steal,2,68,18,Dep. Riestra,Alan Barrionuevo,0.24,-0.25,-1.0,,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,steal,2,72,10,Dep. Riestra,Leonardo Landriel,0.93,-0.7,-1.0,,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,steal,2,72,34,Dep. Riestra,Pedro Ramírez,0.45,-0.15,-1.0,,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,steal,2,79,13,Dep. Riestra,Alan Barrionuevo,0.0,0.57,-1.0,,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,steal,2,85,23,San Lorenzo,Cristian Ferreira,0.41,0.21,-1.0,,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,steal,2,95,4,Dep. Riestra,Nicolás Dematei,0.26,0.76,-1.0,,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,1,3,28,Dep. Riestra,Guillermo Pereira,0.41,-0.17,-1.0,Iván Tapia,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,1,17,5,San Lorenzo,Francisco Perruzzi,-0.42,-0.36,-1.0,Jonathan Herrera,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,1,18,45,San Lorenzo,Francisco Perruzzi,-0.38,0.5,-1.0,Guillermo Pereira,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,1,21,47,San Lorenzo,Diego Herazo,-0.85,0.02,-1.0,Nicolás Dematei,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,1,25,14,Dep. Riestra,Pablo Monje,-0.41,-0.08,-1.0,Cristian Tarragona,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,1,29,26,San Lorenzo,Jhohan Romaña,0.92,0.69,-1.0,Gustavo Fernández,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,1,31,5,Dep. Riestra,Leonardo Landriel,-0.13,0.43,-1.0,Ezequiel Cerutti,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,1,32,20,Dep. Riestra,Pedro Ramírez,-0.39,-0.47,-1.0,Ezequiel Cerutti,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,1,34,51,Dep. Riestra,Jonathan Herrera,0.71,0.78,-1.0,Jhohan Romaña,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,1,40,50,San Lorenzo,Nicolás Hernández,0.48,0.64,-1.0,Gustavo Fernández,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,1,46,22,Dep. Riestra,Guillermo Pereira,0.62,0.8,-1.0,Cristian Tarragona,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,1,47,38,San Lorenzo,Francisco Perruzzi,0.52,-0.75,-1.0,Pedro Ramírez,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,2,48,19,San Lorenzo,Cristian Tarragona,,,,,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,2,48,59,Dep. Riestra,Yeison Murillo,-0.08,-0.1,-1.0,Cristian Tarragona,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,2,51,58,Dep. Riestra,Guillermo Pereira,0.43,-0.37,-1.0,Cristian Tarragona,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,2,54,5,Dep. Riestra,Guillermo Pereira,-0.08,-0.65,-1.0,Cristian Tarragona,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,2,55,27,San Lorenzo,Cristian Tarragona,0.72,-0.79,-1.0,Alan Barrionuevo,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,2,63,2,Dep. Riestra,Guillermo Pereira,-0.44,0.42,-1.0,Carlos Sánchez,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,2,63,43,San Lorenzo,Carlos Sánchez,0.46,0.34,-1.0,Pablo Monje,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,2,70,41,Dep. Riestra,Gustavo Fernández,-0.55,-0.63,-1.0,Nicolás Hernández,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,2,72,58,San Lorenzo,Jhohan Romaña,-0.43,-0.2,-1.0,Jonathan Herrera,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,2,82,58,San Lorenzo,Elías Báez,0.19,-0.74,-1.0,Leonardo Landriel,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,2,85,32,San Lorenzo,Cristian Tarragona,0.44,-0.21,-1.0,Leonardo Landriel,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,2,87,0,Dep. Riestra,Pedro Ramírez,-0.84,0.86,-1.0,Jhohan Romaña,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,foul,2,91,8,Dep. Riestra,Jonathan Herrera,0.38,-0.06,-1.0,Cristian Ferreira,,,,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,shot,1,2,36,Dep. Riestra,Nicolás Dematei,0.71,-0.41,-1.0,,1.0,-0.44,-1.0,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,shot,1,7,3,Dep. Riestra,Jonathan Herrera,0.7,0.06,-1.0,,0.99,-0.09,0.16,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,shot,1,11,4,San Lorenzo,Cristian Tarragona,-0.77,-0.09,-1.0,,-0.99,-0.26,-1.0,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,shot,1,14,34,Dep. Riestra,Pedro Ramírez,0.69,0.06,-1.0,Gonzalo Luján,0.73,-0.04,0.4,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,shot,1,37,56,San Lorenzo,Carlos Sánchez,-0.46,-0.09,-1.0,Nicolás Sansotre,-0.64,-0.02,0.23,
12-05-2024,15:30,Dep. Riestra,San Lorenzo,Argentina - Torneo Sur Finanzas 2024,Guillermo Laza,shot,1,38,41,San Lorenzo,Ezequiel Cerutti,-0.71,-0.35,-1.0,,-0.99,-0.14,-1.0,
