date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
12-05-2024,17:45,Lanús,Independiente Riv. (M),Argentina - Torneo Sur Finanzas 2024,Ciudad de Lanús,steal,1,14,41,Independiente Riv. (M),Tomás Palacios,0.81,0.89,-1.0,,,,,
12-05-2024,17:45,Lanús,Independiente Riv. (M),Argentina - Torneo Sur Finanzas 2024,Ciudad de Lanús,steal,1,26,25,Independiente Riv. (M),Mauricio Asenjo,0.18,-0.74,-1.0,,,,,
12-05-2024,17:45,Lanús,Independiente Riv. (M),Argentina - Torneo Sur Finanzas 2024,Ciudad de Lanús,steal,1,42,33,Independiente Riv. (M),Tobías Ostchega,0.2,0.78,-1.0,,,,,
12-05-2024,17:45,Lanús,Independiente Riv. (M),Argentina - Torneo Sur Finanzas 2024,Ciudad de Lanús,steal,2,53,58,Independiente Riv. (M),Franco Romero,-0.24,-0.4,-1.0,,,,,
12-05-2024,17:45,Lanús,Independiente Riv. (M),Argentina - Torneo Sur Finanzas 2024,Ciudad de Lanús,steal,2,54,59,Independiente Riv. (M),Tomás Palacios,-0.67,-0.88,-1.0,,,,,
12-05-2024,17:45,Lanús,Independiente Riv. (M),Argentina - Torneo Sur Finanzas 2024,Ciudad de Lanús,steal,2,76,22,Independiente Riv. (M),Franco Romero,-0.26,-0.52,-1.0,,,,,
12-05-2024,17:45,Lanús,Independiente Riv. (M),Argentina - Torneo Sur Finanzas 2024,Ciudad de Lanús,steal,2,77,52,Independiente Riv. (M),Gastón Gil Romero,-0.53,-0.21,-1.0,,,,,
12-05-2024,17:45,Lanús,Independiente Riv. (M),Argentina - Torneo Sur Finanzas 2024,Ciudad de Lanús,steal,2,88,19,Independiente Riv. (M),Diego Tonetto,-0.3,-0.21,-1.0,,,,,
12-05-2024,17:45,Lanús,Independiente Riv. (M),Argentina - Torneo Sur Finanzas 2024,Ciudad de Lanús,steal,2,89,12,Independiente Riv. (M),Matías Ruiz Díaz,-0.77,0.79,-1.0,,,,,
12-05-2024,17:45,Lanús,Independiente Riv. (M),Argentina - Torneo Sur Finanzas 2024,Ciudad de Lanús,foul,1,1,58,Independiente Riv. (M),Tomás Palacios,0.34,-0.02,-1.0,Augusto Lotti,,,,
12-05-2024,17:45,Lanús,Independiente Riv. (M),Argentina - Torneo Sur Finanzas 2024,Ciudad de Lanús,foul,1,4,33,Independiente Riv. (M),Lautaro Ríos,0.46,-0.87,-1.0,Julio César Soler,,,,
12-05-2024,17:45,Lanús,Independiente Riv. (M),Argentina - Torneo Sur Finanzas 2024,Ciudad de Lanús,foul,1,11,11,Lanús,Abel Luciatti,0.27,-0.62,-1.0,Matías Reali,,,,
12-05-2024,17:45,Lanús,Independiente Riv. (M),Argentina - Torneo Sur Finanzas 2024,Ciudad de Lanús,foul,1,12,27,Independiente Riv. (M),Matías Reali,0.1,-0.71,-1.0,Luciano Boggio,,,,
12-05-2024,17:45,Lanús,Independiente Riv. (M),Argentina - Torneo Sur Finanzas 2024,Ciudad de Lanús,foul,1,17,16,Lanús,Abel Luciatti,-0.2,-0.82,-1.0,Matías Reali,,,,
