date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,1,4,53,Tigre,Agustín Cardozo,0.26,0.3,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,1,17,16,Tigre,Agustín Cardozo,-0.72,0.33,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,1,19,58,Estudiantes,Fernando Zuqui,-0.48,-0.72,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,1,24,23,Tigre,Gian Nardelli,0.04,0.25,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,1,25,54,Estudiantes,Santiago Ascacíbar,0.36,-0.47,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,1,26,37,Estudiantes,Santiago Ascacíbar,0.24,0.59,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,1,35,14,Tigre,Martín Garay,-0.39,0.82,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,1,36,52,Tigre,Nicolás Contín,0.28,0.86,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,1,38,42,Tigre,Martín Ortega,-0.36,0.88,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,1,45,56,Tigre,Agustín Cardozo,0.28,0.23,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,2,46,9,Estudiantes,Eros Mancuso,-0.55,0.47,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,2,46,41,Estudiantes,Nicolás Fernández,-0.06,-0.81,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,2,46,55,Tigre,Ángelo Marchese,0.57,0.54,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,2,54,0,Tigre,Juan Cruz Esquivel,0.27,0.76,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,2,55,11,Estudiantes,Eros Mancuso,-0.72,0.75,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,2,61,28,Estudiantes,Nicolás Fernández,-0.24,-0.77,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,2,66,26,Tigre,Tomás  Fernández,0.79,0.15,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,2,70,32,Estudiantes,Santiago Ascacíbar,0.04,0.36,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,2,74,15,Tigre,Kevin Lomónaco,0.53,0.29,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,2,75,18,Tigre,Tomás  Fernández,0.44,0.26,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,2,75,47,Estudiantes,Santiago Ascacíbar,-0.26,0.17,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,2,79,34,Estudiantes,Javier Correa,0.4,-0.6,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,2,79,42,Tigre,Tomás  Fernández,0.69,-0.65,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,steal,2,89,17,Tigre,Matías Espíndola,-0.7,0.81,-1.0,,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,foul,1,16,53,Estudiantes,Santiago Ascacíbar,0.27,-0.48,-1.0,Nahuel Génez,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,foul,1,21,0,Tigre,Gonzalo Maroni,0.36,0.0,-1.0,Fernando Zuqui,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,foul,1,23,24,Estudiantes,Alexis Manyoma,0.28,0.73,-1.0,Gonzalo Maroni,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,foul,1,32,32,Estudiantes,Eros Mancuso,0.31,-0.36,-1.0,Blas Armoa,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,foul,1,34,34,Tigre,Nicolás Contín,0.14,0.57,-1.0,Santiago Ascacíbar,,,,
12-05-2024,15:30,Tigre,Estudiantes,Argentina - Torneo Sur Finanzas 2024,Coliseo de Victoria,foul,1,36,55,Estudiantes,Fernando Zuqui,0.2,0.8,-1.0,Martín Ortega,,,,
