date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,0,59,Vélez,Christian Ordóñez,0.21,0.39,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,7,4,Vélez,Claudio Aquino,0.31,0.77,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,7,5,Gimnasia,Pablo De Blasis,0.2,0.11,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,7,24,Vélez,Francisco Pizzini,0.25,-0.39,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,7,28,Gimnasia,Pablo De Blasis,0.35,-0.1,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,12,8,Vélez,Valentín Gómez,0.74,0.26,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,13,21,Gimnasia,Lucas Castro,-0.39,-0.44,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,17,53,Vélez,Elías Gómez,0.66,0.84,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,19,19,Gimnasia,Leonardo Morales,-0.66,0.77,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,20,20,Vélez,Christian Ordóñez,0.38,0.51,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,23,26,Vélez,Thiago Fernández,0.08,0.66,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,27,32,Vélez,Claudio Aquino,-0.16,-0.64,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,30,39,Vélez,Elías Gómez,0.3,0.77,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,31,47,Vélez,Agustín Bouzat,0.13,0.47,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,34,0,Vélez,Thiago Fernández,0.22,0.8,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,36,54,Vélez,Joaquín García,-0.34,-0.75,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,41,33,Vélez,Joaquín García,0.15,-0.79,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,42,34,Vélez,Claudio Aquino,-0.14,-0.41,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,43,28,Vélez,Elías Gómez,0.5,0.83,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,2,45,33,Gimnasia,Juan Pintado,0.35,-0.79,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,2,45,36,Vélez,Valentín Gómez,-0.26,-0.46,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,2,48,15,Vélez,Joaquín García,-0.84,0.89,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,2,49,21,Gimnasia,Pablo De Blasis,-0.55,0.29,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,2,58,35,Gimnasia,Pablo De Blasis,-0.14,-0.57,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,2,74,49,Vélez,Christian Ordóñez,-0.36,0.09,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,2,79,21,Gimnasia,Rodrigo Castillo,0.26,-0.4,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,2,81,0,Vélez,Christian Ordóñez,-0.37,0.14,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,2,84,35,Vélez,Francisco Pizzini,-0.48,0.77,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,2,84,43,Vélez,Christian Ordóñez,-0.64,0.53,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,2,88,34,Vélez,Matías Pellegrini,-0.46,-0.59,-1.0,,,,,
13-05-2024,19:00,Gimnasia,Vélez,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,foul,1,13,31,Vélez,Emanuel Mammana,-0.09,-0.78,-1.0,Rodrigo Castillo,,,,
