date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
13-05-2024,21:00,Unión,Banfield,Argentina - Torneo Betano 2024,15 de abril,steal,1,4,23,Banfield,,-0.62,0.86,-1.0,,,,,
13-05-2024,21:00,Unión,Banfield,Argentina - Torneo Betano 2024,15 de abril,steal,1,9,0,Banfield,Milton Giménez,-0.28,0.55,-1.0,,,,,
13-05-2024,21:00,Unión,Banfield,Argentina - Torneo Betano 2024,15 de abril,steal,1,12,48,Banfield,Ezequiel Bonifacio,0.67,-0.9,-1.0,,,,,
13-05-2024,21:00,Unión,Banfield,Argentina - Torneo Betano 2024,15 de abril,steal,1,13,46,Banfield,Cristian Núñez,-0.56,-0.74,-1.0,,,,,
13-05-2024,21:00,Unión,Banfield,Argentina - Torneo Betano 2024,15 de abril,steal,1,14,25,Banfield,Cristian Núñez,0.54,0.48,-1.0,,,,,
13-05-2024,21:00,Unión,Banfield,Argentina - Torneo Betano 2024,15 de abril,steal,1,16,27,Banfield,,0.76,0.78,-1.0,,,,,
13-05-2024,21:00,Unión,Banfield,Argentina - Torneo Betano 2024,15 de abril,steal,1,22,18,Banfield,,0.71,0.78,-1.0,,,,,
13-05-2024,21:00,Unión,Banfield,Argentina - Torneo Betano 2024,15 de abril,steal,1,33,52,Banfield,Jesús Soraire,-0.19,-0.59,-1.0,,,,,
13-05-2024,21:00,Unión,Banfield,Argentina - Torneo Betano 2024,15 de abril,steal,1,36,48,Banfield,Ignacio Rodríguez,0.41,0.73,-1.0,,,,,
13-05-2024,21:00,Unión,Banfield,Argentina - Torneo Betano 2024,15 de abril,steal,1,39,31,Banfield,Jesús Soraire,0.27,-0.62,-1.0,,,,,
13-05-2024,21:00,Unión,Banfield,Argentina - Torneo Betano 2024,15 de abril,steal,1,45,21,Unión,Nicolás Paz,-0.1,0.81,-1.0,,,,,
13-05-2024,21:00,Unión,Banfield,Argentina - Torneo Betano 2024,15 de abril,steal,1,45,27,Banfield,Aarón Quirós,0.61,0.65,-1.0,,,,,
13-05-2024,21:00,Unión,Banfield,Argentina - Torneo Betano 2024,15 de abril,steal,2,50,26,Banfield,Ignacio Rodríguez,0.28,-0.43,-1.0,,,,,
13-05-2024,21:00,Unión,Banfield,Argentina - Torneo Betano 2024,15 de abril,steal,2,67,35,Unión,Simón Rivero,0.11,-0.69,-1.0,,,,,
