date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
18-05-2024,20:00,Defensa y Justicia,Gimnasia,Argentina - Torneo Betano 2024,Norberto Tomaghello,steal,1,6,26,Gimnasia,Rodrigo Saravia,0.1,-0.12,-1.0,,,,,
18-05-2024,20:00,Defensa y Justicia,Gimnasia,Argentina - Torneo Betano 2024,Norberto Tomaghello,steal,1,7,11,Gimnasia,Juan Pintado,0.03,-0.89,-1.0,,,,,
18-05-2024,20:00,Defensa y Justicia,Gimnasia,Argentina - Torneo Betano 2024,Norberto Tomaghello,steal,1,21,8,Defensa y Justicia,Emanuel Aguilera,-0.78,-0.15,-1.0,,,,,
18-05-2024,20:00,Defensa y Justicia,Gimnasia,Argentina - Torneo Betano 2024,Norberto Tomaghello,steal,1,29,40,Defensa y Justicia,Nicolás Tripichio,-0.34,0.82,-1.0,,,,,
18-05-2024,20:00,Defensa y Justicia,Gimnasia,Argentina - Torneo Betano 2024,Norberto Tomaghello,steal,1,37,11,Defensa y Justicia,Alexis Soto,-0.25,-0.05,-1.0,,,,,
18-05-2024,20:00,Defensa y Justicia,Gimnasia,Argentina - Torneo Betano 2024,Norberto Tomaghello,steal,1,41,37,Defensa y Justicia,Kevin López,-0.43,0.38,-1.0,,,,,
18-05-2024,20:00,Defensa y Justicia,Gimnasia,Argentina - Torneo Betano 2024,Norberto Tomaghello,steal,1,45,1,Defensa y Justicia,Samuel Lucero,-0.24,-0.76,-1.0,,,,,
18-05-2024,20:00,Defensa y Justicia,Gimnasia,Argentina - Torneo Betano 2024,Norberto Tomaghello,steal,2,49,34,Defensa y Justicia,Luciano Herrera,0.53,-0.9,-1.0,,,,,
18-05-2024,20:00,Defensa y Justicia,Gimnasia,Argentina - Torneo Betano 2024,Norberto Tomaghello,steal,2,52,21,Defensa y Justicia,Facundo Echevarría,-0.96,0.54,-1.0,,,,,
18-05-2024,20:00,Defensa y Justicia,Gimnasia,Argentina - Torneo Betano 2024,Norberto Tomaghello,steal,2,59,54,Defensa y Justicia,Alexis Soto,0.88,0.74,-1.0,,,,,
