date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
18-05-2024,15:30,Independiente Riv. (M),Godoy Cruz,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,3,16,Godoy Cruz,Vicente Poggi,0.07,0.27,-1.0,,,,,
18-05-2024,15:30,Independiente Riv. (M),Godoy Cruz,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,4,52,Independiente Riv. (M),Francisco Petrasso,-0.49,0.71,-1.0,,,,,
18-05-2024,15:30,Independiente Riv. (M),Godoy Cruz,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,6,5,Independiente Riv. (M),Mauricio Asenjo,-0.27,0.14,-1.0,,,,,
18-05-2024,15:30,Independiente Riv. (M),Godoy Cruz,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,8,11,Independiente Riv. (M),Francisco Petrasso,-0.48,0.7,-1.0,,,,,
18-05-2024,15:30,Independiente Riv. (M),Godoy Cruz,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,10,7,Independiente Riv. (M),Tomás Palacios,0.2,-0.61,-1.0,,,,,
18-05-2024,15:30,Independiente Riv. (M),Godoy Cruz,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,16,43,Independiente Riv. (M),Franco Romero,0.17,0.84,-1.0,,,,,
18-05-2024,15:30,Independiente Riv. (M),Godoy Cruz,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,17,58,Godoy Cruz,Lucas Arce,0.46,-0.31,-1.0,,,,,
18-05-2024,15:30,Independiente Riv. (M),Godoy Cruz,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,21,43,Independiente Riv. (M),Franco Romero,0.38,-0.69,-1.0,,,,,
18-05-2024,15:30,Independiente Riv. (M),Godoy Cruz,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,22,58,Godoy Cruz,Nicolás Fernández,0.44,-0.5,-1.0,,,,,
18-05-2024,15:30,Independiente Riv. (M),Godoy Cruz,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,23,55,Godoy Cruz,Vicente Poggi,0.34,-0.06,-1.0,,,,,
