date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,steal,1,1,55,Instituto,Víctor Cabrera,-0.77,-0.22,-1.0,,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,steal,1,5,55,Unión,Lautaro  Vargas,0.33,-0.85,-1.0,,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,steal,1,23,0,Unión,Nicolás Paz,0.7,-0.51,-1.0,,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,steal,1,25,17,Unión,Claudio Corvalán,0.57,0.59,-1.0,,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,steal,1,29,55,Unión,Adrián Balboa,-0.12,-0.99,-1.0,,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,steal,1,32,15,Unión,Mauro Pittón,-0.21,-0.66,-1.0,,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,steal,1,37,14,Unión,Mauro Luna Diale,0.24,0.78,-1.0,,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,steal,2,55,57,Unión,Mauro Luna Diale,-0.23,-0.57,-1.0,,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,steal,2,60,58,Unión,Franco Pardo,-0.43,0.48,-1.0,,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,steal,2,86,33,Unión,Claudio Corvalán,-0.42,-0.38,-1.0,,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,steal,2,91,1,Instituto,Nicolás  Dubersarsky,0.14,0.18,-1.0,,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,foul,1,0,41,Instituto,Facundo Suárez,0.57,-0.37,-1.0,Franco Pardo,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,foul,1,3,38,Instituto,Jonathan Bay,0.3,-0.91,-1.0,Lautaro  Vargas,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,foul,1,5,2,Unión,Franco Pardo,0.17,0.67,-1.0,Facundo Suárez,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,foul,1,5,40,Instituto,Gastón Lodico,0.16,0.66,-1.0,Mauro Luna Diale,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,foul,1,6,4,Instituto,Nicolás  Dubersarsky,0.28,-0.39,-1.0,Mauro Pittón,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,foul,1,15,21,Unión,Franco Pardo,0.22,0.04,-1.0,Facundo Suárez,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,foul,1,16,30,Instituto,Santiago Rodríguez,-0.05,-0.04,-1.0,Franco Pardo,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,foul,1,23,49,Instituto,Santiago Rodríguez,0.71,-0.07,-1.0,Thiago Cardozo,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,foul,1,37,19,Instituto,Gastón Lodico,0.39,0.54,-1.0,Mauro Luna Diale,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,foul,1,39,28,Instituto,Gastón Lodico,0.34,-0.58,-1.0,Lautaro  Vargas,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,foul,1,43,2,Instituto,Juan José Franco,-0.4,0.8,-1.0,Nicolás Orsini,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,foul,1,45,42,Instituto,Jonás Acevedo,0.1,0.11,-1.0,Mauro Luna Diale,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,foul,2,50,9,Unión,Adrián Balboa,0.24,0.71,-1.0,Santiago Rodríguez,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,foul,2,52,39,Unión,Claudio Corvalán,-0.16,-0.86,-1.0,Facundo Suárez,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,foul,2,56,54,Unión,Mauro Pittón,0.31,0.44,-1.0,Facundo Suárez,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,foul,2,74,51,Unión,Lucas Gamba,0.59,-0.76,-1.0,Juan José Franco,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,foul,2,77,6,Unión,Mauro Pittón,,,,,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,foul,2,88,44,Unión,Federico Vera,0.31,0.3,-1.0,Brahian Cuello,,,,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,shot,1,28,56,Instituto,Jonás Acevedo,0.45,-0.24,-1.0,Franco Pardo,0.72,-0.08,0.19,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,shot,1,29,9,Instituto,Facundo Suárez,0.78,-0.02,-1.0,,0.98,-0.22,-1.0,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,shot,1,30,13,Unión,Mauro Pittón,-0.44,0.13,-1.0,Víctor Cabrera,-0.69,0.08,0.63,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,shot,1,32,19,Unión,Nicolás Orsini,-0.7,-0.05,-1.0,,-0.99,-0.04,0.17,
18-05-2024,20:30,Instituto,Unión,Argentina - Torneo Betano 2024,Monumental de Alta Córdoba,shot,1,40,4,Instituto,Santiago Rodríguez,0.1,-0.07,-1.0,,0.99,0.02,0.91,
