date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,1,41,River Plate,Santiago Simón,0.24,0.48,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,1,49,Belgrano,Matías Moreno,0.68,-0.15,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,3,28,River Plate,Paulo Díaz,0.22,-0.42,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,4,55,River Plate,Enzo Díaz,-0.11,-0.75,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,7,24,River Plate,Santiago Simón,0.33,0.01,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,7,39,River Plate,Pablo Solari,0.41,0.54,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,15,57,Belgrano,Matías Moreno,0.3,-0.48,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,19,54,Belgrano,Santiago Longo,0.23,-0.24,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,25,45,Belgrano,Francisco Facello,0.61,-0.74,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,27,44,River Plate,Santiago Simón,-0.59,0.76,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,29,43,River Plate,Santiago Simón,-0.4,-0.08,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,34,52,River Plate,Pablo Solari,0.53,0.26,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,36,22,Belgrano,Pablo Chavarría,-0.17,0.31,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,39,4,River Plate,Santiago Simón,-0.2,0.38,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,41,8,River Plate,Paulo Díaz,-0.33,-0.64,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,41,43,River Plate,Agustín Sant'Anna,-0.63,0.86,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,42,28,River Plate,Santiago Simón,0.42,0.05,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,47,9,River Plate,Miguel Ángel Borja,-0.13,0.47,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,47,24,Belgrano,Francisco Facello,-0.72,0.81,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,47,45,River Plate,Paulo Díaz,0.94,0.44,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,47,54,River Plate,Pablo Solari,0.09,-0.03,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,49,10,River Plate,Agustín Sant'Anna,0.05,-0.8,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,50,10,Belgrano,Santiago Longo,0.31,0.4,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,55,11,Belgrano,Francisco Facello,0.11,0.65,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,55,41,River Plate,Santiago Simón,-0.08,-0.61,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,56,59,River Plate,Paulo Díaz,0.63,0.64,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,57,5,Belgrano,Esteban Rolón,0.32,0.4,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,58,31,Belgrano,Francisco Facello,-0.77,0.46,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,58,59,Belgrano,Santiago Longo,-0.36,-0.27,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,59,47,Belgrano,Francisco Facello,-0.72,0.69,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,63,6,River Plate,Pablo Solari,-0.6,-0.72,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,65,20,River Plate,Esequiel Barco,-0.05,0.7,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,68,23,Belgrano,Matías Moreno,-0.62,-0.18,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,73,27,River Plate,Enzo Díaz,0.35,0.85,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,76,5,Belgrano,Gerónimo Heredia,-0.28,0.74,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,78,4,River Plate,Facundo Colidio,-0.33,0.44,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,80,19,River Plate,Facundo Colidio,-0.51,-0.08,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,82,14,Belgrano,Juan Velázquez,0.29,-0.44,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,82,27,River Plate,Ignacio Fernández,0.5,-0.52,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,83,12,Belgrano,Juan Velázquez,-0.42,-0.5,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,84,55,Belgrano,Ariel Rojas,0.23,0.59,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,84,59,River Plate,Enzo Díaz,0.31,0.41,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,91,4,Belgrano,Alejandro Rébola,-0.59,-0.34,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,2,91,10,River Plate,Agustín Sant'Anna,-0.18,-0.44,-1.0,,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,foul,1,7,52,Belgrano,Gerónimo Heredia,0.45,-0.22,-1.0,Esequiel Barco,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,foul,1,9,54,Belgrano,Matías Moreno,0.17,-0.62,-1.0,Miguel Ángel Borja,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,foul,1,10,39,Belgrano,Francisco Facello,0.37,-0.76,-1.0,Enzo Díaz,,,,
18-05-2024,18:00,River Plate,Belgrano,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,foul,1,12,48,Belgrano,Pablo Chavarría,-0.82,-0.86,-1.0,Leandro González Pirez,,,,
