date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
19-05-2024,17:45,Banfield,Huracán,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,2,36,Huracán,Lucas Carrizo,0.37,0.32,-1.0,,,,,
19-05-2024,17:45,Banfield,Huracán,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,2,41,Banfield,Lautaro Cardozo,0.31,0.84,-1.0,,,,,
19-05-2024,17:45,Banfield,Huracán,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,10,9,Huracán,Rodrigo Echeverría,-0.09,-0.25,-1.0,,,,,
19-05-2024,17:45,Banfield,Huracán,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,10,49,Huracán,Fernando Tobio,0.37,-0.53,-1.0,,,,,
19-05-2024,17:45,Banfield,Huracán,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,16,35,Banfield,Ignacio Rodríguez,0.1,-0.72,-1.0,,,,,
19-05-2024,17:45,Banfield,Huracán,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,17,30,Huracán,Héctor Fértoli,0.19,0.59,-1.0,,,,,
19-05-2024,17:45,Banfield,Huracán,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,20,53,Banfield,Ignacio Rodríguez,0.38,-0.84,-1.0,,,,,
19-05-2024,17:45,Banfield,Huracán,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,21,8,Huracán,Lucas Souto,0.45,-0.54,-1.0,,,,,
19-05-2024,17:45,Banfield,Huracán,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,21,16,Huracán,Fernando Tobio,0.7,-0.29,-1.0,,,,,
19-05-2024,17:45,Banfield,Huracán,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,21,59,Banfield,Cristian Núñez,-0.17,-0.48,-1.0,,,,,
19-05-2024,17:45,Banfield,Huracán,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,25,20,Banfield,Cristian Núñez,-0.69,-0.79,-1.0,,,,,
19-05-2024,17:45,Banfield,Huracán,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,30,26,Huracán,Héctor Fértoli,-0.35,0.33,-1.0,,,,,
19-05-2024,17:45,Banfield,Huracán,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,31,6,Huracán,Héctor Fértoli,0.43,-0.28,-1.0,,,,,
19-05-2024,17:45,Banfield,Huracán,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,36,53,Huracán,Lucas Carrizo,0.76,-0.5,-1.0,,,,,
19-05-2024,17:45,Banfield,Huracán,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,38,5,Banfield,Jesús Soraire,0.1,-0.65,-1.0,,,,,
19-05-2024,17:45,Banfield,Huracán,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,38,28,Banfield,Braian Galván,0.23,0.72,-1.0,,,,,
