date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,1,6,49,Sarmiento,Elías López,-0.15,-0.55,-1.0,,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,1,9,20,Sarmiento,Manuel García,0.5,0.45,-1.0,,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,1,26,16,Sarmiento,Sergio Quiroga,-0.39,0.17,-1.0,,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,1,34,59,Sarmiento,Sergio Quiroga,-0.08,0.92,-1.0,,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,1,41,4,Barracas Central,Lucas Brochero,-0.17,-0.72,-1.0,,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,1,41,7,Sarmiento,Elías López,-0.36,-0.8,-1.0,,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,1,45,48,Sarmiento,Juan Manuel Insaurralde,0.88,0.18,-1.0,,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,2,48,44,Sarmiento,Franco Paredes,-0.96,0.89,-1.0,,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,2,56,40,Barracas Central,Rodrigo Insúa,-0.28,0.76,-1.0,,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,2,58,39,Sarmiento,Tomás Guiacobini,-0.01,-0.87,-1.0,,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,2,63,8,Barracas Central,Facundo Mater,0.19,0.41,-1.0,,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,2,67,29,Sarmiento,Sergio Quiroga,0.25,-0.16,-1.0,,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,2,76,43,Sarmiento,Gabriel Díaz,0.07,-0.51,-1.0,,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,2,79,17,Sarmiento,Tomás Guiacobini,0.05,0.28,-1.0,,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,2,81,3,Barracas Central,Manuel Duarte,-0.14,0.75,-1.0,,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,2,82,7,Barracas Central,Marco Iacobellis,-0.2,-0.75,-1.0,,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,2,88,15,Barracas Central,Santiago Coronel,0.02,0.03,-1.0,,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,0,36,Sarmiento,Fernando Godoy,0.26,0.27,-1.0,Lucas Brochero,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,2,14,Barracas Central,Siro Rosané,0.11,0.14,-1.0,Gabriel Gudiño,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,4,6,Sarmiento,Manuel García,0.28,0.7,-1.0,Lucas Brochero,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,6,8,Sarmiento,Manuel García,-0.57,0.02,-1.0,Alan Cantero,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,6,53,Barracas Central,Maximiliano Zalazar,-0.34,-0.63,-1.0,Elías López,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,8,43,Sarmiento,Juan Manuel Insaurralde,0.33,0.34,-1.0,Alexis Domínguez,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,12,48,Barracas Central,Nicolás Capraro,-0.61,0.91,-1.0,Agustín Fontana,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,13,48,Sarmiento,Gabriel Díaz,-0.22,0.55,-1.0,Lucas Brochero,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,15,55,Sarmiento,Gabriel Gudiño,0.35,0.54,-1.0,Siro Rosané,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,19,16,Barracas Central,Rodrigo Insúa,-0.27,-0.51,-1.0,Gabriel Gudiño,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,20,34,Sarmiento,Gabriel Díaz,0.05,0.89,-1.0,Lucas Brochero,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,21,28,Barracas Central,Facundo Mater,-0.17,0.66,-1.0,Agustín Fontana,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,22,27,Sarmiento,Gabriel Gudiño,-0.36,-0.38,-1.0,Siro Rosané,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,24,52,Barracas Central,Alexis Domínguez,0.37,0.31,-1.0,Yair Arismendi,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,26,33,Barracas Central,Nicolás Capraro,-0.73,0.3,-1.0,Yair Arismendi,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,30,42,Sarmiento,Gabriel Gudiño,0.52,-0.5,-1.0,Maximiliano Zalazar,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,35,16,Sarmiento,Agustín Fontana,-0.54,0.89,-1.0,Facundo Mater,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,36,23,Sarmiento,Manuel García,0.44,-0.78,-1.0,Rodrigo Insúa,,,,
19-05-2024,15:00,Barracas Central,Sarmiento,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,39,1,Sarmiento,Manuel García,0.26,-0.46,-1.0,Siro Rosané,,,,
