date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
19-05-2024,20:00,Central Córdoba (SE),Boca Juniors,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,5,31,Boca Juniors,Lautaro Blanco,-0.46,0.77,-1.0,,,,,
19-05-2024,20:00,Central Córdoba (SE),Boca Juniors,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,13,32,Boca Juniors,Lautaro Di Lollo,0.39,-0.36,-1.0,,,,,
19-05-2024,20:00,Central Córdoba (SE),Boca Juniors,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,18,57,Boca Juniors,Miguel Ángel Merentiel,-0.77,0.4,-1.0,,,,,
19-05-2024,20:00,Central Córdoba (SE),Boca Juniors,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,23,19,Boca Juniors,Guillermo Fernández,0.03,0.53,-1.0,,,,,
19-05-2024,20:00,Central Córdoba (SE),Boca Juniors,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,29,57,Central Córdoba (SE),Matías Godoy,-0.1,0.49,-1.0,,,,,
19-05-2024,20:00,Central Córdoba (SE),Boca Juniors,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,32,18,Boca Juniors,Ezequiel Fernández,0.46,-0.4,-1.0,,,,,
19-05-2024,20:00,Central Córdoba (SE),Boca Juniors,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,35,52,Boca Juniors,Ezequiel Fernández,-0.07,-0.37,-1.0,,,,,
19-05-2024,20:00,Central Córdoba (SE),Boca Juniors,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,36,31,Boca Juniors,Guillermo Fernández,-0.08,-0.8,-1.0,,,,,
19-05-2024,20:00,Central Córdoba (SE),Boca Juniors,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,37,58,Boca Juniors,Lautaro Blanco,0.58,0.76,-1.0,,,,,
19-05-2024,20:00,Central Córdoba (SE),Boca Juniors,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,41,5,Boca Juniors,Ezequiel Fernández,-0.19,-0.09,-1.0,,,,,
19-05-2024,20:00,Central Córdoba (SE),Boca Juniors,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,2,45,22,Boca Juniors,Mateo Mendia,-0.8,-0.8,-1.0,,,,,
19-05-2024,20:00,Central Córdoba (SE),Boca Juniors,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,2,47,42,Boca Juniors,Ezequiel Fernández,0.3,0.2,-1.0,,,,,
19-05-2024,20:00,Central Córdoba (SE),Boca Juniors,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,2,51,31,Boca Juniors,Lautaro Di Lollo,0.18,0.64,-1.0,,,,,
19-05-2024,20:00,Central Córdoba (SE),Boca Juniors,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,2,62,0,Central Córdoba (SE),Oscar Garrido,0.76,-0.36,-1.0,,,,,
19-05-2024,20:00,Central Córdoba (SE),Boca Juniors,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,2,63,57,Boca Juniors,Lautaro Blanco,-0.92,-0.81,-1.0,,,,,
19-05-2024,20:00,Central Córdoba (SE),Boca Juniors,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,2,66,49,Boca Juniors,Lautaro Di Lollo,-0.69,0.07,-1.0,,,,,
19-05-2024,20:00,Central Córdoba (SE),Boca Juniors,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,2,76,14,Boca Juniors,Vicente Taborda,-0.35,-0.15,-1.0,,,,,
19-05-2024,20:00,Central Córdoba (SE),Boca Juniors,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,2,79,24,Boca Juniors,Guillermo Fernández,-0.08,0.41,-1.0,,,,,
