date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
19-05-2024,15:30,Platense,Independiente,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,2,41,Independiente,Mauricio Isla,0.61,-0.63,-1.0,,,,,
19-05-2024,15:30,Platense,Independiente,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,29,12,Independiente,Damián Pérez,-0.29,0.64,-1.0,,,,,
19-05-2024,15:30,Platense,Independiente,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,33,23,Independiente,David Martínez,0.2,-0.44,-1.0,,,,,
19-05-2024,15:30,Platense,Independiente,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,46,16,Independiente,David Martínez,-0.81,0.85,-1.0,,,,,
19-05-2024,15:30,Platense,Independiente,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,53,26,Independiente,Juan Manuel Fedorco,-0.38,-0.15,-1.0,,,,,
19-05-2024,15:30,Platense,Independiente,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,58,7,Independiente,David Martínez,-0.34,-0.56,-1.0,,,,,
19-05-2024,15:30,Platense,Independiente,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,62,0,Independiente,Federico Mancuello,-0.06,0.28,-1.0,,,,,
19-05-2024,15:30,Platense,Independiente,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,65,36,Independiente,Lucas González,0.34,0.16,-1.0,,,,,
19-05-2024,15:30,Platense,Independiente,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,66,4,Independiente,Juan Manuel Fedorco,0.17,0.36,-1.0,,,,,
19-05-2024,15:30,Platense,Independiente,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,70,35,Independiente,David Martínez,-0.85,0.71,-1.0,,,,,
19-05-2024,15:30,Platense,Independiente,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,72,44,Independiente,David Martínez,0.01,0.31,-1.0,,,,,
19-05-2024,15:30,Platense,Independiente,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,74,31,Independiente,Ignacio Maestro Puch,0.07,-0.06,-1.0,,,,,
