date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
19-05-2024,17:45,Talleres,Atlético Tucumán,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,3,16,Atlético Tucumán,Guillermo Acosta,0.1,0.59,-1.0,,,,,
19-05-2024,17:45,Talleres,Atlético Tucumán,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,5,12,Atlético Tucumán,Nicolás Romero,0.45,0.48,-1.0,,,,,
19-05-2024,17:45,Talleres,Atlético Tucumán,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,7,15,Atlético Tucumán,Nicolás Romero,0.62,0.36,-1.0,,,,,
19-05-2024,17:45,Talleres,Atlético Tucumán,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,7,22,Talleres,Marcos Portillo,-0.13,0.36,-1.0,,,,,
19-05-2024,17:45,Talleres,Atlético Tucumán,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,9,9,Atlético Tucumán,Agustín Lagos,0.23,-0.7,-1.0,,,,,
19-05-2024,17:45,Talleres,Atlético Tucumán,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,10,47,Atlético Tucumán,Agustín Lagos,-0.52,-0.78,-1.0,,,,,
19-05-2024,17:45,Talleres,Atlético Tucumán,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,12,35,Talleres,Miguel Ángel Navarro,-0.44,-0.24,-1.0,,,,,
19-05-2024,17:45,Talleres,Atlético Tucumán,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,16,14,Talleres,Juan Carlos Portillo,-0.15,0.67,-1.0,,,,,
19-05-2024,17:45,Talleres,Atlético Tucumán,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,16,31,Atlético Tucumán,Adrián Sánchez,0.38,-0.15,-1.0,,,,,
19-05-2024,17:45,Talleres,Atlético Tucumán,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,16,39,Atlético Tucumán,Adrián Sánchez,-0.11,-0.64,-1.0,,,,,
19-05-2024,17:45,Talleres,Atlético Tucumán,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,20,29,Atlético Tucumán,Francisco Flores,0.49,0.31,-1.0,,,,,
19-05-2024,17:45,Talleres,Atlético Tucumán,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,22,15,Atlético Tucumán,Juan José Infante,0.25,0.57,-1.0,,,,,
19-05-2024,17:45,Talleres,Atlético Tucumán,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,25,15,Atlético Tucumán,Agustín Lagos,0.0,-0.45,-1.0,,,,,
19-05-2024,17:45,Talleres,Atlético Tucumán,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,25,19,Talleres,Ramón Sosa,-0.37,0.25,-1.0,,,,,
19-05-2024,17:45,Talleres,Atlético Tucumán,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,25,29,Talleres,Ulises Ortegoza,-0.44,0.45,-1.0,,,,,
19-05-2024,17:45,Talleres,Atlético Tucumán,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,26,36,Atlético Tucumán,Guillermo Acosta,0.35,-0.22,-1.0,,,,,
19-05-2024,17:45,Talleres,Atlético Tucumán,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,26,44,Talleres,Rubén Botta,-0.38,-0.45,-1.0,,,,,
19-05-2024,17:45,Talleres,Atlético Tucumán,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,26,51,Atlético Tucumán,Agustín Lagos,-0.29,-0.61,-1.0,,,,,
19-05-2024,17:45,Talleres,Atlético Tucumán,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,27,59,Atlético Tucumán,Francisco Flores,0.77,-0.76,-1.0,,,,,
