date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
20-05-2024,19:00,Estudiantes,Dep. Riestra,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,1,36,55,Dep. Riestra,Pablo Monje,0.14,0.24,-1.0,,,,,
20-05-2024,19:00,Estudiantes,Dep. Riestra,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,1,37,42,Dep. Riestra,Guillermo Pereira,0.52,0.13,-1.0,,,,,
20-05-2024,19:00,Estudiantes,Dep. Riestra,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,2,45,25,Dep. Riestra,Pablo Monje,0.17,0.63,-1.0,,,,,
20-05-2024,19:00,Estudiantes,Dep. Riestra,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,2,52,27,Dep. Riestra,Nicolás Dematei,-0.34,-0.28,-1.0,,,,,
20-05-2024,19:00,Estudiantes,Dep. Riestra,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,2,63,57,Dep. Riestra,Walter Acuña,0.93,-0.69,-1.0,,,,,
20-05-2024,19:00,Estudiantes,Dep. Riestra,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,2,82,44,Dep. Riestra,Pablo Monje,0.17,0.49,-1.0,,,,,
20-05-2024,19:00,Estudiantes,Dep. Riestra,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,2,93,1,Dep. Riestra,Walter Acuña,0.1,0.15,-1.0,,,,,
20-05-2024,19:00,Estudiantes,Dep. Riestra,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,foul,1,3,7,Dep. Riestra,Guillermo Pereira,-0.21,-0.61,-1.0,Enzo Pérez,,,,
20-05-2024,19:00,Estudiantes,Dep. Riestra,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,foul,1,4,26,Dep. Riestra,Pedro Ramírez,0.49,0.41,-1.0,Tiago Palacios,,,,
20-05-2024,19:00,Estudiantes,Dep. Riestra,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,foul,1,26,39,Estudiantes,Tiago Palacios,0.61,0.23,-1.0,Guillermo Pereira,,,,
20-05-2024,19:00,Estudiantes,Dep. Riestra,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,foul,1,27,25,Dep. Riestra,Gustavo Fernández,-0.27,-0.32,-1.0,Enzo Pérez,,,,
20-05-2024,19:00,Estudiantes,Dep. Riestra,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,foul,1,28,44,Estudiantes,Santiago Ascacíbar,-0.29,0.05,-1.0,Guillermo Pereira,,,,
20-05-2024,19:00,Estudiantes,Dep. Riestra,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,foul,1,35,10,Estudiantes,Tiago Palacios,0.57,-0.3,-1.0,Nicolás Sansotre,,,,
20-05-2024,19:00,Estudiantes,Dep. Riestra,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,foul,1,37,4,Dep. Riestra,Pablo Monje,0.17,0.18,-1.0,José Sosa,,,,
20-05-2024,19:00,Estudiantes,Dep. Riestra,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,foul,1,38,5,Dep. Riestra,Yeison Murillo,,,,,,,,
20-05-2024,19:00,Estudiantes,Dep. Riestra,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,foul,1,45,56,Dep. Riestra,Guillermo Pereira,-0.38,-0.76,-1.0,Edwuin Cetré,,,,
20-05-2024,19:00,Estudiantes,Dep. Riestra,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,foul,2,46,6,Estudiantes,Gastón Benedetti,0.56,0.7,-1.0,Milton Céliz,,,,
