date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
20-05-2024,21:15,Rosario Central,Tigre,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,1,1,19,Tigre,Tomás  Fernández,-0.27,-0.07,-1.0,,,,,
20-05-2024,21:15,Rosario Central,Tigre,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,1,2,57,Tigre,Tomás  Fernández,-0.32,-0.8,-1.0,,,,,
20-05-2024,21:15,Rosario Central,Tigre,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,1,14,54,Tigre,Nicolás Contín,-0.49,-0.57,-1.0,,,,,
20-05-2024,21:15,Rosario Central,Tigre,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,1,15,14,Tigre,Martín Ortega,0.34,-0.74,-1.0,,,,,
20-05-2024,21:15,Rosario Central,Tigre,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,1,15,26,Tigre,Tomás Galván,0.07,-0.47,-1.0,,,,,
20-05-2024,21:15,Rosario Central,Tigre,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,1,18,51,Tigre,Agustín Cardozo,0.52,0.56,-1.0,,,,,
20-05-2024,21:15,Rosario Central,Tigre,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,1,18,58,Tigre,Gonzalo Maroni,0.15,0.44,-1.0,,,,,
20-05-2024,21:15,Rosario Central,Tigre,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,1,22,56,Tigre,Kevin Lomónaco,0.11,0.38,-1.0,,,,,
20-05-2024,21:15,Rosario Central,Tigre,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,1,28,0,Tigre,Tomás Galván,0.34,-0.48,-1.0,,,,,
20-05-2024,21:15,Rosario Central,Tigre,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,1,30,0,Tigre,Tomás Galván,0.1,-0.52,-1.0,,,,,
20-05-2024,21:15,Rosario Central,Tigre,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,2,46,50,Tigre,Tomás  Fernández,0.05,0.5,-1.0,,,,,
20-05-2024,21:15,Rosario Central,Tigre,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,2,46,54,Rosario Central,Alan Rodríguez,0.22,0.75,-1.0,,,,,
20-05-2024,21:15,Rosario Central,Tigre,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,2,49,21,Tigre,Nicolás Contín,0.23,-0.42,-1.0,,,,,
20-05-2024,21:15,Rosario Central,Tigre,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,2,59,16,Tigre,Tomás  Fernández,-0.13,0.62,-1.0,,,,,
20-05-2024,21:15,Rosario Central,Tigre,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,2,63,7,Tigre,Martín Ortega,-0.45,0.79,-1.0,,,,,
20-05-2024,21:15,Rosario Central,Tigre,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,2,93,0,Tigre,Martín Ortega,-0.21,0.77,-1.0,,,,,
20-05-2024,21:15,Rosario Central,Tigre,Argentina - Torneo Betano 2024,Gigante de Arroyito,foul,1,3,4,Rosario Central,Agustín Módica,-0.33,-0.63,-1.0,Tomás  Fernández,,,,
20-05-2024,21:15,Rosario Central,Tigre,Argentina - Torneo Betano 2024,Gigante de Arroyito,foul,1,5,30,Tigre,Martín Ortega,0.35,-0.71,-1.0,Jaminton Campaz,,,,
20-05-2024,21:15,Rosario Central,Tigre,Argentina - Torneo Betano 2024,Gigante de Arroyito,foul,1,17,47,Rosario Central,Maximiliano Lovera,,,,,,,,
20-05-2024,21:15,Rosario Central,Tigre,Argentina - Torneo Betano 2024,Gigante de Arroyito,foul,1,22,43,Tigre,Martín Garay,-0.29,-0.66,-1.0,Maximiliano Lovera,,,,
