date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
20-05-2024,19:00,San Lorenzo,Lanús,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,4,41,San Lorenzo,Cristian Ferreira,0.34,-0.67,-1.0,,,,,
20-05-2024,19:00,San Lorenzo,Lanús,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,7,3,San Lorenzo,Malcom Braida,0.54,-0.59,-1.0,,,,,
20-05-2024,19:00,San Lorenzo,Lanús,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,13,15,San Lorenzo,Eric Remedi,-0.44,-0.72,-1.0,,,,,
20-05-2024,19:00,San Lorenzo,Lanús,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,13,29,San Lorenzo,Elián Irala,-0.45,0.84,-1.0,,,,,
20-05-2024,19:00,San Lorenzo,Lanús,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,15,58,San Lorenzo,Elián Irala,0.19,-0.36,-1.0,,,,,
20-05-2024,19:00,San Lorenzo,Lanús,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,17,6,Lanús,Ezequiel Muñoz,0.58,0.54,-1.0,,,,,
20-05-2024,19:00,San Lorenzo,Lanús,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,22,10,San Lorenzo,Malcom Braida,-0.62,-0.75,-1.0,,,,,
20-05-2024,19:00,San Lorenzo,Lanús,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,28,13,San Lorenzo,Elián Irala,-0.76,0.79,-1.0,,,,,
20-05-2024,19:00,San Lorenzo,Lanús,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,28,2,Lanús,Raúl Loaiza,-0.05,0.39,-1.0,,,,,
20-05-2024,19:00,San Lorenzo,Lanús,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,41,53,Lanús,Marcelino Moreno,0.3,-0.39,-1.0,,,,,
20-05-2024,19:00,San Lorenzo,Lanús,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,44,18,San Lorenzo,Eric Remedi,-0.45,0.13,-1.0,,,,,
20-05-2024,19:00,San Lorenzo,Lanús,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,2,49,29,Lanús,Felipe Peña Biafore,0.07,0.33,-1.0,,,,,
20-05-2024,19:00,San Lorenzo,Lanús,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,2,52,21,Lanús,Favio Álvarez,0.1,-0.04,-1.0,,,,,
20-05-2024,19:00,San Lorenzo,Lanús,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,2,58,21,San Lorenzo,Alexis Cuello,0.36,0.29,-1.0,,,,,
20-05-2024,19:00,San Lorenzo,Lanús,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,2,58,11,Lanús,Raúl Loaiza,-0.14,0.36,-1.0,,,,,
20-05-2024,19:00,San Lorenzo,Lanús,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,2,59,9,San Lorenzo,Cristian Tarragona,-0.52,-0.74,-1.0,,,,,
20-05-2024,19:00,San Lorenzo,Lanús,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,2,59,5,Lanús,Abel Luciatti,-0.26,-0.56,-1.0,,,,,
20-05-2024,19:00,San Lorenzo,Lanús,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,2,65,43,San Lorenzo,Gastón Campi,-0.34,0.72,-1.0,,,,,
20-05-2024,19:00,San Lorenzo,Lanús,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,2,69,18,San Lorenzo,Cristian Ferreira,0.03,-0.47,-1.0,,,,,
