date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,11,36,Vélez,Damián Fernández,-0.07,0.56,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,16,12,Vélez,Elías Gómez,0.25,-0.61,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,17,20,Vélez,Claudio Aquino,-0.19,0.59,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,24,35,Newell`s,Rodrigo Fernández,-0.32,-0.69,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,26,30,Newell`s,Rodrigo Fernández,0.38,0.61,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,26,45,Newell`s,Ian Glavinovich,-0.11,0.62,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,31,56,Newell`s,Jerónimo Cacciabue,0.2,-0.44,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,37,0,Vélez,Elías Gómez,-0.76,-0.73,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,38,27,Newell`s,Ian Glavinovich,-0.07,0.5,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,39,14,Vélez,Elías Gómez,-0.58,-0.69,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,47,3,Vélez,Elías Gómez,-0.54,-0.68,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,2,46,14,Vélez,Thiago Fernández,-0.11,0.77,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,2,47,25,Newell`s,Rodrigo Fernández,-0.46,-0.48,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,2,51,35,Vélez,Elías Gómez,0.36,0.59,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,2,51,46,Vélez,Damián Fernández,0.38,-0.2,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,2,56,39,Vélez,Christian Ordóñez,0.42,-0.11,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,2,56,35,Newell`s,Víctor Velázquez,-0.73,-0.6,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,2,59,1,Vélez,Damián Fernández,-0.34,-0.38,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,2,72,43,Newell`s,Ángelo Martino,-0.61,-0.24,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,2,76,21,Vélez,Damián Fernández,0.83,-0.63,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,2,76,19,Newell`s,Rodrigo Fernández,0.42,-0.9,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,2,80,9,Newell`s,Brian Calderara,-0.73,-0.7,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,2,84,52,Newell`s,Julián Fernández,-0.34,-0.1,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,2,92,32,Vélez,Francisco Pizzini,0.54,-0.53,-1.0,,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,foul,1,1,29,Newell`s,Rodrigo Fernández,0.39,-0.49,-1.0,Francisco Pizzini,,,,
21-05-2024,20:00,Vélez,Newell`s,Argentina - Torneo Betano 2024,Estadio José Amalfitani,foul,1,4,12,Newell`s,Rodrigo Fernández,0.43,-0.74,-1.0,Thiago Fernández,,,,
