date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
24-05-2024,15:30,Dep. Riestra,Rosario Central,Argentina - Torneo Betano 2024,Guillermo Laza,steal,1,2,31,Dep. Riestra,Milton Céliz,-0.36,-0.06,-1.0,,,,,
24-05-2024,15:30,Dep. Riestra,Rosario Central,Argentina - Torneo Betano 2024,Guillermo Laza,steal,1,2,58,Rosario Central,Emanuel Coronel,0.63,-0.74,-1.0,,,,,
24-05-2024,15:30,Dep. Riestra,Rosario Central,Argentina - Torneo Betano 2024,Guillermo Laza,steal,1,6,4,Dep. Riestra,Pablo Monje,-0.34,-0.23,-1.0,,,,,
24-05-2024,15:30,Dep. Riestra,Rosario Central,Argentina - Torneo Betano 2024,Guillermo Laza,steal,1,10,32,Rosario Central,Franco Ibarra,0.33,0.57,-1.0,,,,,
24-05-2024,15:30,Dep. Riestra,Rosario Central,Argentina - Torneo Betano 2024,Guillermo Laza,steal,1,12,45,Dep. Riestra,Delfor Minervino,0.74,0.68,-1.0,,,,,
24-05-2024,15:30,Dep. Riestra,Rosario Central,Argentina - Torneo Betano 2024,Guillermo Laza,steal,2,65,24,Rosario Central,Franco Ibarra,-0.36,-0.73,-1.0,,,,,
24-05-2024,15:30,Dep. Riestra,Rosario Central,Argentina - Torneo Betano 2024,Guillermo Laza,steal,2,81,13,Rosario Central,Mauricio Martínez,0.22,0.89,-1.0,,,,,
24-05-2024,15:30,Dep. Riestra,Rosario Central,Argentina - Torneo Betano 2024,Guillermo Laza,steal,2,85,18,Dep. Riestra,Jonatan Goitía,0.3,-0.53,-1.0,,,,,
24-05-2024,15:30,Dep. Riestra,Rosario Central,Argentina - Torneo Betano 2024,Guillermo Laza,steal,2,87,9,Dep. Riestra,Milton Céliz,0.33,-0.52,-1.0,,,,,
24-05-2024,15:30,Dep. Riestra,Rosario Central,Argentina - Torneo Betano 2024,Guillermo Laza,steal,2,90,12,Dep. Riestra,Walter Acuña,-0.52,-0.64,-1.0,,,,,
