date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,1,0,40,Lanús,Braian Aguirre,-0.44,0.58,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,1,2,59,Estudiantes,Luciano Lollo,0.42,-0.56,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,1,10,37,Lanús,Braian Aguirre,0.21,0.65,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,1,13,44,Estudiantes,Santiago Ascacíbar,-0.44,-0.74,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,1,14,58,Estudiantes,Eros Mancuso,-0.13,0.15,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,1,21,29,Estudiantes,Santiago Ascacíbar,-0.46,-0.53,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,1,21,26,Lanús,Nicolás Morgantini,-0.42,-0.82,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,1,23,7,Lanús,Braian Aguirre,-0.59,0.64,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,1,30,13,Lanús,Favio Álvarez,-0.22,-0.08,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,1,31,16,Estudiantes,Gastón Benedetti,0.58,0.71,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,1,33,9,Estudiantes,Santiago Ascacíbar,-0.11,-0.08,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,1,45,11,Lanús,Raúl Loaiza,-0.07,0.1,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,1,47,33,Estudiantes,Pablo Piatti,-0.4,0.1,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,1,47,53,Estudiantes,Pablo Piatti,-0.39,0.55,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,2,47,22,Estudiantes,Pablo Piatti,-0.44,-0.82,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,2,48,52,Lanús,Bruno Cabrera,0.49,-0.31,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,2,51,9,Lanús,Augusto Lotti,-0.13,0.5,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,2,53,43,Estudiantes,Santiago Ascacíbar,0.09,0.87,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,2,55,12,Estudiantes,Eros Mancuso,0.46,0.31,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,2,58,21,Estudiantes,Fernando Zuqui,-0.25,-0.51,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,2,58,43,Lanús,Felipe Peña Biafore,0.61,-0.53,-1.0,,,,,
24-05-2024,21:15,Lanús,Estudiantes,Argentina - Torneo Betano 2024,Ciudad de Lanús,steal,2,60,40,Lanús,Walter Bou,0.32,-0.17,-1.0,,,,,
