date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
24-05-2024,19:00,Tigre,Racing Club,Argentina - Torneo Betano 2024,Coliseo de Victoria,steal,1,2,3,Racing Club,Agustín Almendra,-0.17,0.04,-1.0,,,,,
24-05-2024,19:00,Tigre,Racing Club,Argentina - Torneo Betano 2024,Coliseo de Victoria,steal,1,3,47,Tigre,Kevin Lomónaco,-0.55,-0.53,-1.0,,,,,
24-05-2024,19:00,Tigre,Racing Club,Argentina - Torneo Betano 2024,Coliseo de Victoria,steal,1,8,9,Racing Club,Santiago Sosa,0.79,-0.48,-1.0,,,,,
24-05-2024,19:00,Tigre,Racing Club,Argentina - Torneo Betano 2024,Coliseo de Victoria,steal,1,9,45,Tigre,Tomás  Fernández,-0.75,0.81,-1.0,,,,,
24-05-2024,19:00,Tigre,Racing Club,Argentina - Torneo Betano 2024,Coliseo de Victoria,steal,1,12,28,Racing Club,Agustín Almendra,0.14,0.53,-1.0,,,,,
24-05-2024,19:00,Tigre,Racing Club,Argentina - Torneo Betano 2024,Coliseo de Victoria,steal,1,15,49,Tigre,Blas Armoa,0.41,-0.88,-1.0,,,,,
24-05-2024,19:00,Tigre,Racing Club,Argentina - Torneo Betano 2024,Coliseo de Victoria,steal,1,18,18,Racing Club,Gastón Martirena,0.5,0.5,-1.0,,,,,
24-05-2024,19:00,Tigre,Racing Club,Argentina - Torneo Betano 2024,Coliseo de Victoria,steal,1,22,26,Tigre,Martín Garay,-0.34,0.35,-1.0,,,,,
24-05-2024,19:00,Tigre,Racing Club,Argentina - Torneo Betano 2024,Coliseo de Victoria,steal,1,27,16,Racing Club,Agustín Almendra,0.24,0.69,-1.0,,,,,
24-05-2024,19:00,Tigre,Racing Club,Argentina - Torneo Betano 2024,Coliseo de Victoria,steal,1,27,23,Tigre,Tomás  Fernández,-0.02,0.77,-1.0,,,,,
24-05-2024,19:00,Tigre,Racing Club,Argentina - Torneo Betano 2024,Coliseo de Victoria,steal,1,27,39,Tigre,Tomás  Fernández,-0.61,0.5,-1.0,,,,,
