date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,1,0,16,River Plate,Rodrigo Villagra,0.45,-0.22,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,1,2,52,River Plate,Paulo Díaz,0.78,0.74,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,1,3,58,River Plate,Agustín Sant'Anna,0.61,-0.52,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,1,5,44,River Plate,Agustín Sant'Anna,0.49,-0.59,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,1,7,35,River Plate,Paulo Díaz,0.35,0.33,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,1,8,50,River Plate,Rodrigo Aliendro,0.31,-0.38,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,1,9,5,Argentinos Juniors,Alan Lescano,-0.14,0.45,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,1,10,46,River Plate,Facundo Colidio,0.46,-0.39,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,1,12,18,River Plate,Rodrigo Aliendro,0.44,-0.44,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,1,16,3,River Plate,Agustín Sant'Anna,0.51,-0.56,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,1,25,39,Argentinos Juniors,Luciano Gondou,-0.02,0.56,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,1,30,54,River Plate,Esequiel Barco,0.4,0.6,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,1,30,57,Argentinos Juniors,Luciano Gondou,0.65,0.71,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,1,33,47,River Plate,Rodrigo Aliendro,0.18,-0.79,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,1,36,18,River Plate,Milton Casco,0.47,0.21,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,1,38,57,Argentinos Juniors,Nicolás Oroz,-0.04,0.29,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,1,45,38,River Plate,Leandro González Pirez,0.82,-0.75,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,1,46,7,Argentinos Juniors,Román Vega,-0.11,-0.63,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,2,45,51,Argentinos Juniors,Román Vega,0.34,0.77,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,2,47,25,River Plate,Rodrigo Aliendro,-0.25,-0.35,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,2,47,43,Argentinos Juniors,Emiliano Viveros,0.16,0.82,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,2,51,56,River Plate,Rodrigo Aliendro,-0.25,-0.13,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,2,53,48,River Plate,Paulo Díaz,-0.75,-0.33,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,2,61,38,River Plate,Agustín Sant'Anna,-0.67,0.72,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,2,63,6,River Plate,Claudio Echeverri,0.3,-0.76,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,2,63,8,Argentinos Juniors,Ariel Gamarra,0.34,-0.5,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,2,63,20,River Plate,Esequiel Barco,-0.14,-0.54,-1.0,,,,,
25-05-2024,15:00,Argentinos Juniors,River Plate,Argentina - Torneo Betano 2024,Diego Armando Maradona,steal,2,64,18,Argentinos Juniors,Román Vega,0.47,0.73,-1.0,,,,,
