date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,1,0,28,Talleres,Valentín Depietri,-0.14,-0.6,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,1,4,5,Boca Juniors,Ezequiel Fernández,0.17,-0.41,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,1,5,11,Talleres,Rubén Botta,-0.02,0.52,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,1,13,29,Talleres,Valentín Depietri,-0.42,-0.47,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,1,18,18,Boca Juniors,Cristian Lema,0.08,-0.39,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,1,19,55,Boca Juniors,Guillermo Fernández,0.21,-0.25,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,1,27,49,Boca Juniors,Lautaro Di Lollo,-0.37,0.49,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,1,30,43,Boca Juniors,Marcelo Saracchi,-0.19,0.68,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,1,31,6,Boca Juniors,Guillermo Fernández,0.16,-0.5,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,1,36,33,Boca Juniors,Marcelo Saracchi,0.61,0.9,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,1,36,31,Talleres,Marcos Portillo,0.52,0.6,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,1,40,10,Boca Juniors,Cristian Medina,0.36,-0.49,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,2,45,25,Boca Juniors,Cristian Lema,0.53,0.35,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,2,48,7,Boca Juniors,Cristian Lema,0.24,0.8,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,2,50,17,Boca Juniors,Lautaro Di Lollo,0.48,-0.33,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,2,51,10,Talleres,Valentín Depietri,-0.1,0.45,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,2,51,46,Boca Juniors,Ezequiel Fernández,0.29,-0.13,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,2,51,44,Talleres,Marcos Portillo,-0.36,0.21,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,2,52,0,Talleres,Juan Carlos Portillo,-0.4,-0.15,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,2,52,50,Boca Juniors,Ezequiel Fernández,0.47,0.16,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,2,68,34,Boca Juniors,Lautaro Di Lollo,0.03,-0.88,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,2,90,41,Boca Juniors,Guillermo Fernández,0.85,-0.52,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,steal,2,91,27,Boca Juniors,Lucas Janson,0.5,0.84,-1.0,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,1,2,48,Boca Juniors,Miguel Ángel Merentiel,0.12,0.7,-1.0,Miguel Ángel Navarro,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,1,6,18,Boca Juniors,Marcelo Saracchi,-0.27,0.85,-1.0,Ramón Sosa,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,1,10,8,Talleres,Valentín Depietri,,,,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,1,11,20,Boca Juniors,Marcelo Saracchi,0.95,0.74,-1.0,Miguel Ángel Navarro,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,1,17,24,Talleres,Lucas Suárez,0.27,0.57,-1.0,Edinson Cavani,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,1,18,23,Talleres,Juan Carlos Portillo,0.39,-0.31,-1.0,Cristian Medina,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,1,26,10,Boca Juniors,Vicente Taborda,-0.1,0.74,-1.0,Miguel Ángel Navarro,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,1,32,11,Talleres,Ramón Sosa,0.35,0.2,-1.0,Vicente Taborda,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,1,33,20,Talleres,Valentín Depietri,0.45,-0.42,-1.0,Cristian Medina,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,1,39,13,Talleres,Ulises Ortegoza,0.26,0.5,-1.0,Vicente Taborda,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,1,39,31,Talleres,Marcos Portillo,0.19,0.31,-1.0,Guillermo Fernández,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,1,44,27,Talleres,Miguel Ángel Navarro,0.36,0.91,-1.0,Vicente Taborda,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,1,45,11,Talleres,Rubén Botta,,,,,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,2,45,28,Talleres,Marcos Portillo,0.06,0.26,-1.0,Cristian Medina,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,2,63,0,Talleres,Ramón Sosa,0.82,-0.28,-1.0,Cristian Lema,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,2,63,41,Talleres,Lucas Suárez,-0.43,-0.81,-1.0,Miguel Ángel Merentiel,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,2,64,52,Boca Juniors,Cristian Medina,0.39,-0.36,-1.0,Marcos Portillo,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,2,68,34,Talleres,Miguel Ángel Navarro,-0.15,-0.83,-1.0,Jabes Saralegui,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,2,71,22,Boca Juniors,Cristian Medina,-0.21,0.61,-1.0,Gastón Benavídez,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,2,72,37,Boca Juniors,Ezequiel Fernández,0.47,-0.48,-1.0,Ramón Sosa,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,2,74,59,Boca Juniors,Miguel Ángel Merentiel,-0.26,-0.15,-1.0,Juan Camilo Portilla,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,2,76,40,Boca Juniors,Ezequiel Fernández,0.24,0.64,-1.0,Rubén Botta,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,2,79,14,Talleres,Juan Camilo Portilla,0.44,0.3,-1.0,Edinson Cavani,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,2,82,29,Boca Juniors,Guillermo Fernández,0.43,0.39,-1.0,Bruno Barticciotto,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,2,87,40,Talleres,Juan Camilo Portilla,-0.39,0.35,-1.0,Lucas Janson,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,2,88,45,Talleres,Miguel Ángel Navarro,-0.31,-0.81,-1.0,Jabes Saralegui,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,foul,2,91,30,Talleres,Gastón Benavídez,0.36,0.57,-1.0,Lucas Janson,,,,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,shot,1,1,12,Talleres,Marcos Portillo,-0.45,-0.15,-1.0,,-0.98,0.26,-1.0,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,shot,1,5,17,Talleres,Federico Girotti,-0.47,-0.16,-1.0,,-1.0,-0.15,-1.0,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,shot,1,12,8,Boca Juniors,Miguel Ángel Merentiel,0.72,0.01,-1.0,Guido Herrera,0.99,0.0,0.13,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,shot,1,16,37,Talleres,Gastón Benavídez,-0.66,-0.3,-1.0,,-0.99,-0.3,-1.0,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,shot,1,28,6,Talleres,Federico Girotti,-0.78,-0.21,-1.0,,-0.99,-0.28,-1.0,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,shot,1,34,9,Boca Juniors,Cristian Lema,0.76,0.26,-1.0,,0.99,-0.31,-1.0,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,shot,1,34,39,Talleres,Rubén Botta,-0.73,-0.13,-1.0,Sergio Romero,-0.92,-0.07,0.73,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,shot,1,35,2,Boca Juniors,Marcelo Saracchi,0.49,0.32,-1.0,Lucas Suárez,0.68,0.14,0.04,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,shot,1,35,46,Boca Juniors,Cristian Lema,0.79,-0.16,-1.0,,0.99,-0.05,-1.0,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,shot,1,36,46,Boca Juniors,Ezequiel Fernández,0.6,0.07,-1.0,Miguel Ángel Navarro,0.67,0.08,0.33,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,shot,1,42,59,Talleres,Miguel Ángel Navarro,-0.54,0.27,-1.0,,-1.0,0.18,-1.0,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,shot,1,46,9,Boca Juniors,Cristian Medina,0.74,-0.07,-1.0,Guido Herrera,0.96,0.0,0.45,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,shot,2,48,53,Talleres,Federico Girotti,0.72,-0.21,-1.0,Sergio Romero,0.95,-0.02,0.44,
25-05-2024,20:00,Boca Juniors,Talleres,Argentina - Torneo Betano 2024,Alberto J. Armando,shot,2,53,17,Talleres,Rubén Botta,0.55,0.02,-1.0,Sergio Romero,0.97,-0.02,0.54,
