date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
25-05-2024,17:30,Godoy Cruz,San Lorenzo,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,3,33,Godoy Cruz,Vicente Poggi,-0.18,-0.36,-1.0,,,,,
25-05-2024,17:30,Godoy Cruz,San Lorenzo,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,4,14,Godoy Cruz,Juan Bautista Cejas,0.38,0.64,-1.0,,,,,
25-05-2024,17:30,Godoy Cruz,San Lorenzo,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,6,5,Godoy Cruz,Nicolás Fernández,0.35,0.06,-1.0,,,,,
25-05-2024,17:30,Godoy Cruz,San Lorenzo,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,8,51,San Lorenzo,Elián Irala,0.42,-0.29,-1.0,,,,,
25-05-2024,17:30,Godoy Cruz,San Lorenzo,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,10,17,Godoy Cruz,Thomas Galdames,-0.44,0.82,-1.0,,,,,
25-05-2024,17:30,Godoy Cruz,San Lorenzo,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,10,24,San Lorenzo,Nahuel Barrios,-0.35,0.82,-1.0,,,,,
25-05-2024,17:30,Godoy Cruz,San Lorenzo,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,12,36,Godoy Cruz,Vicente Poggi,-0.26,0.76,-1.0,,,,,
25-05-2024,17:30,Godoy Cruz,San Lorenzo,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,13,17,Godoy Cruz,Nicolás Fernández,-0.35,0.31,-1.0,,,,,
25-05-2024,17:30,Godoy Cruz,San Lorenzo,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,13,35,San Lorenzo,Elián Irala,0.33,0.73,-1.0,,,,,
25-05-2024,17:30,Godoy Cruz,San Lorenzo,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,16,18,San Lorenzo,Eric Remedi,0.44,-0.68,-1.0,,,,,
25-05-2024,17:30,Godoy Cruz,San Lorenzo,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,16,49,Godoy Cruz,Thomas Galdames,0.29,-0.52,-1.0,,,,,
25-05-2024,17:30,Godoy Cruz,San Lorenzo,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,32,25,Godoy Cruz,Bruno Leyes,-0.33,0.37,-1.0,,,,,
25-05-2024,17:30,Godoy Cruz,San Lorenzo,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,36,45,San Lorenzo,Eric Remedi,-0.07,0.79,-1.0,,,,,
25-05-2024,17:30,Godoy Cruz,San Lorenzo,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,38,29,Godoy Cruz,Vicente Poggi,-0.19,0.0,-1.0,,,,,
25-05-2024,17:30,Godoy Cruz,San Lorenzo,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,38,46,San Lorenzo,Eric Remedi,0.45,0.69,-1.0,,,,,
25-05-2024,17:30,Godoy Cruz,San Lorenzo,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,58,14,Godoy Cruz,Bruno Leyes,-0.37,0.29,-1.0,,,,,
25-05-2024,17:30,Godoy Cruz,San Lorenzo,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,2,46,20,San Lorenzo,Agustín Giay,0.12,0.68,-1.0,,,,,
25-05-2024,17:30,Godoy Cruz,San Lorenzo,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,2,46,26,Godoy Cruz,Tomás Conechny,0.28,0.66,-1.0,,,,,
25-05-2024,17:30,Godoy Cruz,San Lorenzo,Argentina - Torneo Betano 2024,Malvinas Argentinas,foul,1,0,44,Godoy Cruz,Nicolás Fernández,-0.26,-0.61,-1.0,Eric Remedi,,,,
25-05-2024,17:30,Godoy Cruz,San Lorenzo,Argentina - Torneo Betano 2024,Malvinas Argentinas,foul,1,8,6,Godoy Cruz,Pier Barrios,0.19,0.14,-1.0,Adam Bareiro,,,,
