date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,steal,1,12,54,Newell`s,Rodrigo Fernández,-0.07,-0.59,-1.0,,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,steal,1,19,14,Defensa y Justicia,Nicolás Palavecino,0.78,0.62,-1.0,,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,steal,1,21,35,Defensa y Justicia,Luciano Herrera,-0.4,-0.85,-1.0,,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,steal,1,26,10,Newell`s,Ever Banega,0.41,0.14,-1.0,,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,steal,1,34,48,Defensa y Justicia,Nicolás Tripichio,0.62,-0.52,-1.0,,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,steal,1,36,47,Defensa y Justicia,Luciano Herrera,-0.42,0.14,-1.0,,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,steal,1,41,24,Defensa y Justicia,Facundo Echevarría,-0.09,0.13,-1.0,,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,steal,2,51,19,Defensa y Justicia,Nicolás Tripichio,-0.83,0.73,-1.0,,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,steal,2,54,39,Defensa y Justicia,Nicolás Palavecino,-0.4,-0.65,-1.0,,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,steal,2,60,44,Defensa y Justicia,Rodrigo Bogarín,0.37,-0.06,-1.0,,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,steal,2,64,30,Defensa y Justicia,Kevin Gutiérrez,0.24,0.08,-1.0,,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,steal,2,69,9,Newell`s,Jerónimo Cacciabue,0.23,0.34,-1.0,,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,steal,2,73,16,Defensa y Justicia,Luciano Herrera,0.44,0.86,-1.0,,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,steal,2,78,29,Defensa y Justicia,Aarón Molinas,0.21,0.9,-1.0,,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,steal,2,81,37,Defensa y Justicia,Nicolás Tripichio,-0.63,0.05,-1.0,,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,steal,2,83,32,Newell`s,Ángelo Martino,-0.62,0.9,-1.0,,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,steal,2,90,43,Defensa y Justicia,Kevin Gutiérrez,0.05,0.26,-1.0,,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,steal,2,91,8,Newell`s,Esteban Fernández,0.94,0.75,-1.0,,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,steal,2,93,20,Defensa y Justicia,Emanuel Aguilera,-0.75,0.65,-1.0,,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,foul,1,5,29,Newell`s,Augusto Schott,0.24,0.37,-1.0,Facundo Echevarría,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,foul,1,7,0,Defensa y Justicia,Luciano Herrera,-0.21,-0.45,-1.0,Ever Banega,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,foul,1,13,21,Defensa y Justicia,Rodrigo Bogarín,0.19,-0.09,-1.0,Rodrigo Fernández,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,foul,1,14,39,Newell`s,Francisco González,-0.13,0.82,-1.0,Facundo Echevarría,,,,
25-05-2024,17:30,Newell`s,Defensa y Justicia,Argentina - Torneo Betano 2024,Marcelo Bielsa,foul,1,18,34,Newell`s,Ángelo Martino,0.5,-0.82,-1.0,Luciano Herrera,,,,
