date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
26-05-2024,17:45,Gimnasia,Banfield,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,2,41,Banfield,Braian Galván,0.76,-0.66,-1.0,,,,,
26-05-2024,17:45,Gimnasia,Banfield,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,4,52,Banfield,Cristian Núñez,0.38,0.21,-1.0,,,,,
26-05-2024,17:45,Gimnasia,Banfield,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,5,20,Banfield,Cristian Núñez,0.49,0.58,-1.0,,,,,
26-05-2024,17:45,Gimnasia,Banfield,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,8,24,Banfield,,0.63,0.51,-1.0,,,,,
26-05-2024,17:45,Gimnasia,Banfield,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,11,38,Banfield,Cristian Núñez,0.64,-0.64,-1.0,,,,,
26-05-2024,17:45,Gimnasia,Banfield,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,15,46,Banfield,,0.76,0.71,-1.0,,,,,
26-05-2024,17:45,Gimnasia,Banfield,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,34,52,Banfield,Juan Pablo Álvarez,-0.23,-0.63,-1.0,,,,,
26-05-2024,17:45,Gimnasia,Banfield,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,42,41,Banfield,Ignacio Rodríguez,-0.35,0.66,-1.0,,,,,
26-05-2024,17:45,Gimnasia,Banfield,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,43,57,Banfield,Ignacio Rodríguez,-0.17,0.57,-1.0,,,,,
26-05-2024,17:45,Gimnasia,Banfield,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,46,40,Banfield,Ignacio Rodríguez,-0.41,-0.06,-1.0,,,,,
26-05-2024,17:45,Gimnasia,Banfield,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,1,47,29,Banfield,Lautaro Cardozo,0.54,-0.67,-1.0,,,,,
26-05-2024,17:45,Gimnasia,Banfield,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,2,48,33,Banfield,Mateo Pérez,-0.68,0.66,-1.0,,,,,
26-05-2024,17:45,Gimnasia,Banfield,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,2,51,28,Banfield,Milton Giménez,0.58,-0.61,-1.0,,,,,
26-05-2024,17:45,Gimnasia,Banfield,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,2,61,54,Banfield,Cristian Núñez,-0.56,0.3,-1.0,,,,,
26-05-2024,17:45,Gimnasia,Banfield,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,2,62,7,Banfield,,-0.24,-0.84,-1.0,,,,,
26-05-2024,17:45,Gimnasia,Banfield,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,2,61,45,Gimnasia,Rodrigo Saravia,-0.43,0.74,-1.0,,,,,
26-05-2024,17:45,Gimnasia,Banfield,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,2,70,21,Banfield,,-0.51,-0.28,-1.0,,,,,
26-05-2024,17:45,Gimnasia,Banfield,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,2,82,52,Banfield,Cristian Núñez,0.08,0.27,-1.0,,,,,
26-05-2024,17:45,Gimnasia,Banfield,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,2,83,1,Banfield,Bruno Sepúlveda,0.3,0.39,-1.0,,,,,
26-05-2024,17:45,Gimnasia,Banfield,Argentina - Torneo Betano 2024,Juan Carmelo Zerillo,steal,2,85,49,Banfield,Cristian Núñez,0.6,0.6,-1.0,,,,,
