date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,1,2,18,Instituto,Santiago Rodríguez,0.06,-0.31,-1.0,,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,1,10,37,Huracán,Rodrigo Cabral,-0.23,-0.75,-1.0,,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,1,21,24,Huracán,César Ibáñez,-0.85,-0.71,-1.0,,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,1,22,53,Huracán,Walter Mazzantti,0.57,0.57,-1.0,,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,1,25,46,Huracán,César Ibáñez,-0.42,0.59,-1.0,,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,2,74,26,Huracán,Héctor Fértoli,-0.2,0.32,-1.0,,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,2,85,52,Huracán,Lucas Carrizo,0.32,0.52,-1.0,,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,steal,2,89,36,Instituto,Damián Puebla,-0.14,-0.2,-1.0,,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,3,10,Instituto,Jonathan Bay,-0.28,0.61,-1.0,Walter Mazzantti,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,8,11,Huracán,Ignacio Pussetto,-0.13,0.74,-1.0,Facundo Suárez,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,13,39,Instituto,Nicolás  Dubersarsky,0.46,-0.65,-1.0,Walter Mazzantti,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,14,52,Huracán,Fernando Tobio,0.77,0.3,-1.0,Gonzalo Requena,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,16,13,Instituto,Nicolás  Dubersarsky,-0.53,-0.13,-1.0,Rodrigo Cabral,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,18,59,Huracán,Rodrigo Echeverría,-0.67,-0.7,-1.0,Santiago Rodríguez,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,22,39,Instituto,Nicolás  Dubersarsky,0.48,0.74,-1.0,Walter Mazzantti,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,26,52,Huracán,Lucas Carrizo,-0.36,0.42,-1.0,Santiago Rodríguez,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,27,40,Huracán,Lucas Carrizo,-0.7,-0.68,-1.0,Santiago Rodríguez,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,34,26,Huracán,Lucas Souto,-0.61,0.78,-1.0,Brahian Cuello,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,36,4,Huracán,Williams Alarcón,-0.44,-0.14,-1.0,Damián Puebla,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,39,27,Instituto,Facundo Suárez,-0.39,-0.31,-1.0,Lucas Carrizo,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,41,13,Instituto,Gastón Lodico,-0.34,0.69,-1.0,Walter Mazzantti,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,1,43,9,Huracán,Williams Alarcón,0.27,-0.26,-1.0,Brahian Cuello,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,2,45,41,Instituto,Damián Puebla,0.28,0.72,-1.0,César Ibáñez,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,2,47,36,Huracán,Lucas Souto,0.77,-0.86,-1.0,Jonathan Bay,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,2,50,27,Instituto,Damián Puebla,0.1,-0.09,-1.0,Lucas Carrizo,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,2,55,37,Instituto,Brahian Cuello,0.36,0.1,-1.0,Rodrigo Cabral,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,2,56,30,Instituto,Damián Puebla,-0.42,0.17,-1.0,Ignacio Pussetto,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,2,61,51,Instituto,Brahian Cuello,0.41,0.19,-1.0,Rodrigo Cabral,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,2,69,46,Instituto,Gonzalo Requena,0.4,0.84,-1.0,Ignacio Pussetto,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,2,75,28,Instituto,Juan José Franco,0.19,0.79,-1.0,Rodrigo Cabral,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,2,79,31,Huracán,Héctor Fértoli,,,,,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,2,80,26,Instituto,Víctor Cabrera,-0.22,-0.2,-1.0,Ignacio Pussetto,,,,
26-05-2024,15:30,Huracán,Instituto,Argentina - Torneo Betano 2024,Tomás A. Ducó,foul,2,83,52,Instituto,Jeremías Lázaro,0.75,0.86,-1.0,Lucas Carrizo,,,,
