date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
26-05-2024,20:00,Independiente,Vélez,Argentina - Torneo Betano 2024,Libertadores de América,steal,1,10,15,Vélez,Agustín Bouzat,-0.21,0.45,-1.0,,,,,
26-05-2024,20:00,Independiente,Vélez,Argentina - Torneo Betano 2024,Libertadores de América,steal,1,11,29,Vélez,Joaquín García,0.73,-0.71,-1.0,,,,,
26-05-2024,20:00,Independiente,Vélez,Argentina - Torneo Betano 2024,Libertadores de América,steal,1,17,26,Vélez,Christian Ordóñez,0.51,0.69,-1.0,,,,,
26-05-2024,20:00,Independiente,Vélez,Argentina - Torneo Betano 2024,Libertadores de América,steal,1,28,42,Vélez,Francisco Pizzini,-0.27,0.04,-1.0,,,,,
26-05-2024,20:00,Independiente,Vélez,Argentina - Torneo Betano 2024,Libertadores de América,steal,1,37,14,Independiente,Santiago López,0.36,0.52,-1.0,,,,,
26-05-2024,20:00,Independiente,Vélez,Argentina - Torneo Betano 2024,Libertadores de América,steal,1,45,37,Independiente,David Martínez,-0.71,0.68,-1.0,,,,,
26-05-2024,20:00,Independiente,Vélez,Argentina - Torneo Betano 2024,Libertadores de América,steal,2,53,43,Vélez,Joaquín García,-0.38,0.83,-1.0,,,,,
26-05-2024,20:00,Independiente,Vélez,Argentina - Torneo Betano 2024,Libertadores de América,steal,2,78,44,Independiente,Gabriel Ávalos,-0.49,0.82,-1.0,,,,,
26-05-2024,20:00,Independiente,Vélez,Argentina - Torneo Betano 2024,Libertadores de América,foul,1,1,8,Vélez,Braian Romero,,,,,,,,
26-05-2024,20:00,Independiente,Vélez,Argentina - Torneo Betano 2024,Libertadores de América,foul,1,3,0,Independiente,Federico Mancuello,0.31,-0.35,-1.0,Francisco Pizzini,,,,
26-05-2024,20:00,Independiente,Vélez,Argentina - Torneo Betano 2024,Libertadores de América,foul,1,4,9,Independiente,Lautaro Millán,0.24,0.53,-1.0,Elías Gómez,,,,
26-05-2024,20:00,Independiente,Vélez,Argentina - Torneo Betano 2024,Libertadores de América,foul,1,5,2,Vélez,Francisco Pizzini,-0.22,-0.89,-1.0,Damián Pérez,,,,
26-05-2024,20:00,Independiente,Vélez,Argentina - Torneo Betano 2024,Libertadores de América,foul,1,11,2,Vélez,Christian Ordóñez,-0.13,0.44,-1.0,Santiago López,,,,
26-05-2024,20:00,Independiente,Vélez,Argentina - Torneo Betano 2024,Libertadores de América,foul,1,12,7,Vélez,Joaquín García,-0.07,-0.77,-1.0,Lautaro Millán,,,,
26-05-2024,20:00,Independiente,Vélez,Argentina - Torneo Betano 2024,Libertadores de América,foul,1,12,54,Vélez,Damián Fernández,0.23,0.41,-1.0,Gabriel Ávalos,,,,
26-05-2024,20:00,Independiente,Vélez,Argentina - Torneo Betano 2024,Libertadores de América,foul,1,14,55,Vélez,Agustín Bouzat,-0.41,0.23,-1.0,David Martínez,,,,
26-05-2024,20:00,Independiente,Vélez,Argentina - Torneo Betano 2024,Libertadores de América,foul,1,15,59,Independiente,Federico Mancuello,-0.51,-0.47,-1.0,Francisco Pizzini,,,,
