date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
26-05-2024,17:30,Sarmiento,Independiente Riv. (M),Argentina - Torneo Betano 2024,Eva Perón,steal,1,8,23,Sarmiento,Manuel García,-0.28,0.29,-1.0,,,,,
26-05-2024,17:30,Sarmiento,Independiente Riv. (M),Argentina - Torneo Betano 2024,Eva Perón,steal,1,14,32,Sarmiento,Manuel García,-0.29,0.57,-1.0,,,,,
26-05-2024,17:30,Sarmiento,Independiente Riv. (M),Argentina - Torneo Betano 2024,Eva Perón,steal,1,23,29,Sarmiento,Fernando Godoy,-0.21,0.25,-1.0,,,,,
26-05-2024,17:30,Sarmiento,Independiente Riv. (M),Argentina - Torneo Betano 2024,Eva Perón,steal,1,25,17,Independiente Riv. (M),Lautaro Ríos,-0.09,-0.93,-1.0,,,,,
26-05-2024,17:30,Sarmiento,Independiente Riv. (M),Argentina - Torneo Betano 2024,Eva Perón,steal,1,26,35,Independiente Riv. (M),Tomás Palacios,0.76,0.82,-1.0,,,,,
26-05-2024,17:30,Sarmiento,Independiente Riv. (M),Argentina - Torneo Betano 2024,Eva Perón,steal,1,40,5,Sarmiento,Fernando Godoy,0.75,0.78,-1.0,,,,,
26-05-2024,17:30,Sarmiento,Independiente Riv. (M),Argentina - Torneo Betano 2024,Eva Perón,steal,1,41,46,Independiente Riv. (M),Lautaro Ríos,-0.07,-0.85,-1.0,,,,,
26-05-2024,17:30,Sarmiento,Independiente Riv. (M),Argentina - Torneo Betano 2024,Eva Perón,steal,1,45,58,Sarmiento,Fernando Godoy,0.23,0.42,-1.0,,,,,
26-05-2024,17:30,Sarmiento,Independiente Riv. (M),Argentina - Torneo Betano 2024,Eva Perón,steal,2,53,16,Independiente Riv. (M),Franco Romero,-0.13,0.44,-1.0,,,,,
26-05-2024,17:30,Sarmiento,Independiente Riv. (M),Argentina - Torneo Betano 2024,Eva Perón,steal,2,53,34,Sarmiento,Fernando Godoy,0.33,0.18,-1.0,,,,,
26-05-2024,17:30,Sarmiento,Independiente Riv. (M),Argentina - Torneo Betano 2024,Eva Perón,steal,2,54,26,Sarmiento,Sergio Quiroga,-0.23,0.24,-1.0,,,,,
26-05-2024,17:30,Sarmiento,Independiente Riv. (M),Argentina - Torneo Betano 2024,Eva Perón,steal,2,82,59,Sarmiento,Franco Paredes,0.3,-0.19,-1.0,,,,,
26-05-2024,17:30,Sarmiento,Independiente Riv. (M),Argentina - Torneo Betano 2024,Eva Perón,steal,2,84,35,Independiente Riv. (M),Juan Ignacio Cavallaro,-0.06,-0.75,-1.0,,,,,
26-05-2024,17:30,Sarmiento,Independiente Riv. (M),Argentina - Torneo Betano 2024,Eva Perón,steal,2,88,19,Sarmiento,Fernando Godoy,0.18,0.51,-1.0,,,,,
26-05-2024,17:30,Sarmiento,Independiente Riv. (M),Argentina - Torneo Betano 2024,Eva Perón,steal,2,88,30,Independiente Riv. (M),Antonio Napolitano,-0.67,0.84,-1.0,,,,,
26-05-2024,17:30,Sarmiento,Independiente Riv. (M),Argentina - Torneo Betano 2024,Eva Perón,steal,2,90,7,Sarmiento,Tomás Guiacobini,0.74,-0.72,-1.0,,,,,
26-05-2024,17:30,Sarmiento,Independiente Riv. (M),Argentina - Torneo Betano 2024,Eva Perón,steal,2,90,9,Independiente Riv. (M),Gastón Gil Romero,0.29,-0.78,-1.0,,,,,
