date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
27-05-2024,21:00,Atlético Tucumán,Platense,Argentina - Torneo Betano 2024,Monumental Presidente José Fierro,steal,1,0,11,Atlético Tucumán,Renzo Tesuri,-0.33,0.79,-1.0,,,,,
27-05-2024,21:00,Atlético Tucumán,Platense,Argentina - Torneo Betano 2024,Monumental Presidente José Fierro,steal,1,0,39,Atlético Tucumán,Nicolás Romero,0.13,-0.31,-1.0,,,,,
27-05-2024,21:00,Atlético Tucumán,Platense,Argentina - Torneo Betano 2024,Monumental Presidente José Fierro,steal,1,0,48,Platense,Leonel Picco,0.17,-0.29,-1.0,,,,,
27-05-2024,21:00,Atlético Tucumán,Platense,Argentina - Torneo Betano 2024,Monumental Presidente José Fierro,steal,1,1,20,Atlético Tucumán,Guillermo Acosta,0.11,-0.1,-1.0,,,,,
27-05-2024,21:00,Atlético Tucumán,Platense,Argentina - Torneo Betano 2024,Monumental Presidente José Fierro,steal,1,10,21,Atlético Tucumán,Mateo Coronel,0.07,0.58,-1.0,,,,,
27-05-2024,21:00,Atlético Tucumán,Platense,Argentina - Torneo Betano 2024,Monumental Presidente José Fierro,steal,1,12,13,Atlético Tucumán,Agustín Lagos,-0.14,0.83,-1.0,,,,,
27-05-2024,21:00,Atlético Tucumán,Platense,Argentina - Torneo Betano 2024,Monumental Presidente José Fierro,steal,1,14,40,Platense,Ronaldo Martínez,-0.88,0.68,-1.0,,,,,
27-05-2024,21:00,Atlético Tucumán,Platense,Argentina - Torneo Betano 2024,Monumental Presidente José Fierro,steal,1,15,18,Atlético Tucumán,Mateo Bajamich,0.56,-0.13,-1.0,,,,,
27-05-2024,21:00,Atlético Tucumán,Platense,Argentina - Torneo Betano 2024,Monumental Presidente José Fierro,steal,1,15,12,Platense,Fernando Juárez,0.44,0.04,-1.0,,,,,
27-05-2024,21:00,Atlético Tucumán,Platense,Argentina - Torneo Betano 2024,Monumental Presidente José Fierro,steal,1,18,15,Atlético Tucumán,Adrián Sánchez,-0.3,0.09,-1.0,,,,,
