date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,1,1,1,Unión,Mauro Luna Diale,0.23,-0.84,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,1,1,58,Unión,Mauro Pittón,0.16,0.76,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,1,6,55,Unión,Mauro Luna Diale,-0.22,-0.52,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,1,16,35,Unión,Mauro Pittón,0.48,0.42,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,1,19,14,Barracas Central,Gonzalo Goñi,0.46,0.52,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,1,22,40,Unión,Adrián Balboa,-0.11,-0.32,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,1,22,47,Unión,Nicolás Orsini,-0.18,0.51,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,1,26,58,Unión,Bruno Pittón,0.37,-0.71,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,1,26,52,Barracas Central,Nicolás Capraro,0.49,-0.47,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,1,32,10,Barracas Central,Federico Aguirre,-0.3,-0.18,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,1,37,31,Unión,Mauro Luna Diale,0.19,-0.37,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,2,45,30,Unión,Joaquín Mosqueira,-0.23,0.06,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,2,49,38,Unión,Nicolás Paz,0.17,-0.6,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,2,50,38,Unión,Bruno Pittón,0.47,0.83,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,2,56,14,Unión,Mauro Pittón,-0.38,0.0,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,2,57,25,Unión,Mauro Luna Diale,0.13,0.76,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,2,57,49,Unión,Claudio Corvalán,-0.27,0.8,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,2,64,31,Unión,Mauro Luna Diale,-0.36,0.27,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,2,65,22,Unión,Bruno Pittón,0.1,0.73,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,2,74,44,Unión,Valentín Fascendini,-0.19,0.77,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,2,75,21,Unión,Claudio Corvalán,0.65,0.8,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,2,83,12,Unión,Joaquín Mosqueira,0.33,0.38,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,2,83,30,Unión,Valentín Fascendini,0.37,0.78,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,steal,2,84,4,Unión,Franco Pardo,0.81,-0.7,-1.0,,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,foul,1,1,0,Barracas Central,Facundo Mater,0.28,-0.87,-1.0,Mauro Luna Diale,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,foul,1,8,34,Unión,Claudio Corvalán,-0.41,-0.4,-1.0,Marco Iacobellis,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,foul,1,9,44,Barracas Central,Gonzalo Goñi,-0.43,0.74,-1.0,Federico Vera,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,foul,1,11,6,Unión,Mauro Pittón,-0.09,0.51,-1.0,Maximiliano Zalazar,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,foul,1,15,53,Barracas Central,Rodrigo Insúa,0.22,0.8,-1.0,Nicolás Orsini,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,foul,1,21,51,Unión,Adrián Balboa,0.46,0.86,-1.0,Rodrigo Insúa,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,foul,1,23,51,Unión,Federico Vera,0.83,0.7,-1.0,Rodrigo Insúa,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,foul,1,24,22,Unión,Franco Pardo,-0.25,0.64,-1.0,Federico Aguirre,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,foul,1,28,57,Barracas Central,Marco Iacobellis,0.8,-0.89,-1.0,Bruno Pittón,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,foul,1,42,19,Barracas Central,Federico Aguirre,0.54,0.56,-1.0,Federico Vera,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,foul,1,45,38,Unión,Nicolás Orsini,-0.11,-0.52,-1.0,Siro Rosané,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,foul,2,50,0,Unión,Nicolás Paz,-0.29,-0.19,-1.0,Alan Cantero,,,,
27-05-2024,19:00,Unión,Barracas Central,Argentina - Torneo Betano 2024,15 de abril,foul,2,51,10,Barracas Central,Gonzalo Goñi,-0.01,-0.54,-1.0,Adrián Balboa,,,,
