date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,0,47,Belgrano,Juan Ignacio Barinaga,-0.36,0.43,-1.0,,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,16,10,Argentinos Juniors,Nicolás Oroz,-0.25,-0.6,-1.0,,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,28,11,Argentinos Juniors,Diego Rodríguez,0.67,-0.19,-1.0,,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,34,0,Argentinos Juniors,Román Vega,0.47,-0.07,-1.0,,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,36,49,Argentinos Juniors,Emiliano Viveros,0.14,0.39,-1.0,,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,42,29,Belgrano,Juan Ignacio Barinaga,-0.56,0.4,-1.0,,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,2,51,6,Argentinos Juniors,Ariel Gamarra,-0.22,-0.39,-1.0,,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,2,84,46,Argentinos Juniors,Román Vega,-0.46,0.55,-1.0,,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,foul,1,1,21,Argentinos Juniors,Emiliano Viveros,-0.12,0.6,-1.0,Juan Ignacio Barinaga,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,foul,1,3,29,Argentinos Juniors,Luciano Gondou,-0.76,-0.7,-1.0,Mariano Troilo,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,foul,1,6,37,Argentinos Juniors,Erik Godoy,0.23,-0.55,-1.0,Bryan Reyna,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,foul,1,10,50,Belgrano,Agustín Baldi,0.12,-0.7,-1.0,Thiago Santamaría,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,foul,1,11,30,Belgrano,Pablo Chavarría,0.19,-0.51,-1.0,Ariel Gamarra,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,foul,1,12,29,Argentinos Juniors,Jonatan Galván,,,,,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,foul,1,15,25,Belgrano,Pablo Chavarría,0.01,-0.17,-1.0,Ariel Gamarra,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,foul,1,22,26,Belgrano,Pablo Chavarría,0.47,0.31,-1.0,Román Vega,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,foul,1,26,18,Argentinos Juniors,Román Vega,0.19,0.51,-1.0,Francisco González Metilli,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,foul,1,31,42,Argentinos Juniors,Alan Lescano,-0.13,-0.44,-1.0,Agustín Baldi,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,foul,1,36,28,Argentinos Juniors,Emiliano Viveros,0.02,-0.07,-1.0,Bryan Reyna,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,foul,1,37,53,Belgrano,Pablo Chavarría,0.47,0.29,-1.0,Ariel Gamarra,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,foul,1,45,15,Belgrano,Alejandro Rébola,-0.22,0.3,-1.0,Luciano Gondou,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,foul,2,55,45,Belgrano,Matías Suárez,0.27,0.02,-1.0,Ariel Gamarra,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,foul,2,58,5,Argentinos Juniors,Nicolás Oroz,0.44,0.42,-1.0,Santiago Longo,,,,
01-06-2024,20:15,Belgrano,Argentinos Juniors,Argentina - Torneo Betano 2024,Malvinas Argentinas,foul,2,62,3,Argentinos Juniors,Nicolás Oroz,-0.25,0.24,-1.0,Gerónimo Heredia,,,,
