date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,steal,1,1,53,Racing Club,Juan Ignacio Nardoni,-0.6,-0.14,-1.0,,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,steal,1,6,11,Dep. Riestra,Pablo Monje,0.77,0.57,-1.0,,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,steal,1,7,39,Dep. Riestra,Jonatan Goitía,-0.5,-0.16,-1.0,,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,steal,1,9,1,Dep. Riestra,Yeison Murillo,0.92,-0.67,-1.0,,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,steal,2,53,40,Racing Club,Baltasar Rodríguez,-0.35,0.12,-1.0,,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,steal,2,56,9,Racing Club,Bruno Zuculini,-0.26,0.32,-1.0,,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,steal,2,84,5,Racing Club,Bruno Zuculini,-0.27,-0.13,-1.0,,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,2,2,Dep. Riestra,Milton Céliz,-0.44,0.53,-1.0,Roger Martínez,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,3,24,Racing Club,Agustín García Basso,-0.12,-0.58,-1.0,Gustavo Fernández,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,4,53,Dep. Riestra,Jonatan Goitía,-0.39,0.93,-1.0,Gastón Martirena,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,6,17,Racing Club,Agustín García Basso,0.32,0.42,-1.0,Gustavo Fernández,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,10,13,Dep. Riestra,Milton Céliz,,,,,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,12,13,Racing Club,Baltasar Rodríguez,0.44,-0.42,-1.0,Guillermo Pereira,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,26,9,Racing Club,Agustín Urzi,0.46,0.34,-1.0,Nicolás Caro Torres,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,30,3,Racing Club,Agustín Urzi,-0.09,-0.11,-1.0,Guillermo Pereira,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,28,13,Dep. Riestra,Pablo Monje,,,,,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,33,40,Dep. Riestra,Pablo Monje,0.58,-0.56,-1.0,Maximiliano Salas,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,foul,1,34,40,Dep. Riestra,Guillermo Pereira,0.19,0.62,-1.0,Marco Di Césare,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,53,51,Dep. Riestra,Nicolás Caro Torres,-0.46,0.08,-1.0,Roger Martínez,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,56,13,Dep. Riestra,Milton Céliz,0.29,0.7,-1.0,Gabriel Rojas,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,59,19,Racing Club,Agustín García Basso,-0.2,0.55,-1.0,Gustavo Fernández,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,61,28,Racing Club,Marco Di Césare,-0.27,0.12,-1.0,Jonathan Herrera,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,86,4,Dep. Riestra,Jonatan Goya,0.36,0.14,-1.0,Agustín Almendra,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,87,25,Dep. Riestra,Alan Barrionuevo,0.3,0.62,-1.0,Roger Martínez,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,88,9,Racing Club,Maximiliano Salas,-0.8,-0.79,-1.0,Jonatan Goitía,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,94,1,Racing Club,Santiago Sosa,-0.37,-0.31,-1.0,Jonatan Goya,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,foul,2,94,50,Dep. Riestra,Maximiliano Brito,0.47,0.46,-1.0,Agustín García Basso,,,,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,2,51,Racing Club,Maximiliano Salas,0.93,0.44,-1.0,,1.0,0.26,-1.0,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,7,42,Dep. Riestra,Gustavo Fernández,-0.63,-0.33,-1.0,Agustín García Basso,-0.69,-0.28,0.3,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,11,26,Racing Club,Baltasar Rodríguez,0.42,-0.17,-1.0,,1.0,-0.27,-1.0,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,27,1,Dep. Riestra,Milton Céliz,-0.62,-0.1,-1.0,Marco Di Césare,-0.71,-0.06,0.58,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,30,35,Dep. Riestra,Gustavo Fernández,-0.71,-0.12,-1.0,,-1.0,0.43,-1.0,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,36,54,Racing Club,Juan Ignacio Nardoni,0.37,-0.07,-1.0,Guillermo Pereira,0.48,-0.03,0.56,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,39,54,Dep. Riestra,Gustavo Fernández,-0.58,-0.51,-1.0,,-0.98,-0.45,-1.0,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,34,39,Racing Club,Maximiliano Salas,0.59,-0.38,-1.0,Nicolás Sansotre,0.69,-0.25,0.35,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,42,40,Racing Club,Maximiliano Salas,0.77,0.13,-1.0,Ignacio Arce,0.82,0.06,0.22,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,45,49,Racing Club,Baltasar Rodríguez,0.43,-0.12,-1.0,,0.99,0.25,-1.0,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,42,38,Racing Club,Gastón Martirena,0.43,0.36,-1.0,Nicolás Caro Torres,0.72,0.17,0.17,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,48,14,Racing Club,Maximiliano Salas,0.43,0.26,-1.0,Pablo Monje,0.56,0.13,0.67,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,48,44,Racing Club,Gabriel Rojas,0.93,0.46,-1.0,,0.99,0.27,-1.0,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,shot,1,42,15,Racing Club,Roger Martínez,0.91,-0.48,-1.0,Milton Céliz,0.92,-0.23,0.16,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,shot,2,46,18,Racing Club,Baltasar Rodríguez,-0.82,-0.47,-1.0,,-0.98,-0.24,-1.0,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,shot,2,51,15,Racing Club,Agustín Urzi,-0.59,-0.34,-1.0,,-1.0,0.28,-1.0,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,shot,2,55,23,Racing Club,Agustín García Basso,-0.46,-0.05,-1.0,,-0.99,-0.02,-1.0,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,shot,2,56,40,Racing Club,Gastón Martirena,-0.82,-0.45,-1.0,Nicolás Caro Torres,-0.85,-0.32,0.21,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,shot,2,49,41,Racing Club,Baltasar Rodríguez,-0.46,-0.04,-1.0,Nicolás Caro Torres,-0.77,-0.06,0.68,
01-06-2024,18:00,Racing Club,Dep. Riestra,Argentina - Torneo Betano 2024,Presidente Perón,shot,2,59,43,Dep. Riestra,Milton Céliz,0.79,0.44,-1.0,Gabriel Arias,0.97,0.1,0.88,
