date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
01-06-2024,20:15,Vélez,Atlético Tucumán,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,0,42,Atlético Tucumán,Joaquín Pereyra,-0.19,-0.3,-1.0,,,,,
01-06-2024,20:15,Vélez,Atlético Tucumán,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,3,38,Atlético Tucumán,Renzo Tesuri,0.4,-0.97,-1.0,,,,,
01-06-2024,20:15,Vélez,Atlético Tucumán,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,5,14,Atlético Tucumán,Adrián Sánchez,-0.24,-0.63,-1.0,,,,,
01-06-2024,20:15,Vélez,Atlético Tucumán,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,6,45,Atlético Tucumán,Adrián Sánchez,-0.11,-0.72,-1.0,,,,,
01-06-2024,20:15,Vélez,Atlético Tucumán,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,7,11,Atlético Tucumán,Joaquín Pereyra,0.58,-0.78,-1.0,,,,,
01-06-2024,20:15,Vélez,Atlético Tucumán,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,13,32,Atlético Tucumán,Joaquín Pereyra,-0.3,0.64,-1.0,,,,,
01-06-2024,20:15,Vélez,Atlético Tucumán,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,16,5,Atlético Tucumán,Joaquín Pereyra,0.07,0.6,-1.0,,,,,
01-06-2024,20:15,Vélez,Atlético Tucumán,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,16,16,Atlético Tucumán,Adrián Sánchez,0.55,-0.52,-1.0,,,,,
01-06-2024,20:15,Vélez,Atlético Tucumán,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,16,58,Atlético Tucumán,Juan José Infante,0.06,0.03,-1.0,,,,,
01-06-2024,20:15,Vélez,Atlético Tucumán,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,20,8,Vélez,Francisco Pizzini,0.1,0.83,-1.0,,,,,
01-06-2024,20:15,Vélez,Atlético Tucumán,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,24,53,Atlético Tucumán,Guillermo Acosta,0.2,0.42,-1.0,,,,,
01-06-2024,20:15,Vélez,Atlético Tucumán,Argentina - Torneo Betano 2024,Estadio José Amalfitani,steal,1,32,59,Atlético Tucumán,Renzo Tesuri,0.59,-0.36,-1.0,,,,,
