date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
02-06-2024,18:00,Central Córdoba (SE),Talleres,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,2,29,Talleres,Matías Galarza,-0.08,0.22,-1.0,,,,,
02-06-2024,18:00,Central Córdoba (SE),Talleres,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,4,13,Talleres,Gastón Benavídez,0.67,-0.82,-1.0,,,,,
02-06-2024,18:00,Central Córdoba (SE),Talleres,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,7,52,Talleres,Gastón Benavídez,-0.36,-0.56,-1.0,,,,,
02-06-2024,18:00,Central Córdoba (SE),Talleres,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,19,17,Talleres,Lucas Suárez,0.48,0.33,-1.0,,,,,
02-06-2024,18:00,Central Córdoba (SE),Talleres,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,19,36,Talleres,Matías Galarza,0.1,0.5,-1.0,,,,,
02-06-2024,18:00,Central Córdoba (SE),Talleres,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,19,28,Central Córdoba (SE),Gonzalo Álvez,0.11,-0.48,-1.0,,,,,
02-06-2024,18:00,Central Córdoba (SE),Talleres,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,21,40,Central Córdoba (SE),Sebastián Valdez,-0.15,0.69,-1.0,,,,,
02-06-2024,18:00,Central Córdoba (SE),Talleres,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,22,15,Talleres,Alejandro Martínez,-0.14,0.46,-1.0,,,,,
02-06-2024,18:00,Central Córdoba (SE),Talleres,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,28,28,Central Córdoba (SE),Lautaro Rivero,-0.35,-0.45,-1.0,,,,,
02-06-2024,18:00,Central Córdoba (SE),Talleres,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,30,19,Talleres,Bruno Barticciotto,-0.14,0.44,-1.0,,,,,
02-06-2024,18:00,Central Córdoba (SE),Talleres,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,44,54,Talleres,Marcos Portillo,0.41,-0.17,-1.0,,,,,
02-06-2024,18:00,Central Córdoba (SE),Talleres,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,1,46,32,Talleres,Marcos Portillo,0.28,0.45,-1.0,,,,,
02-06-2024,18:00,Central Córdoba (SE),Talleres,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,2,49,34,Talleres,Alejandro Martínez,-0.56,-0.61,-1.0,,,,,
02-06-2024,18:00,Central Córdoba (SE),Talleres,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,2,51,36,Talleres,Juan Carlos Portillo,-0.26,0.66,-1.0,,,,,
02-06-2024,18:00,Central Córdoba (SE),Talleres,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,2,52,15,Central Córdoba (SE),Sebastián Valdez,0.83,0.51,-1.0,,,,,
02-06-2024,18:00,Central Córdoba (SE),Talleres,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,2,52,33,Talleres,Lucas Suárez,-0.14,-0.31,-1.0,,,,,
02-06-2024,18:00,Central Córdoba (SE),Talleres,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,2,60,34,Central Córdoba (SE),Mateo Sanabria,0.15,0.76,-1.0,,,,,
02-06-2024,18:00,Central Córdoba (SE),Talleres,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,2,62,19,Central Córdoba (SE),Walter Montoya,-0.38,-0.59,-1.0,,,,,
02-06-2024,18:00,Central Córdoba (SE),Talleres,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,2,69,25,Talleres,Marcos Portillo,0.23,-0.44,-1.0,,,,,
02-06-2024,18:00,Central Córdoba (SE),Talleres,Argentina - Torneo Betano 2024,Único Madre de Ciudades,steal,2,74,25,Central Córdoba (SE),Kevin Vázquez,0.68,-0.79,-1.0,,,,,
