date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
02-06-2024,20:15,Instituto,Gimnasia,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,7,38,Gimnasia,Juan Pintado,0.26,-0.75,-1.0,,,,,
02-06-2024,20:15,Instituto,Gimnasia,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,11,53,Gimnasia,Jonathan  Cabral,0.59,0.82,-1.0,,,,,
02-06-2024,20:15,Instituto,Gimnasia,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,12,49,Gimnasia,Rodrigo Saravia,-0.01,0.05,-1.0,,,,,
02-06-2024,20:15,Instituto,Gimnasia,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,14,27,Gimnasia,Lucas Castro,0.35,-0.1,-1.0,,,,,
02-06-2024,20:15,Instituto,Gimnasia,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,18,24,Gimnasia,Rodrigo Saravia,0.47,-0.06,-1.0,,,,,
02-06-2024,20:15,Instituto,Gimnasia,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,20,51,Gimnasia,Rodrigo Saravia,-0.56,0.27,-1.0,,,,,
02-06-2024,20:15,Instituto,Gimnasia,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,22,53,Gimnasia,Leonardo Morales,0.5,0.37,-1.0,,,,,
02-06-2024,20:15,Instituto,Gimnasia,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,1,23,49,Gimnasia,Benjamín Domínguez,-0.37,0.68,-1.0,,,,,
02-06-2024,20:15,Instituto,Gimnasia,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,2,50,41,Gimnasia,Rodrigo Saravia,0.37,0.19,-1.0,,,,,
02-06-2024,20:15,Instituto,Gimnasia,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,2,52,39,Gimnasia,Juan Pintado,-0.47,0.66,-1.0,,,,,
02-06-2024,20:15,Instituto,Gimnasia,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,2,56,52,Gimnasia,Leonardo Morales,-0.59,0.54,-1.0,,,,,
02-06-2024,20:15,Instituto,Gimnasia,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,2,75,0,Gimnasia,Lucas Castro,-0.23,0.55,-1.0,,,,,
02-06-2024,20:15,Instituto,Gimnasia,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,2,85,12,Gimnasia,Rodrigo Saravia,-0.81,-0.66,-1.0,,,,,
02-06-2024,20:15,Instituto,Gimnasia,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,2,86,55,Gimnasia,Felipe Sánchez,-0.39,-0.8,-1.0,,,,,
02-06-2024,20:15,Instituto,Gimnasia,Argentina - Torneo Betano 2024,Mario Alberto Kempes,steal,2,93,43,Gimnasia,Felipe Sánchez,-0.44,0.15,-1.0,,,,,
02-06-2024,20:15,Instituto,Gimnasia,Argentina - Torneo Betano 2024,Mario Alberto Kempes,foul,1,9,31,Instituto,Jonás Acevedo,0.77,-0.93,-1.0,Leonardo Morales,,,,
02-06-2024,20:15,Instituto,Gimnasia,Argentina - Torneo Betano 2024,Mario Alberto Kempes,foul,1,13,54,Gimnasia,Benjamín Domínguez,-0.86,0.58,-1.0,Giuliano Cerato,,,,
02-06-2024,20:15,Instituto,Gimnasia,Argentina - Torneo Betano 2024,Mario Alberto Kempes,foul,1,19,54,Instituto,Jonathan Bay,-0.89,-0.8,-1.0,Matías Abaldo,,,,
02-06-2024,20:15,Instituto,Gimnasia,Argentina - Torneo Betano 2024,Mario Alberto Kempes,foul,1,26,59,Gimnasia,Nicolás Colazo,0.51,0.64,-1.0,Santiago Rodríguez,,,,
02-06-2024,20:15,Instituto,Gimnasia,Argentina - Torneo Betano 2024,Mario Alberto Kempes,foul,1,30,44,Gimnasia,Juan Pintado,0.42,-0.34,-1.0,Damián Puebla,,,,
