date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,2,50,Platense,Iván Gómez,-0.2,-0.56,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,15,46,Platense,Agustín Ocampo,-0.55,0.73,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,17,47,Boca Juniors,Cristian Medina,-0.46,-0.5,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,18,44,Platense,Leonel Picco,-0.58,0.14,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,21,10,Boca Juniors,Cristian Medina,0.76,0.7,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,21,16,Boca Juniors,Lautaro Blanco,0.87,0.82,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,25,37,Boca Juniors,Cristian Lema,0.03,-0.76,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,30,54,Platense,Fernando Juárez,-0.76,0.68,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,31,34,Boca Juniors,Kevin Zenón,0.46,-0.6,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,32,45,Boca Juniors,Cristian Lema,0.8,0.69,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,33,39,Platense,Gastón Suso,-0.41,0.0,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,34,31,Platense,Gastón Suso,-0.8,0.33,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,35,4,Platense,Fernando Juárez,0.16,0.73,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,39,39,Platense,Agustín Ocampo,-0.31,0.49,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,41,26,Platense,Leonel Picco,-0.44,0.74,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,41,49,Boca Juniors,Cristian Medina,-0.11,-0.59,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,44,28,Boca Juniors,Luis Adví­ncula,0.15,-0.74,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,1,46,56,Boca Juniors,Lautaro Blanco,0.2,0.35,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,53,8,Platense,Leonel Picco,0.08,0.38,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,56,36,Boca Juniors,Cristian Medina,-0.07,-0.51,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,56,26,Platense,Ignacio Vázquez,0.44,-0.74,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,59,48,Platense,Iván Gómez,0.24,0.35,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,66,24,Platense,Fernando Juárez,-0.24,0.32,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,72,10,Platense,Agustín Quiroga,-0.29,0.05,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,73,25,Boca Juniors,Cristian Medina,0.33,0.35,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,73,28,Platense,Luis Miguel Angulo,0.66,0.82,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,74,20,Platense,Ignacio Vázquez,0.37,-0.07,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,83,51,Platense,Facundo Russo,-0.25,-0.52,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,87,4,Platense,Facundo Russo,-0.56,-0.55,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,92,59,Platense,Juan Ignacio Saborido,-0.14,-0.57,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,94,8,Boca Juniors,Jabes Saralegui,-0.36,0.52,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,steal,2,94,17,Platense,Leonel Picco,0.41,0.67,-1.0,,,,,
02-06-2024,14:30,Platense,Boca Juniors,Argentina - Torneo Betano 2024,Ciudad de Vicente López,foul,1,1,24,Boca Juniors,Ezequiel Fernández,-0.3,0.64,-1.0,Fernando Juárez,,,,
