date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
02-06-2024,20:15,River Plate,Tigre,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,0,19,River Plate,Sebastián Boselli,-0.32,0.05,-1.0,,,,,
02-06-2024,20:15,River Plate,Tigre,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,0,48,Tigre,Ángelo Marchese,0.34,0.86,-1.0,,,,,
02-06-2024,20:15,River Plate,Tigre,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,1,11,River Plate,Claudio Echeverri,0.75,-0.35,-1.0,,,,,
02-06-2024,20:15,River Plate,Tigre,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,6,28,Tigre,Ángelo Marchese,0.48,0.57,-1.0,,,,,
02-06-2024,20:15,River Plate,Tigre,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,8,55,Tigre,Martín Garay,-0.35,-0.7,-1.0,,,,,
02-06-2024,20:15,River Plate,Tigre,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,14,58,Tigre,Kevin Lomónaco,0.79,0.8,-1.0,,,,,
02-06-2024,20:15,River Plate,Tigre,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,16,32,River Plate,Nicolás Fonseca,0.38,-0.62,-1.0,,,,,
02-06-2024,20:15,River Plate,Tigre,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,16,51,River Plate,Agustín Sant'Anna,-0.49,0.47,-1.0,,,,,
02-06-2024,20:15,River Plate,Tigre,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,17,3,Tigre,Agustín Cardozo,-0.21,0.76,-1.0,,,,,
02-06-2024,20:15,River Plate,Tigre,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,17,23,Tigre,Ángelo Marchese,0.15,0.85,-1.0,,,,,
02-06-2024,20:15,River Plate,Tigre,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,18,51,Tigre,Martín Ortega,0.74,-0.84,-1.0,,,,,
02-06-2024,20:15,River Plate,Tigre,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,20,2,Tigre,Kevin Lomónaco,0.32,0.09,-1.0,,,,,
02-06-2024,20:15,River Plate,Tigre,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,21,34,River Plate,Paulo Díaz,-0.27,-0.13,-1.0,,,,,
02-06-2024,20:15,River Plate,Tigre,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,22,17,River Plate,Matías Kranevitter,0.28,-0.06,-1.0,,,,,
02-06-2024,20:15,River Plate,Tigre,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,23,28,River Plate,Agustín Sant'Anna,-0.43,0.49,-1.0,,,,,
02-06-2024,20:15,River Plate,Tigre,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,23,39,Tigre,Tomás  Fernández,0.91,-0.79,-1.0,,,,,
02-06-2024,20:15,River Plate,Tigre,Argentina - Torneo Betano 2024,Antonio Vespucio Liberti,steal,1,23,50,Tigre,Agustín Cardozo,0.57,-0.55,-1.0,,,,,
