date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,1,9,10,Rosario Central,Enzo Copetti,0.18,0.58,-1.0,,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,1,21,29,Lanús,Felipe Peña Biafore,0.62,0.46,-1.0,,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,1,24,42,Lanús,Marcelino Moreno,0.07,-0.36,-1.0,,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,1,25,23,Lanús,Nery Domínguez,0.61,-0.76,-1.0,,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,1,28,23,Rosario Central,Emanuel Coronel,0.07,0.83,-1.0,,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,1,29,17,Lanús,Nery Domínguez,0.8,0.62,-1.0,,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,1,34,27,Lanús,Marcelino Moreno,-0.33,-0.03,-1.0,,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,1,39,12,Lanús,Nery Domínguez,-0.2,-0.71,-1.0,,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,1,43,10,Lanús,Augusto Lotti,0.19,0.6,-1.0,,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,2,63,29,Rosario Central,Tomás O'Connor,0.46,0.61,-1.0,,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,steal,2,67,25,Lanús,Bruno Cabrera,-0.46,0.73,-1.0,,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,foul,1,2,22,Lanús,Nery Domínguez,0.13,-0.68,-1.0,Agustín Módica,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,foul,1,9,54,Lanús,Felipe Peña Biafore,0.33,0.25,-1.0,Jaminton Campaz,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,foul,1,11,2,Rosario Central,Facundo Mallo,0.81,-0.24,-1.0,Ezequiel Muñoz,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,foul,1,19,19,Lanús,Abel Luciatti,0.25,0.5,-1.0,Enzo Copetti,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,foul,1,32,14,Rosario Central,Jaminton Campaz,0.29,-0.74,-1.0,Nery Domínguez,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,foul,1,34,40,Lanús,Nery Domínguez,-0.17,-0.52,-1.0,Jaminton Campaz,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,foul,1,41,40,Rosario Central,Mauricio Martínez,0.19,-0.82,-1.0,Augusto Lotti,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,foul,1,44,29,Rosario Central,Emanuel Coronel,0.62,0.34,-1.0,Julio César Soler,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,foul,1,45,9,Lanús,Raúl Loaiza,0.08,0.2,-1.0,Enzo Copetti,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,foul,1,45,44,Lanús,Nicolás Morgantini,0.37,-0.94,-1.0,Jaminton Campaz,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,foul,1,46,8,Lanús,Jonatan Torres,-0.26,0.26,-1.0,Juan Cruz Komar,,,,
02-06-2024,18:00,Rosario Central,Lanús,Argentina - Torneo Betano 2024,Gigante de Arroyito,foul,1,50,14,Rosario Central,Facundo Mallo,-0.26,0.58,-1.0,Julio César Soler,,,,
