date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,steal,1,0,22,Defensa y Justicia,Nicolás Palavecino,-0.2,-0.23,-1.0,,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,steal,2,49,19,Defensa y Justicia,Nicolás Tripichio,0.51,0.68,-1.0,,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,steal,2,51,17,Defensa y Justicia,Kevin Gutiérrez,0.15,0.5,-1.0,,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,steal,2,56,17,Defensa y Justicia,Kevin López,0.28,0.59,-1.0,,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,steal,2,57,36,Independiente,Santiago López,0.76,0.49,-1.0,,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,steal,2,62,11,Defensa y Justicia,Ezequiel Cannavó,-0.07,-0.7,-1.0,,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,steal,2,67,48,Independiente,Federico Mancuello,0.49,-0.71,-1.0,,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,steal,2,69,24,Defensa y Justicia,Kevin López,0.32,-0.27,-1.0,,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,steal,2,74,32,Defensa y Justicia,Darío Cáceres,0.19,-0.26,-1.0,,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,foul,1,1,12,Independiente,Santiago López,-0.36,-0.49,-1.0,Santiago Ramos Mingo,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,foul,1,3,12,Independiente,Gabriel Ávalos,-0.06,0.42,-1.0,Emanuel Aguilera,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,foul,1,9,58,Defensa y Justicia,Kevin Gutiérrez,0.25,0.44,-1.0,Lautaro Millán,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,foul,1,11,29,Independiente,Lautaro Millán,-0.24,0.19,-1.0,Kevin Gutiérrez,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,foul,1,12,9,Defensa y Justicia,Nicolás Tripichio,0.18,0.8,-1.0,Gabriel Ávalos,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,foul,1,14,42,Independiente,Diego Tarzia,0.42,0.44,-1.0,Nicolás Tripichio,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,foul,1,20,25,Defensa y Justicia,Kevin Gutiérrez,,,,,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,foul,1,26,28,Defensa y Justicia,Santiago Ramos Mingo,-0.25,-0.17,-1.0,Gabriel Ávalos,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,foul,1,34,54,Defensa y Justicia,Kevin Gutiérrez,0.42,-0.45,-1.0,Santiago López,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,foul,1,39,30,Independiente,Gabriel Ávalos,0.44,0.78,-1.0,Nicolás Tripichio,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,foul,1,42,19,Defensa y Justicia,Rodrigo Bogarín,0.36,-0.3,-1.0,Lautaro Millán,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,foul,1,51,42,Independiente,Gabriel Ávalos,-0.13,0.79,-1.0,Nicolás Tripichio,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,foul,2,48,49,Defensa y Justicia,Kevin Gutiérrez,0.03,0.52,-1.0,Santiago Salle,,,,
03-06-2024,21:15,Defensa y Justicia,Independiente,Argentina - Torneo Betano 2024,Norberto Tomaghello,foul,2,51,24,Independiente,Juan Manuel Fedorco,-0.31,0.73,-1.0,Luciano Herrera,,,,
