date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,1,4,22,Estudiantes,Eric Meza,-0.35,0.75,-1.0,,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,1,11,1,Estudiantes,Enzo Pérez,0.21,-0.45,-1.0,,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,1,19,52,Estudiantes,Eric Meza,-0.05,0.83,-1.0,,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,1,27,38,Godoy Cruz,Pier Barrios,0.39,-0.43,-1.0,,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,1,30,4,Estudiantes,Edwuin Cetré,0.09,-0.82,-1.0,,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,1,31,1,Godoy Cruz,Bruno Leyes,-0.38,0.03,-1.0,,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,1,34,28,Estudiantes,Eros Mancuso,-0.42,-0.64,-1.0,,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,1,35,56,Godoy Cruz,Juan Bautista Cejas,-0.39,0.29,-1.0,,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,1,36,22,Godoy Cruz,Nicolás Fernández,-0.42,0.64,-1.0,,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,1,37,7,Estudiantes,Eric Meza,0.28,0.72,-1.0,,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,1,41,44,Estudiantes,Santiago Ascacíbar,-0.81,0.88,-1.0,,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,1,44,34,Godoy Cruz,Lucas Arce,0.87,-0.76,-1.0,,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,2,48,23,Godoy Cruz,Bruno Leyes,-0.28,-0.63,-1.0,,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,2,60,27,Estudiantes,Edwuin Cetré,-0.31,0.31,-1.0,,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,2,67,55,Godoy Cruz,Nicolás Fernández,-0.11,-0.06,-1.0,,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,2,82,4,Godoy Cruz,Martín Luciano,0.6,-0.86,-1.0,,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,2,91,33,Estudiantes,Pablo Piatti,0.13,0.38,-1.0,,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,steal,2,95,5,Godoy Cruz,Manuel Guillén,-0.32,0.07,-1.0,,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,foul,1,11,18,Godoy Cruz,Lucas Arce,0.35,-0.56,-1.0,Edwuin Cetré,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,foul,1,13,47,Godoy Cruz,Pier Barrios,-0.2,-0.51,-1.0,José Sosa,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,foul,1,14,52,Godoy Cruz,Daniel Barrea,0.16,-0.7,-1.0,Eros Mancuso,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,foul,1,15,50,Godoy Cruz,Nicolás Fernández,0.03,0.12,-1.0,Enzo Pérez,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,foul,1,28,5,Godoy Cruz,Daniel Barrea,-0.22,-0.61,-1.0,José Sosa,,,,
03-06-2024,21:15,Estudiantes,Godoy Cruz,Argentina - Torneo Betano 2024,Jorge Luis Hirschi,foul,1,30,4,Godoy Cruz,Lucas Arce,-0.11,-0.82,-1.0,Edwuin Cetré,,,,
