date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,0,17,Sarmiento,Juan Manuel Insaurralde,0.66,0.25,-1.0,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,10,14,Sarmiento,Matías Rosales,0.51,-0.2,-1.0,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,12,15,Sarmiento,Emiliano Méndez,0.45,-0.06,-1.0,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,13,23,San Lorenzo,Cristian Tarragona,-0.25,0.74,-1.0,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,18,23,San Lorenzo,Agustín Giay,-0.57,0.78,-1.0,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,22,57,San Lorenzo,Iván Tapia,-0.16,0.24,-1.0,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,29,7,San Lorenzo,Cristian Ferreira,-0.09,-0.33,-1.0,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,29,3,Sarmiento,Juan Manuel Insaurralde,0.85,0.2,-1.0,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,35,45,San Lorenzo,Nahuel Barrios,-0.11,-0.71,-1.0,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,1,38,4,San Lorenzo,Francisco Perruzzi,-0.38,0.11,-1.0,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,2,49,34,Sarmiento,Emiliano Méndez,-0.16,0.26,-1.0,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,2,52,28,Sarmiento,Emiliano Méndez,0.25,0.13,-1.0,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,2,57,41,San Lorenzo,Malcom Braida,-0.34,0.09,-1.0,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,2,60,56,San Lorenzo,Malcom Braida,0.73,0.63,-1.0,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,2,71,53,San Lorenzo,Alexis Cuello,-0.79,-0.71,-1.0,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,2,82,31,Sarmiento,Manuel García,-0.25,0.19,-1.0,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,2,83,38,San Lorenzo,Gonzalo Luján,0.71,-0.72,-1.0,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,2,85,27,San Lorenzo,Malcom Braida,-0.76,0.74,-1.0,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,steal,2,85,25,Sarmiento,Emiliano Méndez,-0.09,0.07,-1.0,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,1,11,43,Sarmiento,Gabriel Gudiño,-0.07,0.17,-1.0,Agustín Giay,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,1,12,18,San Lorenzo,Ezequiel Cerutti,0.49,0.75,-1.0,Yair Arismendi,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,1,13,31,Sarmiento,Gabriel Gudiño,-0.36,0.55,-1.0,Cristian Tarragona,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,1,16,32,Sarmiento,Elías López,0.1,-0.1,-1.0,Nahuel Barrios,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,1,17,10,Sarmiento,Yair Arismendi,0.49,0.82,-1.0,Ezequiel Cerutti,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,1,21,16,Sarmiento,Manuel García,0.35,0.3,-1.0,Nahuel Barrios,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,1,26,23,Sarmiento,Yair Arismendi,0.55,0.52,-1.0,Agustín Giay,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,1,32,41,Sarmiento,Franco Paredes,0.09,0.1,-1.0,Cristian Tarragona,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,1,37,20,San Lorenzo,Agustín Giay,0.95,0.71,-1.0,Gabriel Gudiño,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,1,38,14,Sarmiento,Matías Rosales,-0.41,0.03,-1.0,Francisco Perruzzi,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,1,46,37,Sarmiento,Juan Manuel Insaurralde,-0.27,0.43,-1.0,Cristian Tarragona,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,1,47,15,San Lorenzo,Cristian Ferreira,-0.5,-0.8,-1.0,Emiliano Méndez,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,2,45,19,Sarmiento,Joaquín Gho,0.46,-0.82,-1.0,Agustín Giay,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,2,47,25,San Lorenzo,Iván Tapia,0.14,-0.79,-1.0,David Gallardo,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,2,48,50,Sarmiento,Gabriel Gudiño,0.42,0.14,-1.0,Gonzalo Luján,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,2,52,35,Sarmiento,Franco Paredes,-0.4,0.12,-1.0,Cristian Tarragona,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,2,58,4,Sarmiento,Gabriel Gudiño,,,,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,2,67,2,Sarmiento,Emiliano Méndez,,,,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,2,77,13,Sarmiento,Elías López,-0.12,0.86,-1.0,Malcom Braida,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,2,80,40,Sarmiento,Emiliano Méndez,-0.5,-0.43,-1.0,Agustín Giay,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,2,84,4,Sarmiento,Manuel García,0.59,-0.72,-1.0,Eric Remedi,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,2,84,32,San Lorenzo,Eric Remedi,-0.22,0.58,-1.0,Gabriel Azcurra,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,2,87,24,Sarmiento,Tomás Guiacobini,-0.13,-0.62,-1.0,Iván Leguizamón,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,2,89,14,Sarmiento,Yair Arismendi,-0.49,-0.74,-1.0,Iván Leguizamón,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,2,90,4,Sarmiento,Manuel García,0.2,-0.86,-1.0,Iván Leguizamón,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,foul,1,13,8,Sarmiento,Elías López,,,,,,,,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,1,22,3,San Lorenzo,Cristian Ferreira,0.47,-0.12,-1.0,Manuel García,0.6,-0.08,0.41,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,1,22,53,San Lorenzo,Malcom Braida,0.69,-0.1,-1.0,Franco Paredes,0.78,0.05,0.8,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,1,27,38,San Lorenzo,Cristian Ferreira,0.5,0.49,-1.0,Lucas Acosta,0.97,0.1,0.35,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,1,28,9,San Lorenzo,Agustín Giay,0.72,-0.39,-1.0,Emiliano Méndez,0.8,-0.34,0.19,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,1,28,24,San Lorenzo,Malcom Braida,0.97,-0.02,0.2,Lucas Acosta,0.97,-0.02,0.2,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,1,39,40,San Lorenzo,Nahuel Barrios,0.46,-0.26,-1.0,,0.99,0.03,-1.0,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,1,40,32,Sarmiento,Gabriel Gudiño,-0.46,0.45,-1.0,Mateo Clemente,-0.95,0.05,0.81,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,1,48,44,Sarmiento,Valentín Burgoa,-0.45,-0.49,-1.0,Francisco Perruzzi,-0.78,-0.23,0.56,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,2,49,49,Sarmiento,Gabriel Gudiño,0.74,0.46,-1.0,,0.99,0.04,-1.0,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,2,52,12,Sarmiento,Joaquín Gho,0.77,0.06,-1.0,Gastón Campi,0.9,0.05,0.24,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,2,53,52,San Lorenzo,Cristian Ferreira,-0.38,0.09,-1.0,Lucas Acosta,-0.96,0.03,0.85,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,2,56,0,San Lorenzo,Nahuel Barrios,-0.7,0.08,-1.0,Valentín Burgoa,-0.97,0.08,0.1,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,2,57,54,San Lorenzo,Nahuel Barrios,-0.57,0.5,-1.0,Franco Paredes,-0.88,0.13,0.65,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,2,58,46,San Lorenzo,Gastón Campi,-0.73,-0.45,-1.0,,-0.99,0.5,-1.0,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,2,52,8,Sarmiento,Gabriel Gudiño,0.76,0.09,-1.0,Gonzalo Luján,0.88,0.01,0.76,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,2,55,4,San Lorenzo,Agustín Giay,-0.59,-0.57,-1.0,Juan Manuel Insaurralde,-0.75,-0.41,0.61,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,2,69,41,Sarmiento,Manuel García,0.63,-0.16,-1.0,,0.99,-0.11,0.6,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,2,71,45,San Lorenzo,Alexis Cuello,-0.86,-0.04,0.67,Juan Manuel Insaurralde,-0.86,-0.04,0.67,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,2,71,49,San Lorenzo,Gastón Campi,-0.77,0.08,-1.0,Sergio Quiroga,-0.98,-0.08,0.11,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,2,72,53,San Lorenzo,Malcom Braida,-0.52,0.45,-1.0,Franco Paredes,-0.71,0.19,0.8,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,2,75,42,San Lorenzo,Diego Herazo,-0.77,-0.47,-1.0,,-0.99,0.42,-1.0,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,2,78,43,San Lorenzo,Eric Remedi,-0.45,0.18,-1.0,,-0.99,-0.06,-1.0,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,2,81,31,San Lorenzo,Iván Leguizamón,-0.52,-0.38,-1.0,,-0.98,0.05,-1.0,
03-06-2024,19:00,San Lorenzo,Sarmiento,Argentina - Torneo Betano 2024,Pedro Bidegain,shot,2,72,34,San Lorenzo,Iván Leguizamón,-0.7,0.29,-1.0,Franco Paredes,-0.74,0.24,0.32,
