date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,2,14,Newell`s,Tomás Jacob,0.76,-0.65,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,2,31,Banfield,Matías González,0.41,0.63,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,4,35,Banfield,Matías González,-0.37,-0.45,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,9,3,Banfield,Ignacio Rodríguez,-0.1,0.25,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,15,27,Newell`s,Jerónimo Cacciabue,-0.08,-0.35,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,21,41,Newell`s,Jerónimo Cacciabue,0.46,-0.62,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,22,40,Newell`s,Jerónimo Cacciabue,0.41,-0.16,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,24,13,Newell`s,Ever Banega,0.36,-0.54,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,24,42,Newell`s,Ever Banega,-0.34,0.66,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,33,10,Newell`s,Ian Glavinovich,0.46,-0.13,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,44,8,Newell`s,Ian Glavinovich,0.86,0.7,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,1,45,50,Newell`s,Brian Aguirre,-0.35,-0.69,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,2,47,16,Newell`s,Armando Méndez,-0.7,0.82,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,2,48,28,Newell`s,Francisco González,0.7,-0.48,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,2,55,8,Banfield,Cristian Núñez,0.35,-0.64,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,2,55,21,Newell`s,Rodrigo Fernández,-0.23,0.41,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,2,64,53,Newell`s,Rodrigo Fernández,-0.16,-0.37,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,2,73,1,Newell`s,Guillermo May,-0.12,0.65,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,2,80,50,Newell`s,Ian Glavinovich,-0.77,0.0,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,2,82,11,Banfield,Cristian Núñez,0.25,-0.72,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,steal,2,91,24,Newell`s,Rodrigo Fernández,0.27,-0.7,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,1,1,4,Newell`s,Ever Banega,0.39,-0.75,-1.0,Bruno Sepúlveda,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,1,5,3,Banfield,Matías González,0.31,0.41,-1.0,Brian Aguirre,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,1,8,22,Newell`s,Rodrigo Fernández,-0.45,0.96,-1.0,Matías González,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,1,9,49,Newell`s,Ian Glavinovich,0.29,0.4,-1.0,Milton Giménez,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,1,11,38,Banfield,Gabriel Aranda,-0.17,-0.01,-1.0,Juan Ignacio Ramírez,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,1,13,6,Banfield,,-0.29,-0.78,-1.0,Francisco González,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,1,15,48,Banfield,Aarón Quirós,,,,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,1,20,18,Newell`s,Tomás Jacob,-0.75,0.1,-1.0,Bruno Sepúlveda,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,1,26,28,Banfield,Milton Giménez,0.68,0.91,-1.0,Ángelo Martino,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,1,27,58,Newell`s,Jerónimo Cacciabue,-0.16,-0.63,-1.0,Ignacio Rodríguez,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,1,30,32,Banfield,Matías González,,,,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,1,33,16,Banfield,,0.36,-0.74,-1.0,Armando Méndez,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,1,34,38,Banfield,Cristian Núñez,-0.31,0.02,-1.0,Juan Ignacio Ramírez,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,1,36,46,Banfield,Ignacio Rodríguez,0.34,0.27,-1.0,Jerónimo Cacciabue,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,1,38,29,Newell`s,Rodrigo Fernández,0.26,0.74,-1.0,Matías González,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,1,42,11,Banfield,Cristian Núñez,0.36,-0.13,-1.0,Juan Ignacio Ramírez,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,1,42,53,Newell`s,Brian Aguirre,-0.58,0.8,-1.0,Alejandro Maciel,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,1,45,11,Newell`s,Juan Ignacio Ramírez,-0.16,0.6,-1.0,Alejandro Maciel,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,2,56,8,Newell`s,Brian Aguirre,-0.89,-0.72,-1.0,Matías González,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,2,57,21,Newell`s,Ian Glavinovich,-0.83,-0.11,-1.0,Bruno Sepúlveda,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,2,69,29,Newell`s,Juan Ignacio Ramírez,0.38,-0.02,-1.0,Ignacio Rodríguez,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,2,72,12,Banfield,Gabriel Aranda,0.31,0.84,-1.0,Ever Banega,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,2,82,43,Newell`s,Juan Ignacio Ramírez,-0.19,0.68,-1.0,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,foul,2,83,21,Newell`s,Ian Glavinovich,,,,,,,,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,shot,1,4,3,Banfield,Juan Pablo Álvarez,0.75,0.38,-1.0,Lucas Hoyos,0.97,0.05,0.17,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,shot,1,8,56,Banfield,Matías González,0.67,0.67,-1.0,Ángelo Martino,0.77,0.33,0.26,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,shot,1,10,39,Banfield,Matías González,0.39,-0.09,-1.0,,1.0,0.06,-1.0,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,shot,1,12,18,Newell`s,Jerónimo Cacciabue,-0.8,0.47,-1.0,Facundo Sanguinetti,-0.93,0.05,0.37,
04-06-2024,20:00,Banfield,Newell`s,Argentina - Torneo Betano 2024,Florencio Sola,shot,1,14,44,Newell`s,Ángelo Martino,-0.86,-0.32,-1.0,,-0.99,-0.3,-1.0,
