date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
04-06-2024,15:00,Barracas Central,Huracán,Argentina - Torneo Betano 2024,Guillermo Laza,steal,1,10,6,Barracas Central,Maximiliano Zalazar,0.46,-0.71,-1.0,,,,,
04-06-2024,15:00,Barracas Central,Huracán,Argentina - Torneo Betano 2024,Guillermo Laza,steal,2,48,33,Huracán,Lucas Carrizo,0.16,-0.81,-1.0,,,,,
04-06-2024,15:00,Barracas Central,Huracán,Argentina - Torneo Betano 2024,Guillermo Laza,steal,2,54,56,Barracas Central,Facundo Mater,0.78,-0.73,-1.0,,,,,
04-06-2024,15:00,Barracas Central,Huracán,Argentina - Torneo Betano 2024,Guillermo Laza,steal,2,55,19,Barracas Central,Alan Cantero,-0.06,-0.38,-1.0,,,,,
04-06-2024,15:00,Barracas Central,Huracán,Argentina - Torneo Betano 2024,Guillermo Laza,steal,2,89,20,Barracas Central,Gonzalo Goñi,0.46,-0.06,-1.0,,,,,
04-06-2024,15:00,Barracas Central,Huracán,Argentina - Torneo Betano 2024,Guillermo Laza,steal,2,88,45,Huracán,Ignacio Pussetto,0.08,0.77,-1.0,,,,,
04-06-2024,15:00,Barracas Central,Huracán,Argentina - Torneo Betano 2024,Guillermo Laza,steal,2,92,28,Barracas Central,Carlos Arce,0.62,0.75,-1.0,,,,,
04-06-2024,15:00,Barracas Central,Huracán,Argentina - Torneo Betano 2024,Guillermo Laza,steal,2,92,41,Huracán,César Ibáñez,0.02,-0.57,-1.0,,,,,
04-06-2024,15:00,Barracas Central,Huracán,Argentina - Torneo Betano 2024,Guillermo Laza,foul,1,3,12,Huracán,Walter Mazzantti,-0.28,-0.62,-1.0,Facundo Mater,,,,
04-06-2024,15:00,Barracas Central,Huracán,Argentina - Torneo Betano 2024,Guillermo Laza,foul,1,8,37,Barracas Central,Rodrigo Insúa,,,,,,,,
04-06-2024,15:00,Barracas Central,Huracán,Argentina - Torneo Betano 2024,Guillermo Laza,foul,1,12,43,Huracán,Lucas Souto,0.68,-0.87,-1.0,Lucas Brochero,,,,
04-06-2024,15:00,Barracas Central,Huracán,Argentina - Torneo Betano 2024,Guillermo Laza,foul,1,18,47,Barracas Central,Gonzalo Goñi,0.11,-0.78,-1.0,Walter Mazzantti,,,,
04-06-2024,15:00,Barracas Central,Huracán,Argentina - Torneo Betano 2024,Guillermo Laza,foul,1,26,26,Barracas Central,Alan Cantero,0.04,0.65,-1.0,Lucas Carrizo,,,,
04-06-2024,15:00,Barracas Central,Huracán,Argentina - Torneo Betano 2024,Guillermo Laza,foul,1,27,10,Huracán,César Ibáñez,-0.92,0.46,-1.0,Lucas Brochero,,,,
04-06-2024,15:00,Barracas Central,Huracán,Argentina - Torneo Betano 2024,Guillermo Laza,foul,1,28,52,Barracas Central,Federico Aguirre,0.11,0.49,-1.0,Lucas Carrizo,,,,
